 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,361.914,248.952,100.531,206.927
2,354.115,243.873,100.367,203.779
3,351.254,243.430,100.523,203.803
4,183.841,137.131,100.273,200.393
5,203.567,151.971,100.425,198.915
6,220.782,162.735,100.287,198.176
7,231.206,171.535,100.330,197.529
8,242.293,178.065,100.340,197.820
9,249.814,183.149,100.324,197.372
10,256.966,186.559,100.454,196.429
11,262.602,190.344,100.309,196.972
12,266.399,193.969,100.473,196.521
13,270.026,196.322,100.347,196.545
14,275.167,199.024,100.501,196.808
15,278.583,201.085,100.450,197.155
16,281.265,202.987,100.324,197.133
17,283.879,205.038,100.382,197.229
18,285.959,206.057,100.276,195.290
19,288.120,207.446,100.301,196.528
20,289.976,207.875,100.326,197.696
21,292.124,208.648,100.440,196.698
22,293.388,209.405,100.345,196.416
23,294.833,209.245,100.328,196.660
24,296.476,210.467,100.330,196.098
25,297.593,211.085,100.207,196.887
26,298.893,211.646,100.255,196.837
27,298.665,213.479,100.332,197.043
28,300.382,212.575,100.124,195.427
29,300.299,213.497,100.227,195.935
30,302.167,213.409,100.343,195.865
31,302.773,214.333,100.300,197.334
32,302.600,214.905,100.258,196.648
33,303.429,214.992,100.446,197.003
34,305.598,216.331,100.408,196.244
35,305.068,215.326,100.347,196.809
36,306.147,216.648,100.512,196.464
37,305.752,217.689,100.418,196.474
38,305.909,217.342,100.229,195.260
39,308.418,217.024,100.415,196.488
40,308.732,217.589,100.203,195.573
41,308.021,217.721,100.364,195.896
42,310.333,217.959,100.295,196.628
43,309.058,217.480,100.312,196.903
44,309.434,218.425,100.294,196.082
45,309.881,217.159,100.389,195.925
46,308.981,218.056,100.276,195.354
47,309.614,218.996,100.488,195.364
48,309.672,218.901,100.165,194.940
49,309.438,219.568,100.239,194.909
50,310.488,219.515,100.351,195.500
51,308.906,219.344,100.201,196.651
52,309.004,219.350,100.440,196.156
53,311.783,218.751,100.326,195.993
54,311.089,219.003,100.299,196.429
55,311.014,219.917,100.448,196.124
56,311.295,219.759,100.268,196.524
57,310.004,219.908,100.290,196.371
58,310.999,219.888,100.271,195.911
59,311.964,219.813,100.290,196.420
60,313.129,219.591,100.282,196.128
61,313.830,220.367,100.192,195.971
62,312.668,220.852,100.375,196.134
63,312.702,220.944,100.390,195.504
64,313.047,220.558,100.317,196.551
65,312.729,221.178,100.410,195.737
66,312.876,220.568,100.230,195.669
67,311.628,220.745,100.186,195.429
68,313.254,220.501,100.331,195.854
69,313.811,221.175,100.301,194.966
70,312.900,220.694,100.332,195.590
71,313.090,221.404,100.323,195.638
72,313.418,220.816,100.276,195.935
73,313.895,221.097,100.243,195.507
74,313.780,221.456,100.470,195.061
75,313.919,222.324,100.367,195.802
76,313.705,220.702,100.317,195.437
77,313.185,220.846,100.258,196.016
78,313.700,221.594,100.218,194.844
79,314.737,221.131,100.428,195.399
80,314.842,221.766,100.378,195.751
81,315.097,222.727,100.307,195.406
82,315.465,221.592,100.368,195.419
83,314.530,221.760,100.393,194.732
84,316.920,221.542,100.393,195.190
85,315.598,221.197,100.365,194.733
86,314.671,222.755,100.337,196.363
87,315.830,222.292,100.461,196.058
88,315.914,221.742,100.275,196.142
89,315.393,222.593,100.323,195.176
90,315.051,221.746,100.496,195.589
91,314.800,222.320,100.124,196.133
92,314.006,222.192,100.264,195.439
93,315.725,221.952,100.295,195.967
94,315.359,221.364,100.290,195.762
95,314.870,221.429,100.301,194.741
96,314.456,222.842,100.350,195.371
97,315.575,222.657,100.241,194.622
98,316.019,221.944,100.206,195.187
99,316.006,221.559,100.324,194.032
100,315.354,221.644,100.147,194.830
101,316.217,222.584,100.341,195.484
102,315.530,222.300,100.350,194.654
103,315.947,222.451,100.265,195.321
104,316.141,221.935,100.370,195.939
105,316.200,222.262,100.315,194.265
106,315.951,222.459,100.434,195.172
107,316.039,222.659,100.297,195.767
108,315.019,222.088,100.221,195.543
109,315.420,221.525,100.190,195.007
110,314.128,222.553,100.162,194.695
111,314.817,222.175,100.259,195.667
112,315.863,221.800,100.286,194.731
113,315.720,222.127,100.243,194.896
114,315.625,221.491,100.242,195.452
115,316.356,221.726,100.399,195.493
116,316.011,220.618,100.275,195.554
117,315.230,221.517,100.379,196.212
118,316.214,222.156,100.348,195.942
119,314.542,222.623,100.362,195.275
120,316.922,222.795,100.432,195.231
121,315.384,222.673,100.456,195.307
122,315.209,221.632,100.206,195.613
123,315.740,223.200,100.421,195.525
124,315.402,222.213,100.394,194.270
125,315.641,222.257,100.245,194.860
126,316.282,221.865,100.383,195.685
127,315.663,222.453,100.482,195.465
128,315.493,221.739,100.395,196.003
129,317.017,222.479,100.348,195.001
130,315.484,222.119,100.406,194.759
131,315.183,221.022,100.382,195.223
132,315.004,222.088,100.448,194.595
133,316.907,222.029,100.371,194.653
134,315.940,222.496,100.276,194.377
135,315.394,222.387,100.401,194.935
136,315.231,221.859,100.512,195.764
137,315.065,221.853,100.451,194.987
138,316.034,222.357,100.254,194.680
