 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.934,100.013,106.686
2,110.525,100.065,106.772
3,110.238,100.039,106.686
4,101.637,99.925,106.350
5,102.828,99.849,106.448
6,104.011,99.841,106.471
7,104.893,100.044,106.941
8,105.147,100.057,106.648
9,105.367,99.927,106.375
10,105.699,99.955,107.107
11,106.069,100.042,107.032
12,106.460,99.923,106.454
13,106.517,99.923,107.030
14,106.335,99.976,106.931
15,106.618,100.140,106.914
16,106.962,99.894,106.596
17,106.741,100.112,106.819
18,107.280,100.034,106.470
19,107.363,99.954,106.655
20,107.322,99.794,106.526
21,107.496,99.996,106.832
22,107.149,99.992,106.571
23,107.355,99.887,106.527
24,107.708,100.026,107.309
25,107.207,99.735,107.280
26,107.453,100.034,107.160
27,107.260,99.908,106.917
28,108.066,100.037,106.348
29,108.214,100.076,106.738
30,107.754,99.924,106.979
31,107.721,99.871,106.910
32,108.286,99.906,106.748
33,108.031,100.110,106.302
34,107.968,99.904,106.328
35,107.920,100.010,107.166
36,108.147,99.982,106.927
37,108.405,100.053,106.646
38,109.137,100.092,107.004
39,108.520,99.938,106.749
40,108.875,99.962,106.441
41,108.609,100.051,106.349
42,109.065,99.862,106.359
43,108.348,99.977,106.391
44,109.149,100.057,106.006
45,109.275,100.010,106.252
46,109.038,100.111,106.229
47,108.480,100.054,106.382
48,108.676,99.809,106.413
49,108.755,99.909,105.479
50,108.598,100.023,105.409
51,108.429,100.033,105.263
52,108.609,99.774,105.537
53,109.535,100.027,105.563
54,108.648,99.782,105.603
55,109.145,100.156,105.842
56,109.045,100.042,106.213
57,108.535,99.956,105.577
58,108.767,99.867,106.073
59,108.808,100.007,105.894
60,108.948,99.770,105.825
61,108.487,99.994,106.095
62,108.728,99.937,106.424
63,108.776,99.936,106.609
64,109.337,99.968,106.462
