 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,108.729,99.832,114.675
2,108.531,99.908,114.240
3,109.133,99.881,114.912
4,101.684,99.981,114.926
5,103.527,99.856,114.399
6,104.667,99.934,115.153
7,105.576,100.001,114.224
8,105.794,99.988,114.096
9,105.693,99.926,113.071
10,106.146,99.993,113.485
11,105.921,99.894,113.364
12,106.681,99.918,114.110
13,106.675,99.946,113.912
14,107.156,99.935,113.334
15,107.367,99.841,113.779
16,107.446,100.049,112.376
17,107.959,99.880,112.305
18,107.400,99.926,112.287
19,106.729,100.010,112.539
20,107.202,99.861,111.579
21,107.959,100.013,111.416
22,108.088,99.893,112.541
23,107.417,99.839,111.856
24,108.301,99.908,112.394
25,108.653,99.867,111.784
26,108.354,99.940,112.897
27,107.818,99.769,113.851
28,109.164,99.872,113.731
29,108.350,100.025,112.429
30,107.927,99.856,113.767
31,107.410,100.109,112.542
32,107.732,99.830,112.819
33,107.584,99.841,111.971
34,108.058,99.876,112.266
35,107.662,99.756,111.571
36,108.186,99.853,112.467
37,107.634,99.919,111.985
38,107.605,99.998,111.320
39,107.571,99.895,111.472
40,107.478,99.892,111.771
41,107.098,99.777,111.138
42,107.379,99.824,111.988
43,107.455,99.850,112.160
44,107.322,100.036,111.149
45,107.732,99.810,111.270
46,107.115,100.030,112.061
47,107.792,99.927,111.912
48,107.320,99.872,111.882
49,108.563,99.858,111.930
50,108.402,100.018,111.880
51,107.906,99.932,112.251
52,107.482,99.910,112.358
53,106.773,99.817,111.747
54,107.007,99.872,111.335
55,107.175,99.924,111.571
56,107.683,99.830,111.549
57,107.194,99.863,110.777
58,107.399,99.901,111.388
59,108.399,99.788,111.733
60,107.212,99.959,111.633
61,106.912,99.895,112.057
62,107.568,99.945,112.881
63,107.949,100.004,112.355
64,107.145,99.782,111.439
