 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.974,99.857,105.701
2,113.011,99.829,105.794
3,112.657,99.722,105.264
4,101.783,99.722,105.358
5,103.366,99.740,105.855
6,104.026,99.888,105.978
7,104.341,99.898,105.570
8,105.460,99.792,105.739
9,106.495,99.910,105.341
10,105.955,99.917,105.502
11,106.649,99.721,105.768
12,106.935,99.898,105.774
13,107.293,99.735,105.542
14,107.270,99.817,105.756
15,107.605,99.905,105.164
16,107.179,99.830,105.317
17,107.961,99.924,105.251
18,107.335,99.962,105.127
19,108.065,99.791,105.314
20,108.516,99.778,104.994
21,108.407,99.711,104.956
22,108.475,99.835,104.870
23,108.886,99.889,104.939
24,108.897,99.887,104.622
25,109.006,99.746,104.807
26,108.909,99.935,105.142
27,108.810,99.925,104.912
28,108.743,99.799,104.852
29,109.420,99.811,104.932
30,109.436,99.909,105.158
31,109.432,99.895,104.852
32,109.641,99.773,104.982
33,109.189,99.881,105.458
34,109.873,99.732,104.815
35,109.848,99.733,104.899
36,109.426,99.744,104.982
37,110.216,99.705,105.179
38,110.067,99.943,104.962
39,110.313,99.773,105.316
40,110.160,99.772,105.053
41,110.580,99.778,105.190
42,110.117,99.759,105.111
43,110.368,99.920,105.463
44,110.349,99.832,105.267
45,110.248,99.912,105.278
46,110.287,99.835,105.098
47,110.642,99.833,105.133
48,110.333,99.841,105.381
49,110.343,99.907,105.794
50,110.878,99.723,105.727
51,111.223,99.757,105.521
52,110.603,99.845,105.546
53,110.436,99.828,105.200
54,110.390,99.763,105.502
55,110.739,99.706,105.477
56,110.816,99.759,105.394
57,110.371,99.796,105.534
58,111.145,99.850,105.134
59,111.369,99.686,105.337
60,111.418,99.665,105.579
61,110.728,99.629,105.782
62,111.066,99.863,105.635
63,109.923,99.798,105.935
64,111.048,99.729,105.614
