 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.482,100.000,107.947
2,110.857,100.116,107.735
3,110.747,100.043,107.902
4,101.543,100.047,107.805
5,102.532,100.054,107.989
6,103.166,100.169,107.719
7,103.553,99.871,108.014
8,103.355,99.992,108.469
9,104.006,99.949,108.172
10,104.308,99.956,108.464
11,105.108,100.164,108.305
12,104.963,99.968,107.699
13,105.113,99.921,107.743
14,105.039,99.960,107.442
15,105.699,99.830,107.565
16,105.359,99.931,108.413
17,105.118,99.891,108.071
18,105.494,100.017,108.537
19,105.889,99.881,108.155
20,105.406,99.960,108.230
21,106.289,100.001,107.767
22,106.632,100.036,108.078
23,106.544,99.886,107.307
24,106.171,99.866,107.973
25,106.358,99.846,107.898
26,106.316,99.899,107.691
27,106.286,99.854,108.538
28,106.017,99.794,108.411
29,106.142,99.929,107.818
30,106.039,99.926,107.552
31,106.453,99.866,107.975
32,106.350,100.012,108.118
33,107.082,99.924,107.571
34,107.003,99.982,107.161
35,107.053,99.972,107.028
36,107.152,99.925,107.817
37,106.950,100.015,107.429
38,107.596,99.896,108.425
39,107.134,100.049,108.078
40,106.999,99.848,108.181
41,107.129,99.950,108.309
42,107.473,99.866,107.620
43,106.759,99.868,108.359
44,107.437,99.971,108.298
45,107.593,99.809,108.514
46,107.169,99.951,108.422
47,106.979,100.028,108.057
48,107.601,100.013,108.516
49,107.104,99.947,108.670
50,107.988,99.826,109.016
51,107.750,99.886,108.809
52,107.536,100.078,109.216
53,107.646,99.971,109.035
54,108.115,99.991,108.798
55,108.522,99.987,109.091
56,108.319,99.949,108.743
57,108.568,99.900,108.949
58,108.346,99.735,109.448
59,108.073,99.930,109.025
60,108.169,99.825,109.021
61,108.324,99.934,109.527
62,107.871,99.808,109.366
63,108.233,100.026,109.096
64,108.905,99.738,109.312
