 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,114.911,100.046,107.203
2,115.152,99.885,107.194
3,114.399,99.865,107.636
4,102.371,100.043,107.189
5,104.303,99.867,107.156
6,105.252,100.028,106.599
7,106.788,99.939,107.065
8,107.281,99.910,107.174
9,107.462,99.912,107.453
10,108.205,99.868,106.833
11,108.741,100.052,108.078
12,109.755,100.043,107.084
13,109.276,99.818,107.233
14,109.350,100.038,107.582
15,109.877,100.237,107.552
16,110.288,99.870,107.753
17,111.082,99.808,108.553
18,110.437,99.839,108.825
19,110.781,99.969,108.353
20,110.533,99.868,108.045
21,111.100,99.857,108.040
22,111.555,99.865,108.771
23,110.419,99.858,109.002
24,111.002,99.955,109.029
25,111.566,99.994,109.433
26,111.261,99.757,109.091
27,112.195,99.963,109.008
28,111.837,100.052,109.312
29,111.648,99.922,109.000
30,111.979,100.021,109.367
31,111.617,99.933,109.265
32,111.137,99.831,109.151
33,111.782,100.009,109.689
34,111.884,99.857,109.532
35,111.428,99.814,110.198
36,111.613,100.056,110.459
37,111.895,100.037,109.826
38,111.807,100.024,109.124
39,111.044,99.903,109.514
40,111.153,99.992,109.749
41,110.834,99.881,109.615
42,110.641,99.883,109.928
43,110.759,99.927,110.080
44,111.508,100.122,109.486
45,111.158,99.936,109.357
46,111.482,99.933,109.206
47,111.841,99.958,109.662
48,112.076,100.087,109.896
49,111.598,99.907,109.747
50,112.180,99.866,110.472
51,112.760,100.112,109.932
52,112.088,99.954,109.884
53,112.464,99.989,110.307
54,112.329,99.908,110.776
55,112.680,99.971,110.902
56,112.618,99.813,110.450
57,112.154,99.941,110.485
58,111.848,99.853,110.256
59,111.468,99.865,110.340
60,111.651,99.990,110.597
61,111.313,99.835,110.158
62,112.731,99.879,110.351
63,112.185,99.759,110.155
64,111.839,99.969,110.018
