 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,114.746,99.820,110.100
2,114.376,99.719,109.764
3,114.408,99.798,109.906
4,101.918,99.848,110.277
5,103.173,99.842,109.917
6,104.123,99.837,109.951
7,104.924,99.883,110.112
8,105.750,99.829,109.532
9,106.497,99.939,109.749
10,106.212,99.824,109.502
11,106.758,99.901,109.773
12,107.785,99.824,109.729
13,107.558,99.842,109.332
14,107.781,99.901,110.106
15,108.098,99.729,110.359
16,109.236,99.706,109.959
17,109.053,99.721,110.066
18,109.111,99.845,110.088
19,109.599,99.772,109.942
20,109.748,99.721,109.524
21,109.547,100.014,109.529
22,110.290,99.792,110.114
23,110.534,99.704,109.639
24,110.170,99.751,110.008
25,111.073,99.841,110.272
26,110.739,99.766,110.472
27,110.622,99.863,109.676
28,110.827,99.802,109.879
29,111.344,99.857,110.188
30,111.283,99.896,109.979
31,110.935,99.777,109.792
32,111.286,99.831,109.829
33,110.845,99.926,109.947
34,110.447,99.819,110.225
35,111.398,99.912,110.720
36,111.703,99.891,109.658
37,111.298,99.853,109.574
38,111.102,99.726,108.795
39,111.432,99.807,108.990
40,111.247,99.866,109.524
41,112.287,99.889,109.313
42,112.595,99.909,109.466
43,113.029,99.849,109.182
44,112.392,99.708,108.692
45,113.058,99.885,108.986
46,113.394,99.881,109.498
47,112.456,100.081,109.191
48,112.912,99.874,109.090
49,113.045,99.912,109.347
50,112.875,99.814,109.092
51,112.666,99.824,109.380
52,112.990,99.857,109.331
53,112.978,99.794,109.686
54,112.161,99.806,109.511
55,112.742,99.816,108.820
56,112.756,99.840,108.910
57,112.503,99.862,109.063
58,113.178,99.779,109.118
59,113.918,99.952,108.618
60,113.407,99.838,108.625
61,113.568,99.906,108.872
62,113.590,99.709,108.598
63,113.925,99.757,108.452
64,113.634,99.711,108.082
