 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,109.551,99.998,109.682
2,109.699,99.996,108.786
3,109.497,99.865,109.169
4,101.283,99.966,108.787
5,102.425,100.051,109.074
6,102.967,100.048,108.818
7,103.453,99.989,109.175
8,103.422,100.018,109.180
9,103.805,100.128,109.430
10,104.109,100.035,109.246
11,104.922,99.974,109.006
12,105.037,100.115,109.136
13,104.657,99.868,109.909
14,104.974,100.035,109.286
15,105.104,99.959,109.510
16,105.224,100.217,109.786
17,106.058,100.121,109.879
18,105.777,99.959,109.384
19,105.519,99.939,109.952
20,106.355,100.063,108.981
21,106.281,99.982,109.163
22,105.982,100.091,109.265
23,105.750,99.977,109.948
24,105.887,99.924,109.456
25,106.213,99.996,110.873
26,106.747,99.939,110.025
27,107.074,99.951,109.643
28,107.271,99.842,109.207
29,107.253,100.069,109.041
30,107.517,99.947,109.700
31,107.394,99.908,109.490
32,107.335,99.861,109.784
33,107.618,100.045,109.593
34,107.768,100.042,110.004
35,108.009,99.862,109.218
36,107.680,99.869,108.899
37,107.452,99.968,109.238
38,107.921,99.863,108.789
39,108.558,99.859,109.735
40,108.300,99.997,109.604
41,107.976,99.974,109.224
42,108.250,100.014,108.586
43,108.050,99.950,106.831
44,108.706,100.065,107.042
45,108.665,100.095,107.719
46,108.480,99.965,107.507
47,108.717,99.983,107.634
48,108.683,99.926,107.691
49,108.649,99.894,106.463
50,109.293,100.031,107.843
51,109.463,99.971,106.860
52,108.986,99.898,107.210
53,108.934,99.915,107.112
54,109.142,99.850,107.864
55,109.026,99.835,107.224
56,108.905,99.849,107.176
57,108.889,99.957,106.856
58,109.578,99.891,107.031
59,109.870,99.865,106.848
60,109.982,99.963,106.686
61,110.031,99.894,107.128
62,110.376,99.928,106.599
63,110.488,99.824,106.405
64,110.116,99.753,106.758
