 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.861,99.730,109.057
2,110.741,99.767,108.610
3,110.845,99.929,108.566
4,101.346,99.852,108.384
5,102.732,99.736,108.534
6,103.536,99.876,107.768
7,104.781,99.896,108.252
8,105.266,99.801,109.326
9,106.249,99.827,108.872
10,106.126,99.947,109.828
11,106.345,99.771,108.716
12,106.963,99.681,109.587
13,106.516,99.717,108.967
14,106.876,99.794,108.511
15,108.103,99.850,109.253
16,108.443,99.763,108.695
17,108.348,99.844,109.121
18,108.239,99.801,109.262
19,107.665,99.893,108.993
20,107.384,99.931,109.058
21,107.712,99.689,108.267
22,107.819,99.744,109.117
23,108.046,99.785,108.843
24,108.819,99.782,108.683
25,108.700,99.781,109.018
26,108.578,99.804,108.949
27,108.972,99.887,108.601
28,109.073,99.794,109.106
29,109.119,99.757,108.143
30,108.935,99.653,108.579
31,108.472,99.828,108.061
32,109.073,99.840,108.156
33,108.288,99.897,108.536
34,108.359,99.873,107.382
35,109.040,99.813,107.782
36,109.088,99.853,107.605
37,108.862,99.841,107.179
38,109.009,99.912,107.575
39,108.715,99.915,107.872
40,108.665,99.712,108.172
41,109.227,99.811,108.375
42,109.365,99.826,108.246
43,109.113,99.717,108.805
44,109.307,99.856,108.726
45,109.342,99.894,109.300
46,109.251,99.783,108.962
47,109.016,99.820,109.359
48,108.744,99.847,109.033
49,109.590,99.757,109.638
50,109.265,99.853,109.968
51,109.439,99.827,109.895
52,108.988,99.763,109.642
53,108.986,99.932,108.947
54,108.815,99.688,109.046
55,108.551,99.803,108.877
56,109.583,99.773,109.517
57,109.771,99.865,109.037
58,108.925,99.864,109.031
59,109.847,99.788,109.604
60,109.488,99.853,109.319
61,109.335,99.784,109.089
62,108.676,99.739,109.021
63,109.159,99.753,109.198
64,109.337,99.721,108.960
