 ,Time(s)
1,0.000
2,0.799
3,1.799
4,2.071
5,3.072
6,4.072
7,5.072
8,6.072
9,7.072
10,8.072
11,9.072
12,10.072
13,11.072
14,12.072
15,13.072
16,14.071
17,15.072
18,16.072
19,17.073
20,18.071
21,19.072
22,20.072
23,21.072
24,22.072
25,23.071
26,24.072
27,25.072
28,26.073
29,27.071
30,28.072
31,29.072
32,30.072
33,31.072
34,32.072
35,33.072
36,34.071
37,35.072
38,36.071
39,37.072
40,38.072
41,39.072
42,40.072
43,41.072
44,42.072
45,43.071
46,44.072
47,45.072
48,46.072
49,47.072
50,48.072
51,49.072
52,50.071
53,51.071
54,52.071
55,53.071
56,54.072
57,55.071
58,56.071
59,57.071
60,58.071
61,59.071
62,60.071
63,61.071
64,62.071
