 ,Time(s)
1,0.000
2,0.796
3,1.796
4,2.068
5,3.069
6,4.068
7,5.068
8,6.069
9,7.069
10,8.068
11,9.068
12,10.068
13,11.068
14,12.068
15,13.068
16,14.068
17,15.069
18,16.069
19,17.069
20,18.068
21,19.069
22,20.069
23,21.069
24,22.067
25,23.069
26,24.068
27,25.068
28,26.068
29,27.067
30,28.069
31,29.067
32,30.068
33,31.068
34,32.068
35,33.068
36,34.068
37,35.068
38,36.068
39,37.067
40,38.067
41,39.068
42,40.068
43,41.068
44,42.068
45,43.068
46,44.068
47,45.068
48,46.068
49,47.068
50,48.068
51,49.068
52,50.068
53,51.068
54,52.068
55,53.068
56,54.067
57,55.068
58,56.068
59,57.068
60,58.067
61,59.068
62,60.068
63,61.068
64,62.067
