 ,Time(s)
1,0.000
2,0.762
3,1.761
4,2.034
5,3.034
6,4.035
7,5.035
8,6.035
9,7.035
10,8.034
11,9.035
12,10.034
13,11.033
14,12.035
15,13.034
16,14.034
17,15.034
18,16.035
19,17.035
20,18.035
21,19.035
22,20.035
23,21.034
24,22.034
25,23.034
26,24.034
27,25.034
28,26.034
29,27.034
30,28.034
31,29.034
32,30.035
33,31.035
34,32.035
35,33.035
36,34.035
37,35.034
38,36.033
39,37.034
40,38.035
41,39.035
42,40.034
43,41.034
44,42.035
45,43.035
46,44.034
47,45.034
48,46.035
49,47.034
50,48.035
51,49.034
52,50.034
53,51.034
54,52.035
55,53.034
56,54.034
57,55.034
58,56.033
59,57.034
60,58.034
61,59.033
62,60.034
63,61.034
64,62.033
