 ,Time(s)
1,0.000
2,0.752
3,1.753
4,2.025
5,3.026
6,4.026
7,5.025
8,6.026
9,7.026
10,8.027
11,9.025
12,10.026
13,11.026
14,12.025
15,13.026
16,14.026
17,15.026
18,16.026
19,17.026
20,18.026
21,19.026
22,20.026
23,21.026
24,22.025
25,23.026
26,24.026
27,25.026
28,26.026
29,27.026
30,28.026
31,29.026
32,30.025
33,31.026
34,32.026
35,33.026
36,34.026
37,35.026
38,36.025
39,37.026
40,38.026
41,39.025
42,40.026
43,41.025
44,42.025
45,43.025
46,44.025
47,45.025
48,46.026
49,47.026
50,48.025
51,49.026
52,50.025
53,51.025
54,52.025
55,53.025
56,54.025
57,55.025
58,56.025
59,57.025
60,58.025
61,59.025
62,60.025
63,61.025
64,62.025
