 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.528,99.898,106.155
2,110.811,99.990,106.440
3,110.475,99.782,106.144
4,101.041,99.867,105.757
5,101.713,99.853,106.547
6,102.266,99.948,106.263
7,102.712,99.832,106.401
8,102.971,99.935,106.416
9,103.129,99.919,106.501
10,103.524,99.900,106.519
11,103.567,99.964,105.754
12,103.880,99.913,105.886
13,104.043,99.881,106.098
14,103.939,99.841,106.285
15,104.423,99.944,106.104
16,104.199,99.896,106.225
17,104.594,99.994,105.266
18,104.820,99.845,105.179
19,104.934,99.812,105.521
20,104.817,99.810,105.436
21,104.951,99.917,105.943
22,105.265,99.848,105.792
23,105.294,99.843,105.903
24,105.670,99.961,105.978
25,105.517,99.876,105.932
26,105.625,99.984,105.737
27,105.669,99.943,105.717
28,105.729,99.998,106.134
29,105.775,99.876,106.001
30,105.865,99.697,106.314
31,105.756,99.804,105.976
32,106.021,99.984,106.099
33,105.957,99.818,105.482
34,105.963,99.840,105.340
35,106.526,99.811,105.276
36,106.236,99.831,105.867
37,106.194,99.749,105.717
38,106.378,99.755,105.717
39,106.044,99.798,105.526
40,106.223,99.922,105.305
41,106.410,99.869,105.140
42,106.481,99.989,105.433
43,106.160,99.876,105.346
44,106.377,99.964,105.110
45,106.506,99.958,105.843
46,106.605,100.037,106.015
47,106.939,99.791,105.262
48,106.724,99.899,105.746
49,106.488,99.849,105.243
50,106.372,99.853,105.639
51,106.259,99.943,105.328
52,106.892,99.802,105.452
53,107.121,99.809,105.669
54,107.100,99.926,105.335
55,106.827,99.845,105.264
56,106.837,99.938,105.313
57,106.808,99.860,104.969
58,106.409,99.628,105.151
59,106.878,99.963,105.056
60,106.818,99.967,104.725
61,106.860,99.821,105.378
62,107.241,99.746,105.167
63,107.111,99.859,105.242
64,107.102,99.767,105.724
