 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.813,99.869,114.347
2,112.654,99.929,113.501
3,113.299,99.865,114.152
4,103.020,99.894,113.206
5,104.032,99.899,113.852
6,104.825,99.905,113.579
7,105.258,99.869,113.936
8,106.078,100.100,113.855
9,106.524,99.887,112.947
10,106.683,99.905,113.257
11,107.445,99.985,113.602
12,107.822,99.975,113.358
13,108.271,99.826,113.789
14,108.888,100.011,113.453
15,109.041,99.875,114.100
16,109.314,99.905,113.498
17,109.453,99.967,113.676
18,109.347,99.877,113.355
19,109.934,99.850,113.518
20,110.033,99.996,113.356
21,110.085,99.901,113.261
22,110.180,99.941,112.965
23,110.724,99.759,112.732
24,111.168,99.843,113.068
25,110.359,99.754,112.329
26,110.571,99.963,112.623
27,110.712,99.799,112.996
28,111.079,99.944,112.441
29,111.046,99.974,112.985
30,110.706,99.825,112.368
31,110.942,99.880,112.854
32,110.517,99.854,113.202
33,110.820,99.872,112.451
34,110.944,99.916,112.630
35,111.279,99.959,112.669
36,111.152,99.860,113.226
37,111.687,99.870,113.096
38,111.067,99.937,113.411
39,111.474,99.869,113.604
40,111.502,99.854,112.967
41,111.417,99.806,112.824
42,111.750,99.766,113.071
43,111.640,99.882,113.134
44,111.500,99.794,113.115
45,111.202,100.008,113.056
46,111.884,99.716,112.907
47,111.300,99.773,113.066
48,111.659,99.876,113.367
49,111.642,99.928,113.294
50,111.271,99.736,112.862
51,112.016,99.846,113.288
52,112.030,99.994,113.098
53,111.902,99.876,113.063
54,111.346,99.904,112.845
55,111.557,99.688,112.676
56,111.782,100.097,113.127
57,110.756,99.777,112.791
58,111.721,99.784,113.147
59,111.551,99.813,112.385
60,111.654,99.857,112.776
61,111.183,99.985,112.806
62,111.273,99.844,112.942
63,110.699,99.832,113.030
64,111.344,99.806,112.797
