 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,111.771,99.657,108.150
2,111.783,99.840,107.385
3,111.543,99.724,107.225
4,101.409,99.706,107.777
5,103.047,99.677,107.322
6,104.353,99.615,107.431
7,104.945,99.695,107.847
8,106.303,99.807,107.380
9,106.574,99.755,107.659
10,107.039,99.791,107.476
11,107.037,99.710,107.464
12,107.018,99.640,108.150
13,107.429,99.931,107.932
14,107.512,99.743,107.618
15,108.668,99.819,107.489
16,108.350,99.662,107.549
17,108.223,99.689,107.265
18,108.299,99.825,107.993
19,108.687,99.889,108.082
20,109.674,99.798,108.053
21,109.340,99.840,107.551
22,109.447,99.690,107.712
23,109.312,99.812,107.747
24,109.548,99.683,107.765
25,110.030,99.782,107.831
26,109.637,99.658,108.147
27,109.147,99.724,108.559
28,109.706,99.889,108.397
29,110.124,99.920,108.441
30,110.662,99.693,108.510
31,110.108,99.648,108.610
32,109.624,99.961,109.091
33,109.660,99.873,108.508
34,109.836,99.730,108.606
35,109.602,99.743,108.351
36,109.792,99.825,108.500
37,109.655,99.910,108.623
38,109.809,99.664,108.327
39,110.055,99.693,108.401
40,110.040,99.638,108.429
41,109.308,99.860,108.876
42,109.605,99.883,108.310
43,109.750,99.662,108.609
44,110.063,99.549,108.630
45,109.714,99.743,108.361
46,109.797,99.771,108.056
47,110.212,99.853,108.537
48,110.859,99.690,108.868
49,110.853,99.676,108.570
50,110.645,99.804,108.178
51,110.812,99.764,107.959
52,110.722,99.654,108.140
53,111.497,99.667,107.968
54,111.281,99.692,107.676
55,110.389,99.763,107.625
56,110.233,99.692,107.384
57,110.510,99.805,108.012
58,110.418,99.691,107.758
59,110.749,99.591,107.856
60,110.688,99.724,108.204
61,111.152,99.771,108.042
62,110.380,99.763,107.992
63,110.179,99.616,108.435
64,110.254,99.641,108.379
