 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.783,99.849,109.517
2,112.947,99.724,109.501
3,113.394,99.720,109.127
4,101.355,99.676,109.042
5,103.050,99.664,109.519
6,103.652,99.915,109.218
7,104.483,99.871,109.645
8,105.076,99.792,109.350
9,105.759,99.748,109.043
10,106.064,99.899,108.972
11,106.819,99.825,108.938
12,106.873,99.818,109.148
13,107.553,99.667,108.921
14,107.867,99.766,109.205
15,107.497,99.779,109.157
16,107.897,99.819,109.518
17,107.680,99.750,108.899
18,107.892,99.735,109.388
19,107.727,99.798,108.791
20,108.289,99.771,108.478
21,108.870,99.620,109.649
22,109.017,99.842,109.221
23,109.176,99.857,108.913
24,109.392,99.844,108.659
25,109.523,99.804,108.694
26,108.933,99.904,108.767
27,109.198,99.899,108.561
28,109.082,99.811,109.379
29,109.720,99.798,108.928
30,109.990,99.971,108.896
31,110.255,99.824,108.937
32,109.806,99.793,108.564
33,109.111,99.914,108.082
34,108.772,99.709,107.708
35,109.771,99.761,108.190
36,110.147,99.673,108.574
37,110.160,99.827,108.593
38,110.172,99.827,108.527
39,110.179,99.729,108.949
40,110.040,99.847,109.053
41,110.410,99.682,108.967
42,110.303,99.686,108.456
43,109.959,99.836,109.058
44,110.286,99.766,108.203
45,110.361,99.637,108.669
46,110.527,99.945,108.477
47,110.523,99.719,108.341
48,111.074,99.817,108.948
49,110.664,99.665,108.679
50,110.783,99.779,109.154
51,110.840,99.705,109.053
52,110.440,99.666,108.880
53,110.348,99.697,108.800
54,110.198,99.750,108.533
55,110.147,99.820,109.023
56,111.027,99.855,108.629
57,109.980,99.635,108.276
58,110.555,99.672,109.001
59,110.390,99.565,108.693
60,110.544,99.779,108.659
61,110.924,99.786,108.774
62,111.200,99.736,108.501
63,111.973,99.639,108.491
64,111.543,99.679,108.846
