 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.409,99.671,107.546
2,109.782,99.806,107.253
3,110.079,99.532,108.045
4,101.429,99.729,107.689
5,102.678,99.646,107.342
6,103.209,99.687,107.307
7,104.104,99.648,106.328
8,104.112,99.626,107.489
9,104.545,99.688,107.481
10,104.426,99.731,107.755
11,104.962,99.712,107.431
12,105.767,99.750,107.311
13,105.530,99.679,107.166
14,105.888,99.664,107.348
15,106.196,99.687,107.571
16,106.824,99.775,107.397
17,106.495,99.674,107.177
18,106.906,99.576,106.882
19,106.424,99.573,106.888
20,106.873,99.703,106.944
21,106.763,99.644,106.806
22,106.654,99.611,107.495
23,106.514,99.604,107.324
24,107.140,99.724,107.018
25,107.007,99.521,107.748
26,107.185,99.728,107.166
27,107.056,99.695,107.201
28,107.466,99.778,107.306
29,107.251,99.597,107.711
30,108.107,99.689,108.004
31,107.178,99.719,107.949
32,107.336,99.745,107.478
33,107.430,99.683,107.591
34,107.451,99.651,107.366
35,107.487,99.782,108.063
36,107.717,99.673,107.918
37,107.638,99.811,108.037
38,107.643,99.749,108.155
39,107.844,99.596,107.502
40,108.017,99.834,107.906
41,107.806,99.774,108.047
42,108.127,99.754,107.905
43,107.864,99.772,108.165
44,108.666,99.845,108.206
45,107.958,99.805,108.497
46,107.764,99.676,108.320
47,107.445,99.735,107.870
48,108.029,99.617,107.787
49,107.783,99.729,107.454
50,107.800,99.709,107.824
51,108.267,99.639,107.583
52,108.488,99.499,107.712
53,107.980,99.757,107.717
54,108.369,99.614,107.785
55,108.113,99.686,107.756
56,108.428,99.642,106.959
57,108.618,99.650,107.446
58,108.283,99.648,107.431
59,108.300,99.670,107.194
60,108.438,99.483,107.362
61,107.999,99.758,107.260
62,107.622,99.740,107.628
63,108.395,99.739,107.597
64,108.163,99.561,107.003
