 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,105.627,99.966,104.656
2,105.202,100.015,104.682
3,105.384,99.948,104.626
4,101.976,99.982,104.902
5,102.528,99.885,104.729
6,102.676,99.884,104.938
7,102.525,99.886,104.810
8,102.771,100.043,104.715
9,102.892,99.968,104.583
10,103.367,99.875,104.572
11,103.272,99.986,104.504
12,103.472,100.000,104.796
13,103.518,99.872,104.546
14,103.734,100.029,104.519
15,103.648,99.853,104.567
16,103.680,100.047,104.942
17,103.724,99.924,104.682
18,103.508,99.998,104.757
19,103.957,99.982,104.660
20,103.937,100.086,104.710
21,103.967,99.898,104.984
22,103.729,99.898,104.879
23,103.755,100.076,104.740
24,103.656,100.000,104.629
25,103.829,99.886,104.684
26,103.747,99.919,104.944
27,103.511,99.816,104.906
28,103.720,99.874,104.622
29,103.762,100.103,104.838
30,103.722,99.970,104.712
31,103.627,99.929,104.778
32,103.914,100.040,104.474
33,104.024,99.865,104.294
34,103.962,99.977,104.480
35,104.270,99.933,104.286
36,104.113,99.873,104.395
37,103.896,100.052,104.579
38,103.971,99.862,104.400
39,104.029,100.014,104.765
40,103.923,99.983,104.529
41,104.232,99.857,104.404
42,103.832,99.904,104.273
43,103.894,99.972,104.492
44,104.112,99.969,104.889
45,103.856,100.075,104.865
46,103.947,99.871,104.538
47,103.983,99.865,104.983
48,104.204,99.957,104.520
49,104.289,100.002,104.966
50,104.683,99.926,104.443
51,103.822,99.869,104.652
52,104.345,99.891,104.152
53,104.389,100.010,104.288
54,104.101,99.924,103.878
55,103.944,100.034,103.964
56,104.182,99.912,104.002
57,104.118,99.966,103.849
58,104.171,100.062,103.956
59,104.462,99.914,104.248
60,104.201,99.835,103.729
61,103.829,99.793,104.072
62,104.276,99.980,103.883
63,104.203,99.836,104.080
64,103.980,99.998,103.908
