 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.163,99.896,112.379
2,111.583,99.757,111.948
3,111.978,99.831,112.416
4,102.008,99.789,111.941
5,103.244,99.897,111.722
6,104.206,99.879,112.009
7,105.050,99.922,111.385
8,105.066,99.980,111.252
9,105.626,99.788,111.547
10,105.714,99.965,111.377
11,106.275,99.876,111.723
12,106.949,100.007,111.852
13,107.114,99.894,111.971
14,107.698,99.852,111.828
15,107.926,99.959,111.800
16,108.096,99.967,111.754
17,108.491,99.919,111.492
18,108.651,99.923,111.625
19,108.660,99.833,112.224
20,108.522,99.941,111.998
21,108.755,99.826,112.498
22,109.156,99.731,112.563
23,109.190,99.930,112.401
24,109.632,99.854,112.665
25,109.833,99.752,112.171
26,109.088,99.797,111.719
27,109.720,99.994,111.889
28,109.328,99.978,112.396
29,110.044,99.771,111.741
30,110.130,99.850,111.603
31,109.331,99.845,112.112
32,109.688,99.754,111.895
33,109.554,99.939,111.430
34,110.123,99.994,112.599
35,109.698,99.787,112.258
36,110.195,99.857,111.607
37,109.646,99.864,111.334
38,109.878,99.799,111.362
39,109.948,99.910,112.107
40,109.701,99.948,111.452
41,110.276,99.925,111.389
42,109.992,100.010,111.454
43,109.782,99.969,111.916
44,109.508,99.772,112.055
45,110.553,99.882,112.143
46,110.201,99.892,111.834
47,110.274,99.823,112.066
48,110.297,99.895,112.558
49,110.017,99.893,111.889
50,110.000,99.740,111.908
51,110.606,99.746,112.765
52,110.325,99.851,112.724
53,110.374,100.123,111.907
54,109.942,99.963,111.768
55,110.592,99.900,111.988
56,110.048,99.959,111.813
57,110.463,99.804,111.179
58,110.815,100.033,111.529
59,110.818,99.848,111.627
60,110.336,99.853,111.511
61,110.399,99.816,111.265
62,110.206,99.741,111.598
63,110.004,99.721,110.879
64,110.381,99.820,111.580
