 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.438,99.823,110.676
2,109.740,99.971,110.182
3,110.223,100.017,110.643
4,101.729,99.816,110.216
5,102.924,100.009,110.136
6,103.888,100.076,109.618
7,104.100,100.135,110.166
8,104.542,100.012,111.122
9,104.791,99.991,110.719
10,105.253,100.017,109.777
11,105.981,100.059,110.376
12,106.587,100.002,110.459
13,106.067,100.062,109.601
14,106.202,100.064,109.507
15,106.066,99.997,109.050
16,106.677,100.029,109.561
17,106.561,100.118,109.710
18,106.911,100.071,109.092
19,106.486,100.170,109.396
20,106.610,100.135,109.646
21,107.105,100.112,109.844
22,107.328,99.998,109.584
23,107.417,100.143,110.612
24,107.629,99.978,111.246
25,107.834,100.095,110.467
26,108.084,100.065,110.794
27,107.669,100.040,110.076
28,107.465,99.857,110.153
29,107.440,100.029,110.459
30,107.368,99.967,110.034
31,107.317,100.006,110.840
32,107.959,100.095,110.620
33,108.298,99.884,110.566
34,107.834,99.987,110.767
35,107.207,100.013,111.223
36,107.243,99.869,110.526
37,107.617,100.013,110.548
38,107.461,100.065,111.021
39,107.431,99.968,110.730
40,107.764,100.094,111.340
41,107.429,99.978,110.477
42,108.283,99.935,110.517
43,107.400,100.037,110.693
44,107.500,100.045,110.579
45,107.513,99.999,110.926
46,107.830,99.988,110.470
47,108.069,99.835,110.273
48,108.121,99.875,109.843
49,107.756,100.095,109.821
50,107.759,99.789,110.061
51,107.560,99.947,110.281
52,108.132,99.971,110.097
53,108.408,100.106,110.110
54,108.589,99.895,110.993
55,108.796,99.907,110.614
56,107.981,99.978,110.457
57,107.849,99.969,110.657
58,108.471,100.054,110.121
59,107.972,100.017,110.068
60,108.255,99.811,109.802
61,108.126,99.847,110.866
62,107.965,100.057,110.426
63,108.171,99.967,110.343
64,108.519,99.998,110.750
