PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
8,12,10,105,114,DIRECTED/ACTIVE,7.616E-3,5.147E-6,7.156,1.776,1.278,0.372,0.167,0.555,0.338,1.578,0.767,-2.220E-16,0.500,-0.097,0.010,0.385,0.957,0.593
18,31,11,1,11,DIRECTED/ACTIVE,5.281E-2,3.949E-5,4.825,3.702,1.314,0.637,0.112,0.436,0.670,1.036,1.121,0.635,0.571,0.029,0.028,0.998,0.981,0.596
20,35,29,0,28,DIRECTED/ACTIVE,6.363E-2,0.827,4.899,3.508,1.239,0.493,0.135,0.469,0.836,1.997,1.258,0.415,0.526,-0.068,0.046,0.958,0.991,0.611
20,37,10,42,51,DIRECTED/ACTIVE,8.963E-2,1.458,4.180,3.120,1.165,0.659,0.252,0.641,1.519,1.416,1.106,0.233,0.567,0.022,0.033,1.000,0.968,0.699
26,43,13,4,16,DIRECTED/ACTIVE,4.42E-2,1.008E-5,6.945,6.108,1.348,0.078,0.100,0.395,0.682,2.277,0.725,0.389,0.342,0.026,0.036,0.500,0.847,0.632
33,58,17,0,16,DIRECTED/ACTIVE,5.734E-2,1.551,1.068,0.602,1.213,0.610,0.148,0.477,1.028,1.260,1.446,0.795,0.642,-0.100,0.052,0.984,0.994,0.638
46,83,13,38,50,DIRECTED/ACTIVE,4.08E-2,5.801E-7,1.511,7.068,1.329,0.509,0.194,0.541,0.805,1.852,0.893,0.240,0.586,0.160,0.042,0.970,0.997,0.600
63,102,15,21,35,DIRECTED/ACTIVE,1.321E-1,1.814E-6,0.125,2.645,1.390,0.823,0.018,0.194,0.437,1.304,1.074,0.660,0.527,-0.110,0.040,0.887,0.865,0.614
68,107,12,22,33,DIRECTED/ACTIVE,3.447E-2,7.793E-6,0.290,5.790,1.445,0.458,0.085,0.352,0.570,1.614,0.318,0.034,0.472,0.320,0.042,-1.522,0.655,0.496
70,108,13,19,31,DIRECTED/ACTIVE,8.424E-2,7.181E-6,6.394,6.031,1.258,0.625,0.240,0.600,1.202,1.749,1.156,0.449,0.493,-0.088,0.025,0.934,0.963,0.730
74,123,14,25,38,DIRECTED/ACTIVE,8.952E-2,2.526E-5,3.646,2.800,1.286,0.757,0.098,0.384,0.740,1.495,1.117,0.103,0.592,0.140,0.028,0.916,0.960,0.581
84,144,17,28,44,DIRECTED/ACTIVE,1.267E-1,0.962,6.652,5.553,1.363,0.662,0.121,0.456,1.169,1.325,1.083,0.364,0.379,-0.041,0.034,0.948,0.977,0.614
87,152,22,38,59,DIRECTED/ACTIVE,8.613E-2,0.077,1.104,6.964,1.404,0.921,0.056,0.341,0.522,1.179,1.120,1.611,0.437,-0.012,0.022,0.947,0.966,0.605
89,159,11,35,45,DIRECTED/ACTIVE,5.145E-2,5.919E-6,1.451,6.022,1.475,0.346,0.005,0.088,0.152,2.091,0.087,0.344,0.401,-0.031,0.042,-1.170,-0.043,0.632
92,171,13,32,44,DIRECTED/ACTIVE,4.798E-2,8.619E-6,2.086,5.369,1.384,0.759,0.124,0.452,0.663,1.401,1.007,0.875,0.249,-0.072,0.037,0.964,0.989,0.554
100,183,14,37,50,DIRECTED/ACTIVE,6.866E-2,0.946,6.366,5.694,1.295,0.610,0.118,0.452,0.866,1.205,1.160,0.237,0.474,-0.066,0.050,0.993,0.994,0.607
104,196,15,39,53,DIRECTED/ACTIVE,6.113E-2,1.234,1.931,7.435,1.130,0.518,0.340,0.738,1.392,1.907,1.311,0.320,0.621,-0.003,0.049,0.999,0.954,0.637
110,207,13,43,55,DIRECTED/ACTIVE,1.485E-1,6.861E-6,7.120,7.123,1.333,0.658,0.174,0.524,1.470,1.256,0.908,0.275,0.504,-0.084,0.087,0.717,0.938,0.651
112,212,15,46,60,DIRECTED/ACTIVE,4.098E-2,3.033,3.584,3.621,1.032,0.440,0.591,0.922,2.797,2.021,1.861,0.058,0.665,-0.156,0.116,0.997,0.997,0.714
122,225,26,74,99,DIRECTED/ACTIVE,7.741E-2,7.342E-6,4.705,7.357,1.372,0.728,0.040,0.284,0.415,1.766,1.172,0.881,0.467,-0.060,0.024,0.931,0.982,0.594
126,229,18,59,76,DIRECTED/ACTIVE,1.241E-2,4.660,2.407,4.027,1.071,0.388,0.562,0.806,3.783,1.457,1.933,-0.226,0.509,-0.157,0.180,0.998,1.000,0.708
127,230,11,60,70,DIRECTED/ACTIVE,5.984E-2,0.912,3.073,6.116,1.431,0.807,0.168,0.481,0.952,1.087,1.166,0.259,0.452,-0.072,0.057,1.000,0.997,0.562
132,237,13,62,74,DIRECTED/ACTIVE,5.247E-2,1.103,3.074,1.603,1.143,0.651,0.208,0.680,1.045,2.856,1.482,0.448,0.667,-0.143,0.042,1.000,0.984,0.604
135,246,12,66,77,DIRECTED/ACTIVE,5.404E-2,0.389,1.530,6.043,1.358,0.744,0.177,0.519,0.841,1.178,1.244,0.375,0.478,-0.045,0.050,0.994,0.980,0.601
136,248,15,68,82,DIRECTED/ACTIVE,2.365E-2,0.785,1.293,6.608,1.331,0.596,0.079,0.348,0.488,1.323,1.217,-0.038,0.590,-0.081,0.025,0.930,0.961,0.673
142,253,12,70,81,DIRECTED/ACTIVE,4.924E-2,1.101E-5,7.110,4.453,1.407,0.910,0.083,0.380,0.532,1.383,1.015,0.304,0.528,0.099,0.043,0.841,0.934,0.524
153,269,13,72,84,DIRECTED/ACTIVE,1.563E-1,0.512,1.268,2.794,1.397,0.715,0.102,0.413,1.100,1.614,1.078,0.078,0.342,0.088,0.043,1.000,0.996,0.692
166,298,12,108,119,DIRECTED/ACTIVE,1.339E-2,1.207,4.027,6.493,1.377,0.554,0.139,0.434,0.691,1.164,1.230,-0.198,0.583,0.007,0.044,0.938,0.924,0.604
175,308,29,85,113,DIRECTED/ACTIVE,1.061E-1,0.938,2.572,1.236,1.279,0.515,0.147,0.483,1.054,1.979,1.312,0.362,0.238,-0.093,0.050,0.984,0.995,0.660
180,312,11,85,95,DIRECTED/ACTIVE,1.65E-1,1.087E-5,0.291,5.327,1.559,0.404,0.097,0.354,1.216,1.836,0.862,-0.270,0.353,-0.003,0.052,-0.042,0.862,0.710
191,323,11,94,104,DIRECTED/ACTIVE,3.808E-2,1.923,0.876,5.971,1.397,0.979,0.096,0.441,0.816,1.611,0.863,1.640,0.667,0.062,0.047,1.000,0.522,0.584
197,327,13,106,118,DIRECTED/ACTIVE,8.897E-2,1.190E-5,2.105,4.378,1.367,0.669,0.107,0.454,0.858,1.204,1.034,0.357,0.354,-0.021,0.025,0.996,0.983,0.580
207,346,11,126,136,DIRECTED/ACTIVE,5.077E-2,5.044E-5,5.389,7.160,1.256,0.535,0.156,0.498,0.775,1.115,1.093,0.210,0.575,-0.062,0.026,0.998,0.986,0.632
209,351,12,112,123,DIRECTED/ACTIVE,3.189E-2,0.718,3.387,0.560,1.342,0.696,0.095,0.445,0.560,1.076,1.236,2.480,0.521,-0.070,0.018,0.970,0.963,0.560
215,371,13,109,121,DIRECTED/ACTIVE,8.878E-2,2.757E-5,4.711,6.329,1.497,0.956,0.074,0.338,0.626,1.905,1.336,-0.132,0.045,-0.094,0.051,0.898,0.966,0.550
216,374,25,129,153,DIRECTED/ACTIVE,2.048E-2,0.606,1.547,2.293,1.563,0.692,0.002,0.047,0.063,1.937,1.171,-0.133,0.482,-0.035,0.023,0.984,0.985,0.627
217,379,11,147,157,DIRECTED/ACTIVE,3.128E-2,1.138,5.869,2.862,1.132,0.541,0.425,0.745,1.265,1.313,1.563,-0.150,0.620,-0.120,0.047,1.000,0.996,0.651
219,383,15,122,136,DIRECTED/ACTIVE,4.141E-2,0.670,0.555,6.779,1.353,0.852,0.103,0.465,0.591,0.973,1.286,1.054,0.501,-0.085,0.028,0.999,0.998,0.575
228,392,14,129,142,DIRECTED/ACTIVE,9.331E-2,0.806,1.800,7.480,1.405,0.925,0.071,0.388,0.704,1.691,0.977,0.870,0.547,-0.029,0.041,0.986,0.869,0.567
253,441,16,139,154,DIRECTED/ACTIVE,1.742E-1,1.125,5.762,3.958,1.411,0.759,0.147,0.448,1.290,1.086,1.343,0.284,0.480,-0.076,0.050,0.899,0.981,0.581
256,450,12,143,154,DIRECTED/ACTIVE,6.289E-2,1.370,0.730,6.643,1.399,0.866,0.101,0.421,0.841,1.130,1.393,0.382,0.319,0.055,0.058,0.997,0.996,0.550
268,467,11,145,155,DIRECTED/ACTIVE,9.316E-2,0.608,2.800,1.716,1.157,0.548,0.279,0.732,1.434,1.436,1.046,0.743,0.584,-0.097,0.029,1.000,0.999,0.613
269,470,16,161,176,DIRECTED/ACTIVE,5.24E-2,6.252E-6,4.377,2.725,1.675,0.873,5.734E-4,0.030,0.045,1.364,1.168,0.061,0.438,-0.086,0.053,0.684,0.905,0.617
286,496,14,169,182,DIRECTED/ACTIVE,4.963E-2,1.599,4.663,4.329,1.281,0.769,0.169,0.523,1.053,1.836,1.515,1.270,0.345,-0.110,0.047,1.000,0.999,0.588
