PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
9,15,12,14,25,CONFINED,0.067,0.017,0.016,1.13E-10,3.180,1.697,3.363,-0.227,0.000,0.000,0.000,1.694,8.862E-13,-0.023,0.011,0.487,0.041,-0.267,-0.105,0.713
55,90,14,16,29,CONFINED,0.053,0.018,0.017,1.201E-4,1.506,4.546,3.928,-0.227,0.003,0.066,0.052,1.385,1.029E-11,-0.230,0.021,0.390,0.028,-0.211,-0.083,0.802
81,135,11,38,48,CONFINED,0.069,0.004,2.311E-7,2.609E-3,1.200,1.127,3.996,-0.227,0.000,0.000,0.000,2.000,5.467E-10,-0.389,0.009,3.200,0.036,-0.364,-0.125,0.753
85,145,10,30,39,CONFINED,0.101,0.010,0.011,3.886E-12,0.632,6.552,3.227,-0.227,0.001,0.043,0.076,1.789,2.052E-11,-0.237,0.137,0.265,0.064,-0.444,-0.143,0.713
105,203,17,196,212,CONFINED,0.096,0.026,0.058,1.64E-11,1.174,1.172,2.716,-0.227,0.001,0.042,0.060,1.958,2.795E-12,-0.010,0.313,0.405,0.043,-0.138,-0.059,0.711
178,311,11,86,96,CONFINED,0.193,0.874,0.387,1.07E-1,1.716,7.516,3.202,0.973,0.012,0.127,0.215,1.453,0.614,-0.081,0.041,2.333,0.041,1.000,0.993,0.552
221,384,15,108,122,CONFINED,0.162,0.011,0.010,2.14E-11,5.056,0.384,2.804,0.950,0.008,0.099,0.248,2.162,2.106E-12,-0.106,0.250,0.366,0.074,-0.167,-0.071,0.568
240,414,15,125,139,CONFINED,0.055,0.062,4.837E-7,3.036E-4,6.056,7.440,2.739,0.857,0.022,0.167,0.137,2.804,0.055,-0.222,0.051,0.371,0.025,-0.167,-0.048,0.663
255,447,14,188,201,CONFINED,3.766,1.000,2.074E-5,3.089E2,7.057,5.243,3.743,0.989,0.011,0.137,0.105,1.467,0.471,0.103,0.031,1.800,0.021,0.956,0.884,0.780
388,645,14,246,259,CONFINED,0.168,0.582,1.153,1.15E-1,0.511,6.637,2.447,0.494,0.014,0.141,0.318,2.315,8.577E-14,-0.151,0.166,2.962,0.069,1.000,-0.083,0.749
392,652,14,265,278,CONFINED,30.256,1.000,8970.392,3.971E-6,1.426,7.054,3.984,-0.227,0.001,0.036,0.074,1.407,0.391,-0.403,0.341,0.750,0.073,0.543,0.414,0.792
