 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,108.122,102.243,113.528
2,108.165,102.289,113.372
3,108.280,102.362,112.869
4,103.604,102.258,113.122
5,104.221,102.168,113.458
6,104.876,102.330,113.212
7,105.486,102.359,113.822
8,105.486,102.269,114.420
9,105.614,102.391,114.247
10,105.662,102.204,114.032
11,106.040,102.204,113.361
12,106.330,102.178,113.786
13,106.314,102.474,113.903
14,106.383,102.239,113.806
15,106.220,102.618,113.717
16,106.524,102.432,113.477
17,106.505,102.392,114.798
18,106.854,102.289,114.456
19,106.865,102.316,114.518
20,107.136,102.205,114.681
21,107.124,102.441,114.555
22,107.175,102.311,113.742
23,107.435,102.437,113.330
24,107.188,102.455,113.848
25,107.053,102.467,114.103
26,107.044,102.244,114.135
27,107.186,102.292,114.077
28,107.121,102.530,114.814
29,106.785,102.428,115.026
30,107.077,102.552,114.775
31,107.281,102.344,114.665
32,107.535,102.403,114.284
33,107.264,102.404,114.984
34,107.700,102.407,114.571
35,107.448,102.386,114.779
36,107.397,102.328,114.256
37,107.478,102.512,113.917
38,107.343,102.429,113.985
39,107.779,102.663,114.747
40,107.710,102.650,114.972
41,107.639,102.350,114.635
42,107.697,102.353,115.000
43,107.647,102.642,115.440
44,107.582,102.258,114.978
45,107.362,102.446,114.468
46,107.522,102.454,114.509
47,107.659,102.261,114.070
48,107.724,102.405,114.102
49,107.468,102.514,114.386
50,107.458,102.567,114.151
51,107.171,102.479,114.955
52,107.365,102.596,114.229
53,107.323,102.453,114.443
54,107.639,102.534,113.958
55,107.577,102.449,114.577
56,107.246,102.388,114.233
57,107.232,102.325,114.236
58,107.404,102.597,114.201
59,107.740,102.571,113.830
60,107.752,102.335,113.491
61,107.855,102.498,114.016
62,107.474,102.572,113.829
63,107.444,102.319,114.322
64,107.598,102.417,114.493
