 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,109.843,102.344,106.502
2,109.911,102.363,106.615
3,110.096,102.557,106.704
4,102.597,102.291,106.383
5,103.739,102.329,106.448
6,104.429,102.210,106.744
7,104.798,102.484,106.711
8,105.540,102.423,106.683
9,105.870,102.514,106.671
10,106.097,102.426,106.454
11,106.126,102.411,106.046
12,106.200,102.537,106.234
13,106.980,102.418,106.092
14,107.339,102.557,106.150
15,107.663,102.425,106.059
16,107.482,102.468,106.350
17,107.596,102.358,106.539
18,107.703,102.542,106.546
19,107.921,102.572,106.599
20,107.523,102.457,106.558
21,107.562,102.597,106.582
22,108.144,102.539,106.356
23,107.623,102.635,106.239
24,108.138,102.408,106.284
25,108.596,102.499,105.680
26,108.236,102.450,106.120
27,108.386,102.661,105.870
28,108.636,102.422,106.343
29,108.584,102.550,106.298
30,108.759,102.572,106.346
31,108.932,102.428,106.256
32,108.652,102.653,106.277
33,108.948,102.541,106.634
34,108.685,102.690,106.825
35,108.750,102.526,106.529
36,108.403,102.638,106.592
37,109.129,102.560,106.303
38,108.775,102.553,106.561
39,108.625,102.402,106.314
40,109.023,102.418,106.669
41,108.888,102.692,106.382
42,108.461,102.699,106.570
43,108.388,102.518,106.292
44,108.816,102.616,106.382
45,108.635,102.581,105.989
46,108.783,102.286,106.103
47,108.514,102.547,106.209
48,108.408,102.674,106.613
49,108.621,102.499,106.253
50,108.626,102.551,106.370
51,108.514,102.524,106.609
52,109.175,102.249,105.885
53,109.047,102.481,106.225
54,109.183,102.496,105.942
55,108.897,102.512,106.181
56,108.927,102.517,105.914
57,108.732,102.337,105.795
58,108.876,102.453,105.952
59,109.234,102.574,105.831
60,109.114,102.532,105.878
61,108.968,102.604,106.027
62,109.308,102.645,106.399
63,108.998,102.466,106.129
64,109.104,102.565,106.016
