 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,109.718,101.824,111.163
2,109.163,102.035,110.783
3,108.862,101.793,110.659
4,102.100,101.771,110.589
5,103.024,101.789,111.017
6,103.866,101.892,111.011
7,104.082,101.924,110.948
8,104.556,101.763,111.213
9,105.038,101.748,111.016
10,105.463,102.023,111.558
11,105.539,101.981,111.618
12,105.822,102.116,111.517
13,106.194,101.887,111.804
14,105.931,102.095,111.617
15,106.205,101.933,111.795
16,106.218,102.052,111.601
17,106.789,102.138,111.404
18,106.634,102.140,111.590
19,107.041,102.018,111.146
20,106.890,102.218,111.140
21,107.301,102.112,111.606
22,107.052,102.120,111.165
23,107.310,101.927,111.618
24,107.311,101.931,111.403
25,107.390,101.948,111.189
26,107.318,102.039,111.580
27,107.044,101.866,111.213
28,107.175,101.930,111.307
29,107.406,102.128,111.520
30,107.606,102.078,111.033
31,107.394,102.035,111.206
32,107.248,102.103,111.469
33,107.665,102.177,111.393
34,107.322,102.006,111.630
35,107.485,102.029,111.065
36,107.425,102.025,111.255
37,107.317,101.991,111.309
38,107.137,102.087,111.322
39,107.515,102.057,111.394
40,107.453,102.067,111.628
41,107.394,102.054,111.599
42,107.397,102.156,111.336
43,107.450,101.804,111.352
44,107.408,102.066,111.463
45,107.462,102.093,111.375
46,107.671,102.057,111.289
47,107.630,102.122,111.602
48,107.670,102.098,111.167
49,107.449,102.242,111.324
50,107.627,102.045,111.433
51,107.731,101.876,111.345
52,107.400,102.130,110.648
53,107.182,101.973,110.427
54,107.171,101.899,110.940
55,107.638,101.868,110.727
56,107.312,101.940,111.185
57,107.953,102.040,110.902
58,107.516,102.027,110.804
59,107.396,102.079,110.740
60,107.656,102.122,110.569
61,107.832,102.131,110.639
62,107.770,102.072,110.507
63,107.532,102.068,110.242
64,107.500,101.989,110.733
