 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.222,102.951,110.129
2,109.796,103.078,109.895
3,110.092,102.983,110.103
4,103.701,102.752,109.723
5,104.662,102.810,110.263
6,105.538,102.964,110.122
7,105.641,103.004,109.744
8,105.819,102.845,109.416
9,106.449,102.850,109.803
10,106.454,102.934,109.419
11,106.598,102.719,109.710
12,106.776,102.867,109.147
13,106.980,102.937,109.171
14,107.351,103.181,109.038
15,107.174,102.818,109.646
16,107.394,103.013,109.422
17,107.446,102.956,109.430
18,107.923,103.045,109.327
19,108.236,102.960,109.497
20,108.164,103.000,109.516
21,108.203,103.041,109.055
22,108.191,103.047,108.819
23,108.024,103.053,108.775
24,108.442,103.097,108.879
25,108.287,103.010,109.340
26,108.657,102.907,109.309
27,108.657,102.935,109.210
28,108.676,102.876,109.397
29,108.688,102.940,109.241
30,108.740,102.929,109.618
31,108.901,103.132,109.789
32,108.929,102.842,110.256
33,108.751,102.810,110.063
34,108.782,102.846,109.945
35,108.836,102.992,109.991
36,108.685,103.046,109.948
37,108.486,103.013,110.056
38,108.508,103.111,109.638
39,109.084,102.918,109.818
40,109.236,102.996,109.545
41,109.659,102.976,109.123
42,109.288,102.732,109.514
43,108.995,102.872,109.458
44,108.926,102.990,109.571
45,108.715,102.851,109.135
46,108.359,102.783,109.718
47,108.949,103.020,109.846
48,108.907,103.058,109.870
49,109.159,102.900,110.006
50,109.057,102.844,109.598
51,108.935,102.916,109.686
52,108.713,102.897,109.357
53,108.697,102.841,109.741
54,109.140,102.912,109.611
55,108.392,102.865,109.902
56,108.728,103.109,110.019
57,108.771,102.910,110.125
58,108.857,102.896,109.933
59,108.604,102.932,109.984
60,109.090,102.981,110.004
61,108.523,102.934,109.493
62,108.672,102.816,109.709
63,108.796,102.876,109.784
64,108.850,102.777,109.294
