 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,112.739,102.682,114.174
2,112.429,102.683,113.806
3,112.570,102.590,113.214
4,103.506,102.283,113.280
5,104.919,102.468,113.194
6,105.860,102.550,113.451
7,106.463,102.688,113.595
8,106.429,102.347,113.709
9,107.161,102.228,113.285
10,107.370,102.451,113.340
11,107.670,102.331,113.964
12,108.103,102.506,113.912
13,108.311,102.410,113.908
14,107.883,102.249,113.763
15,108.233,102.408,113.503
16,108.194,102.490,113.368
17,108.688,102.594,113.607
18,108.749,102.444,113.483
19,108.996,102.653,113.471
20,109.015,102.640,112.919
21,108.699,102.389,113.160
22,108.617,102.522,113.591
23,108.888,102.521,113.439
24,108.532,102.507,113.653
25,108.702,102.467,113.394
26,108.841,102.436,113.735
27,109.101,102.479,113.477
28,109.373,102.521,113.783
29,109.186,102.560,113.500
30,109.802,102.216,113.361
31,109.500,102.515,113.579
32,109.434,102.379,113.702
33,109.790,102.364,113.460
34,109.601,102.399,114.081
35,109.571,102.523,113.531
36,109.982,102.498,113.432
37,109.947,102.507,113.480
38,110.026,102.565,113.797
39,109.985,102.300,113.693
40,109.512,102.535,113.995
41,109.860,102.422,113.824
42,109.186,102.491,113.964
43,109.232,102.662,113.352
44,109.486,102.514,113.383
45,109.947,102.511,113.659
46,110.335,102.278,113.559
47,109.602,102.502,114.171
48,109.890,102.448,114.171
49,109.885,102.488,113.869
50,109.621,102.490,113.336
51,109.885,102.502,113.335
52,109.806,102.537,113.177
53,109.298,102.378,113.083
54,109.925,102.475,112.925
55,109.824,102.637,113.141
56,109.658,102.306,113.194
57,110.073,102.420,113.465
58,109.942,102.515,113.070
59,110.051,102.446,112.819
60,110.332,102.504,113.452
61,110.358,102.616,112.888
62,110.042,102.575,113.204
63,110.604,102.516,113.685
64,110.474,102.430,113.536
