 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.436,101.932,109.739
2,110.530,101.939,109.786
3,110.501,101.909,109.074
4,102.261,101.998,109.039
5,103.539,101.747,109.278
6,104.107,101.913,109.855
7,104.791,101.847,109.518
8,104.876,101.938,110.022
9,105.150,102.229,109.535
10,105.413,102.047,109.648
11,105.749,101.934,109.353
12,106.244,101.890,109.422
13,106.555,102.105,109.770
14,106.891,102.125,109.861
15,107.101,101.911,109.213
16,107.233,102.111,109.558
17,107.591,102.151,109.558
18,107.206,101.967,109.309
19,107.603,101.885,109.399
20,108.112,102.159,109.115
21,108.409,102.165,109.137
22,108.343,102.166,109.281
23,108.030,102.211,108.888
24,108.039,102.133,109.030
25,108.197,102.068,109.173
26,108.468,101.981,109.206
27,108.124,102.026,108.994
28,108.576,102.190,110.268
29,108.669,102.088,109.200
30,108.895,102.078,109.017
31,108.742,102.088,108.907
32,108.755,102.152,109.396
33,108.993,102.229,109.483
34,109.129,102.097,109.378
35,108.617,102.091,109.548
36,108.760,102.248,110.028
37,108.790,102.078,109.777
38,108.676,102.049,110.433
39,109.090,102.135,110.184
40,108.902,102.138,109.591
41,108.577,102.102,109.751
42,108.822,102.129,109.403
43,108.799,102.229,109.543
44,109.003,102.126,109.922
45,109.565,102.142,109.202
46,110.477,102.088,109.659
47,110.068,102.164,109.110
48,110.025,102.173,109.311
49,109.639,102.027,108.885
50,109.634,102.260,108.705
51,109.323,102.122,108.600
52,108.911,102.066,108.313
53,109.408,102.161,108.117
54,109.207,102.158,108.636
55,109.162,102.179,109.100
56,109.574,102.284,108.844
57,109.720,102.162,109.014
58,109.449,102.277,108.833
59,109.291,102.182,108.747
60,109.333,102.102,109.169
61,109.131,102.211,108.994
62,109.109,102.039,109.052
63,109.149,102.364,109.206
64,109.291,102.295,109.037
