PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
4,7,12,7,18,DIRECTED/ACTIVE,1.444E-1,6.861E-6,3.037,4.310,1.204,0.720,0.211,0.599,1.504,2.136,0.417,0.317,0.467,-0.035,0.036,0.577,0.124,0.656
5,9,18,0,17,DIRECTED/ACTIVE,8.452E-2,1.220,3.691,4.927,1.206,0.592,0.225,0.616,1.292,1.994,1.360,1.191,0.560,-0.080,0.021,0.884,0.959,0.619
8,15,11,0,10,DIRECTED/ACTIVE,5.032E-2,1.326,0.913,4.440,1.189,0.691,0.211,0.576,1.096,1.146,1.355,0.622,0.631,-0.033,0.044,1.000,0.998,0.626
9,19,12,0,11,DIRECTED/ACTIVE,6.976E-2,3.946E-5,1.797,4.427,1.439,0.638,0.101,0.423,0.755,1.942,0.818,1.183,0.382,0.017,0.059,0.976,0.975,0.528
11,26,15,20,34,DIRECTED/ACTIVE,3.51E-2,0.590,0.635,4.829,1.446,0.820,0.062,0.313,0.434,1.155,1.114,0.411,0.433,-0.005,0.025,0.975,0.983,0.617
19,40,16,0,15,DIRECTED/ACTIVE,2.972E-2,0.875,0.178,6.105,1.441,0.529,0.109,0.416,0.660,1.556,1.135,0.009,0.341,-0.044,0.029,0.957,0.960,0.591
21,45,13,0,12,DIRECTED/ACTIVE,8.689E-3,3.036E-5,5.849,0.209,1.365,0.528,0.167,0.514,0.345,1.392,1.017,0.135,0.608,-0.033,0.016,0.982,0.961,0.574
22,48,13,5,17,DIRECTED/ACTIVE,1.547E-1,5.036E-6,3.966,5.578,1.393,0.708,0.103,0.401,1.100,1.325,0.843,0.315,0.579,0.019,0.062,0.975,0.959,0.613
23,51,18,0,17,DIRECTED/ACTIVE,5.848E-2,0.628,3.913,0.111,1.373,0.479,0.130,0.458,0.902,1.634,0.905,0.817,0.501,-0.025,0.038,0.910,0.952,0.620
24,57,11,40,50,DIRECTED/ACTIVE,4.987E-3,3.494E-6,4.633,0.029,1.456,0.198,0.091,0.427,0.215,2.074,0.833,0.467,0.359,-1.665E-15,0.021,-8.231,0.680,0.626
28,74,16,7,22,DIRECTED/ACTIVE,7.928E-2,1.399,6.690,6.505,1.318,0.621,0.127,0.438,1.044,1.557,1.225,0.162,0.554,-0.029,0.028,0.997,0.983,0.636
31,76,12,0,11,DIRECTED/ACTIVE,5.601E-2,1.298,2.923,1.253,1.335,0.945,0.125,0.441,0.787,1.255,1.616,0.788,0.510,-0.069,0.049,0.967,0.989,0.626
35,84,11,1,11,DIRECTED/ACTIVE,1.374E-1,2.626E-5,2.556,6.785,1.317,0.516,0.059,0.325,0.822,2.162,1.201,1.213,0.303,-0.080,0.042,0.874,0.879,0.768
40,95,11,18,28,DIRECTED/ACTIVE,1.054E-1,1.956E-5,1.905,1.836,1.444,0.414,0.102,0.367,0.974,1.458,0.810,-0.170,0.469,0.093,0.036,0.585,0.951,0.661
42,97,15,0,14,DIRECTED/ACTIVE,1.108E-1,0.903,0.357,7.320,1.728,0.831,0.020,0.164,0.458,1.254,0.938,-0.179,0.254,0.079,0.060,0.955,0.959,0.592
42,99,12,28,39,DIRECTED/ACTIVE,7.545E-2,0.946,0.323,7.553,1.262,0.755,0.188,0.516,1.049,1.196,1.363,-0.073,0.472,-0.081,0.046,0.978,0.994,0.634
