 ,Time(s)
1,0.056
2,1.057
3,2.057
4,2.397
5,3.398
6,4.398
7,5.398
8,6.398
9,7.398
10,8.398
11,9.398
12,10.398
13,11.398
14,12.398
15,13.398
16,14.398
17,15.397
18,16.398
19,17.398
20,18.397
21,19.398
22,20.397
23,21.397
24,22.398
25,23.398
26,24.398
27,25.398
28,26.398
29,27.397
30,28.398
31,29.397
32,30.398
33,31.397
34,32.398
35,33.398
36,34.397
37,35.398
38,36.398
39,37.397
40,38.398
41,39.397
42,40.398
43,41.397
44,42.397
45,43.398
46,44.397
47,45.397
48,46.398
49,47.397
50,48.398
51,49.398
52,50.398
53,51.398
54,52.397
55,53.398
56,54.398
57,55.397
58,56.398
59,57.398
60,58.398
61,59.396
62,60.398
63,61.397
64,62.397
