 ,Time(s)
1,0.045
2,1.046
3,2.046
4,2.424
5,3.426
6,4.426
7,5.426
8,6.426
9,7.426
10,8.425
11,9.426
12,10.425
13,11.426
14,12.425
15,13.425
16,14.425
17,15.426
18,16.426
19,17.425
20,18.426
21,19.425
22,20.426
23,21.426
24,22.425
25,23.426
26,24.426
27,25.424
28,26.426
29,27.425
30,28.424
31,29.426
32,30.426
33,31.426
34,32.425
35,33.425
36,34.426
37,35.425
38,36.425
39,37.425
40,38.425
41,39.426
42,40.425
43,41.425
44,42.425
45,43.426
46,44.425
47,45.425
48,46.425
49,47.425
50,48.426
51,49.425
52,50.425
53,51.425
54,52.425
55,53.425
56,54.426
57,55.425
58,56.425
59,57.425
60,58.425
61,59.425
62,60.425
63,61.425
64,62.425
