 ,Time(s)
1,0.053
2,1.053
3,2.053
4,2.385
5,3.385
6,4.386
7,5.386
8,6.385
9,7.386
10,8.385
11,9.386
12,10.386
13,11.386
14,12.385
15,13.385
16,14.385
17,15.385
18,16.386
19,17.385
20,18.386
21,19.386
22,20.386
23,21.386
24,22.385
25,23.385
26,24.386
27,25.385
28,26.385
29,27.386
30,28.386
31,29.385
32,30.386
33,31.385
34,32.385
35,33.385
36,34.385
37,35.386
38,36.385
39,37.385
40,38.386
41,39.386
42,40.386
43,41.385
44,42.385
45,43.385
46,44.385
47,45.386
48,46.385
49,47.386
50,48.386
51,49.386
52,50.385
53,51.386
54,52.385
55,53.385
56,54.385
57,55.386
58,56.386
59,57.386
60,58.385
61,59.385
62,60.385
63,61.385
64,62.386
