 ,Time(s)
1,0.049
2,1.050
3,2.050
4,2.429
5,3.430
6,4.430
7,5.430
8,6.431
9,7.430
10,8.430
11,9.429
12,10.430
13,11.429
14,12.430
15,13.430
16,14.429
17,15.429
18,16.429
19,17.429
20,18.429
21,19.430
22,20.429
23,21.429
24,22.430
25,23.429
26,24.429
27,25.430
28,26.429
29,27.430
30,28.429
31,29.429
32,30.429
33,31.430
34,32.430
35,33.430
36,34.429
37,35.430
38,36.429
39,37.430
40,38.429
41,39.430
42,40.430
43,41.429
44,42.429
45,43.429
46,44.429
47,45.430
48,46.429
49,47.428
50,48.429
51,49.429
52,50.429
53,51.430
54,52.429
55,53.429
56,54.430
57,55.430
58,56.430
59,57.429
60,58.429
61,59.430
62,60.429
63,61.429
64,62.430
