PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
9,16,11,5,15,CONFINED,0.075,0.016,1.246E-8,1.337E-3,5.455,5.851,4.014,-0.227,0.012,0.125,0.152,1.581,1.018E-10,0.118,0.019,2.400,0.039,-0.364,-0.125,0.816
24,72,10,38,47,CONFINED,0.097,0.020,6.989E-10,1.133E-2,6.608,3.436,1.696,-0.227,0.084,0.406,0.545,5.447,0.079,1.213,0.385,6.689,0.023,-0.444,-0.135,0.777
27,78,20,5,24,CONFINED,0.046,0.092,0.048,1.607E-4,4.530,3.634,3.972,-0.227,0.008,0.099,0.072,2.044,0.019,-0.208,0.020,1.695,0.024,-0.108,-0.046,0.762
100,194,16,32,47,CONFINED,1.148,0.995,0.092,5.271E-2,1.095,7.855,3.282,0.976,0.005,0.083,0.101,2.176,0.243,0.176,0.039,0.484,0.027,0.439,0.560,0.500
109,202,31,40,70,CONFINED,0.066,0.012,0.007,6.026E-12,3.928,7.956,3.783,-0.227,0.000,0.000,0.000,2.570,1.433E-12,0.255,0.343,1.150,0.040,-0.051,-0.024,0.756
155,265,11,92,102,CONFINED,0.057,0.011,1.338E-6,1.082E-3,5.262,7.720,4.838,-0.227,0.004,0.072,0.068,1.557,0.078,-0.320,0.102,4.000,0.030,-0.364,-0.042,0.786
159,271,11,62,72,CONFINED,0.044,0.010,0.032,5.352E-12,1.018,7.953,2.949,-0.227,0.030,0.195,0.136,2.126,2.134E-11,-0.444,0.126,1.000,0.023,0.000,-0.125,0.842
180,305,35,130,164,CONFINED,0.294,0.964,0.023,8.383E-2,3.995,3.794,2.087,-0.227,0.014,0.138,0.126,1.893,0.243,-0.117,0.292,1.116,0.029,0.437,0.389,0.735
184,313,14,109,122,CONFINED,0.062,112674.476,0.002,9.12E1,2.551,3.117,3.283,1.000,0.004,0.075,0.052,1.817,5.078E-11,-0.256,0.009,0.531,0.017,0.226,-0.083,0.674
269,400,12,134,145,CONFINED,0.077,0.015,0.010,8.27E-12,4.630,0.340,3.844,0.877,0.004,0.076,0.087,1.714,1.039E-11,-0.157,0.020,3.436,0.038,-0.267,-0.105,0.932
319,452,14,176,189,CONFINED,6.586,1.000,1.323E-4,8.622E1,6.500,7.606,2.457,0.403,0.014,0.158,0.189,1.303,0.260,0.751,0.065,0.945,0.021,0.789,0.470,0.652
