PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
1,1,12,6,17,SUBDIFFUSION,2.384E-3,7.323,4.480,2.328,0.938,0.011,0.124,0.175,1.350,3.385E-11,0.148,0.428,0.337,0.046,-0.105,-0.105,0.601
11,29,18,9,26,SUBDIFFUSION,2.397E-3,2.898,6.231,1.638,-0.227,0.069,0.320,0.483,6.935,1.015E-11,0.522,0.388,1.693,0.034,-0.054,-0.054,0.713
13,36,14,18,31,SUBDIFFUSION,1.277E-2,4.323,7.157,2.448,0.997,0.004,0.069,0.148,4.136,0.321,-0.064,0.027,0.621,0.057,0.017,0.017,0.637
14,38,10,6,15,SUBDIFFUSION,1.339E-3,0.668,0.004,2.455,-0.227,0.047,0.264,0.302,1.456,1.377E-11,0.111,0.555,0.036,0.033,-0.143,-0.143,0.520
16,42,36,35,70,SUBDIFFUSION,9.093E-4,4.644,0.274,2.728,0.731,0.002,0.051,0.039,1.959,0.086,0.167,0.159,0.550,0.024,0.087,0.087,0.689
16,44,13,87,99,SUBDIFFUSION,4.783E-4,4.683,0.298,2.645,-0.227,0.004,0.071,0.057,2.216,2.309E-12,-0.184,0.101,1.550,0.029,-0.087,-0.087,0.657
18,50,12,0,11,SUBDIFFUSION,1.444E-3,6.120,0.650,2.242,0.992,0.000,0.000,0.000,2.317,8.245E-13,-0.137,0.344,3.255,0.028,-0.105,-0.105,0.566
19,56,22,3,24,SUBDIFFUSION,4.511E-3,5.535,0.956,2.050,-0.227,0.008,0.108,0.134,3.636,0.331,0.701,0.111,0.473,0.036,0.367,0.367,0.618
20,63,12,23,34,SUBDIFFUSION,2.556E-3,1.810,1.937,2.126,0.614,0.003,0.066,0.087,2.128,0.012,1.456,0.273,0.964,0.041,-0.105,-0.105,0.547
24,71,34,4,37,SUBDIFFUSION,3.071E-3,6.702,3.465,2.388,0.938,0.004,0.071,0.065,2.083,0.456,-0.255,0.233,0.271,0.021,0.620,0.620,0.660
