PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
5,6,16,0,15,DIRECTED/ACTIVE,3.57E-2,1.384E-6,4.510,5.393,1.374,0.740,0.118,0.407,0.546,1.233,1.098,-0.061,0.535,-0.064,0.038,0.888,0.956,0.609
19,57,10,25,34,DIRECTED/ACTIVE,1.306E-2,1.782E-5,5.348,1.056,1.488,0.730,0.111,0.404,0.338,2.239,1.109,-0.222,0.446,-0.120,0.022,0.987,0.974,0.601
22,65,20,28,47,DIRECTED/ACTIVE,9.392E-2,0.504,2.814,1.650,1.180,0.364,0.280,0.637,1.293,1.906,1.242,0.409,0.622,-0.029,0.025,0.932,0.988,0.676
25,75,37,5,41,DIRECTED/ACTIVE,1.528E-1,2.218,2.728,2.282,1.236,0.485,0.184,0.480,1.363,1.267,1.772,-0.220,0.163,-0.141,0.109,0.987,0.998,0.683
29,83,11,0,10,DIRECTED/ACTIVE,1.607E-1,4.446E-5,7.811,3.680,1.576,0.812,0.101,0.390,1.115,1.348,0.750,-0.146,0.130,0.084,0.060,0.995,0.942,0.552
34,91,15,0,14,DIRECTED/ACTIVE,7.434E-3,1.527,4.285,4.232,1.087,0.635,0.363,0.788,1.051,1.690,1.890,0.229,0.656,-0.152,0.061,1.000,1.000,0.620
41,99,12,4,15,DIRECTED/ACTIVE,1.101E-1,1.297,5.483,4.073,1.263,0.811,0.152,0.553,1.215,2.121,1.296,1.177,0.519,-0.040,0.041,0.999,1.000,0.573
41,101,36,31,66,DIRECTED/ACTIVE,1.781E-2,1.246E-6,5.173,3.917,1.668,0.819,0.013,0.146,0.130,1.823,0.971,1.407,0.293,-0.047,0.018,0.786,0.961,0.610
42,103,13,0,12,DIRECTED/ACTIVE,8.194E-2,0.541,4.031,5.735,1.407,0.568,0.060,0.307,0.646,1.282,0.698,0.466,0.487,-0.071,0.025,0.978,0.765,0.685
47,117,13,8,20,DIRECTED/ACTIVE,1.195E-1,0.895,1.563,5.283,1.239,0.539,0.214,0.580,1.445,2.217,1.144,0.223,0.504,-0.018,0.056,1.000,0.999,0.680
48,120,18,31,48,DIRECTED/ACTIVE,6.085E-2,1.131,6.098,4.891,1.118,0.477,0.328,0.709,1.252,1.340,1.584,0.949,0.506,-0.111,0.052,0.996,0.994,0.693
53,127,12,43,54,DIRECTED/ACTIVE,9.753E-3,2.072,4.373,4.950,1.016,0.626,0.608,0.964,1.751,1.444,1.920,-0.177,0.688,-0.157,0.086,0.998,0.996,0.714
72,163,40,21,60,DIRECTED/ACTIVE,1.074E-1,1.142,4.143,2.141,1.153,0.232,0.262,0.615,1.211,1.685,1.584,0.286,0.465,-0.124,0.063,0.986,0.998,0.652
74,165,11,24,34,DIRECTED/ACTIVE,6.46E-2,3.005E-5,4.862,5.385,1.477,0.533,0.119,0.427,0.819,1.792,1.062,0.573,0.161,-0.017,0.050,0.665,0.871,0.660
76,168,20,21,40,DIRECTED/ACTIVE,1.953E-2,0.883,6.150,0.394,1.319,0.394,0.164,0.481,0.724,1.416,1.215,0.181,0.528,-0.097,0.034,0.937,0.972,0.665
91,182,15,40,54,DIRECTED/ACTIVE,9.061E-2,1.753E-5,2.379,3.493,1.424,0.429,0.100,0.388,0.827,1.246,0.943,0.301,0.434,0.041,0.048,0.888,0.942,0.612
94,186,14,32,45,DIRECTED/ACTIVE,2.105E-2,1.175E-5,6.406,0.631,1.318,0.937,0.108,0.539,0.381,2.367,1.145,3.493,0.584,-0.054,0.012,0.936,0.977,0.583
95,188,13,32,44,DIRECTED/ACTIVE,6.709E-2,0.745,4.317,1.394,1.426,0.765,0.092,0.373,0.717,1.535,1.030,0.033,0.376,-0.087,0.045,1.000,0.972,0.610
