PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
1,2,10,18,27,NORM. DIFFUSION,1.037E-1,7.292,4.400,1.446,0.595,0.144,0.506,0.982,2.941,1.023,0.477,0.113,0.125,0.034,0.894,0.907,0.621
2,3,11,2,12,NORM. DIFFUSION,1.683E-2,7.953,4.898,1.554,0.947,0.056,0.295,0.245,2.639,1.150,0.043,0.402,0.000,0.007,0.943,0.968,0.628
4,5,29,6,34,NORM. DIFFUSION,7.039E-2,3.730,5.619,1.732,0.821,0.014,0.144,0.359,2.061,0.782,0.157,0.299,0.056,0.035,0.800,0.921,0.668
6,11,22,7,28,NORM. DIFFUSION,4.185E-2,1.258,5.642,1.688,0.746,0.030,0.204,0.350,2.518,0.870,0.127,0.063,0.024,0.022,0.864,0.955,0.622
7,13,14,5,18,NORM. DIFFUSION,1.393E-2,3.143,5.606,1.944,0.890,0.012,0.126,0.117,1.240,0.923,-0.179,0.256,0.081,0.030,0.924,0.969,0.727
8,14,13,0,12,NORM. DIFFUSION,3.674E-2,0.858,5.815,1.552,0.929,0.092,0.393,0.345,4.583,1.448,0.157,0.009,0.197,0.016,0.973,0.988,0.513
9,17,10,16,25,NORM. DIFFUSION,1.386E-2,5.544,5.992,1.668,0.679,0.123,0.412,0.604,1.492,0.502,-0.059,0.135,-7.663E-4,0.035,0.813,0.909,0.603
10,21,33,3,35,NORM. DIFFUSION,2.087E-2,5.075,5.804,1.475,0.744,0.018,0.181,0.166,1.507,0.863,0.265,0.613,0.132,0.013,0.537,0.750,0.548
12,31,23,0,22,NORM. DIFFUSION,3.985E-2,3.252,6.784,2.147,0.989,0.009,0.122,0.198,1.629,0.747,1.899,0.030,0.122,0.032,0.850,0.871,0.650
13,35,13,5,17,NORM. DIFFUSION,4.264E-2,4.286,7.222,1.810,0.961,0.006,0.093,0.160,1.860,0.772,0.029,0.226,0.146,0.040,0.746,0.804,0.684
15,40,18,0,17,NORM. DIFFUSION,5.907E-2,2.129,0.171,1.712,0.921,0.047,0.262,0.433,1.228,0.985,0.060,0.225,-0.024,0.029,0.923,0.964,0.656
16,41,35,0,34,NORM. DIFFUSION,4.102E-3,4.614,0.257,2.002,0.994,2.946E-4,0.021,0.020,3.109,0.374,0.188,0.285,0.303,0.020,0.320,0.365,0.594
16,43,16,71,86,NORM. DIFFUSION,6.893E-14,4.678,0.288,1.701,0.096,0.000,0.000,0.000,3.813,5.335E153,0.250,0.264,Infinity,0.011,-0.065,0.000,0.571
17,47,11,4,14,NORM. DIFFUSION,9.704E-3,3.636,0.593,1.520,0.826,0.047,0.256,0.245,2.109,0.740,-0.221,0.442,-0.028,0.013,0.619,0.801,0.551
20,62,14,9,22,NORM. DIFFUSION,1.208E-2,1.760,1.886,2.123,0.967,0.008,0.115,0.105,1.506,0.811,-0.205,0.187,1.544,0.019,0.955,0.986,0.583
22,64,28,0,27,NORM. DIFFUSION,7.264E-3,2.779,2.416,1.749,0.940,0.019,0.167,0.159,2.141,0.516,0.134,0.148,0.341,0.021,0.389,0.577,0.561
23,67,18,2,19,NORM. DIFFUSION,1.264E-1,1.927,2.884,1.940,0.994,0.027,0.204,0.394,1.358,1.245,0.431,0.035,-0.078,0.047,0.978,0.993,0.643
28,82,13,0,12,NORM. DIFFUSION,2.06E-2,5.249,3.566,1.482,0.540,0.037,0.255,0.358,2.377,0.605,0.932,0.171,0.133,0.015,0.832,0.934,0.707
32,88,15,0,14,NORM. DIFFUSION,6.718E-2,0.485,3.987,1.646,0.994,0.048,0.292,0.488,2.988,1.041,0.569,0.019,-0.013,0.046,0.860,0.905,0.643
41,100,15,16,30,NORM. DIFFUSION,1.004E-2,5.155,3.971,1.675,0.624,0.072,0.345,0.243,2.649,0.938,0.041,0.403,0.099,0.022,0.821,0.905,0.579
