 ,Time(s)
1,0.074
2,1.074
3,2.074
4,2.366
5,2.513
6,2.660
7,2.807
8,2.954
9,3.101
10,3.248
11,3.395
12,3.542
13,3.689
14,3.836
15,3.984
16,4.130
17,4.278
18,4.424
19,4.572
20,4.719
21,4.866
22,5.012
23,5.160
24,5.306
25,5.453
26,5.601
27,5.748
28,5.895
29,6.042
30,6.189
31,6.336
32,6.483
33,6.631
34,6.778
35,6.926
36,7.073
37,7.220
38,7.367
39,7.514
40,7.661
41,7.808
42,7.955
43,8.102
44,8.249
45,8.396
46,8.543
47,8.690
48,8.837
49,8.984
50,9.132
51,9.279
52,9.426
53,9.573
54,9.720
55,9.867
56,10.014
57,10.161
58,10.308
59,10.455
60,10.602
61,10.750
62,10.897
63,11.044
64,11.191
65,11.338
66,11.485
67,11.632
68,11.782
69,11.930
70,12.077
71,12.223
72,12.371
73,12.518
74,12.665
75,12.812
76,12.959
77,13.107
78,13.254
79,13.401
80,13.548
81,13.695
82,13.842
83,13.989
84,14.136
85,14.283
86,14.430
87,14.578
88,14.725
89,14.872
90,15.019
91,15.166
92,15.313
93,15.460
94,15.607
95,15.754
96,15.901
97,16.048
98,16.195
99,16.343
100,16.490
101,16.673
102,16.820
103,16.967
104,17.115
105,17.262
106,17.409
107,17.556
108,17.704
109,17.851
110,17.998
111,18.145
112,18.291
113,18.439
114,18.586
115,18.733
116,18.880
117,19.030
118,19.177
119,19.324
120,19.472
121,19.618
122,19.766
123,19.913
124,20.060
125,20.208
126,20.355
127,20.502
128,20.649
129,20.796
130,20.943
131,21.091
132,21.238
133,21.385
134,21.532
135,21.679
136,21.827
137,21.974
138,22.121
139,22.268
140,22.415
141,22.562
142,22.709
143,22.856
144,23.003
145,23.150
146,23.297
147,23.444
148,23.591
149,23.738
150,23.885
151,24.032
152,24.179
153,24.326
154,24.473
155,24.621
156,24.768
157,24.915
158,25.063
159,25.210
160,25.357
161,25.504
162,25.651
163,25.798
164,25.945
165,26.093
166,26.240
167,26.388
168,26.535
169,26.682
170,26.828
171,26.975
172,27.123
173,27.270
174,27.416
175,27.563
176,27.710
177,27.857
178,28.004
179,28.151
180,28.299
181,28.446
182,28.593
183,28.740
184,28.887
185,29.034
186,29.181
187,29.328
188,29.476
189,29.623
190,29.770
191,29.917
192,30.064
193,30.211
194,30.358
195,30.505
196,30.652
197,30.799
198,30.946
199,31.093
200,31.240
201,31.387
202,31.535
203,31.682
204,31.828
205,31.975
206,32.122
207,32.269
