 ,Time(s)
1,0.069
2,1.069
3,2.070
4,2.363
5,2.510
6,2.656
7,2.803
8,2.950
9,3.097
10,3.244
11,3.392
12,3.538
13,3.685
14,3.832
15,3.979
16,4.126
17,4.273
18,4.420
19,4.567
20,4.715
21,4.862
22,5.009
23,5.156
24,5.303
25,5.450
26,5.597
27,5.744
28,5.891
29,6.038
30,6.185
31,6.332
32,6.479
33,6.626
34,6.773
35,6.920
36,7.067
37,7.214
38,7.361
39,7.508
40,7.655
41,7.801
42,7.949
43,8.096
44,8.242
45,8.389
46,8.536
47,8.683
48,8.830
49,8.977
50,9.124
51,9.271
52,9.418
53,9.565
54,9.712
55,9.859
56,10.006
57,10.153
58,10.300
59,10.447
60,10.594
61,10.741
62,10.888
63,11.035
64,11.182
65,11.329
66,11.476
67,11.623
68,11.770
69,11.917
70,12.063
71,12.210
72,12.357
73,12.504
74,12.651
75,12.798
76,12.945
77,13.092
78,13.239
79,13.387
80,13.533
81,13.680
82,13.827
83,13.974
84,14.121
85,14.268
86,14.415
87,14.562
88,14.709
89,14.856
90,15.003
91,15.150
92,15.298
93,15.444
94,15.591
95,15.738
96,15.885
97,16.032
98,16.179
99,16.326
100,16.473
101,16.619
102,16.767
103,16.913
104,17.060
105,17.207
106,17.355
107,17.502
108,17.648
109,17.796
110,17.943
111,18.090
112,18.236
113,18.383
114,18.530
115,18.677
116,18.824
117,18.971
118,19.118
119,19.265
120,19.412
121,19.559
122,19.706
123,19.853
124,20.000
125,20.147
126,20.294
127,20.441
128,20.588
129,20.735
130,20.882
131,21.028
132,21.175
133,21.322
134,21.469
135,21.616
136,21.763
137,21.909
138,22.057
139,22.204
140,22.350
141,22.497
142,22.644
143,22.791
144,22.938
145,23.085
146,23.232
147,23.379
148,23.526
149,23.673
150,23.820
151,23.967
152,24.114
153,24.261
154,24.408
155,24.555
156,24.702
157,24.849
158,24.996
159,25.143
160,25.290
161,25.437
162,25.584
163,25.731
164,25.878
165,26.026
166,26.173
167,26.320
168,26.467
169,26.614
170,26.761
171,26.908
172,27.055
173,27.202
174,27.349
175,27.496
176,27.643
177,27.789
178,27.937
179,28.083
180,28.230
181,28.377
182,28.524
183,28.671
184,28.818
185,28.965
186,29.112
187,29.259
188,29.406
189,29.553
190,29.700
191,29.847
192,29.995
193,30.141
194,30.324
195,30.471
196,30.618
197,30.765
198,30.912
199,31.059
200,31.206
201,31.353
202,31.500
203,31.647
204,31.794
205,31.941
206,32.088
207,32.235
