"Time(s)","Cond1"
0,1
0.989,0.972621914013024
1.989,0.96679360712842
2.359,0.886765754427612
6.516,0.86326024951858
9.906,0.839601171827913
13.249,0.825405995665485
16.585,0.81135267177399
19.925,0.79284345641782
23.265,0.77799866076537
26.606,0.763007748676749
29.946,0.758449748059485
33.285,0.745702679489371
36.647,0.734009813863603
40.027,0.726114650423923
43.367,0.722401970819405
46.707,0.701850419283988
50.048,0.704751035767906
53.4,0.693645024843776
56.748,0.683186535102035
60.085,0.674567338300173
63.425,0.665732288866327
66.766,0.660672724521565
70.147,0.648603623260008
73.487,0.637217241418212
76.826,0.63242243399449
80.166,0.630101965609518
83.506,0.623330070078762
86.847,0.620447929743085
90.186,0.614038527213984
93.527,0.605164714753682
96.901,0.598983197436425
100.28,0.595022872647796
103.652,0.585572703224156
106.992,0.58785725242873
110.333,0.578528886341681
113.672,0.573292412232696
117.012,0.564091921112469
120.352,0.556901624005833
123.692,0.555533606989999
127.032,0.552513457830956
130.407,0.545180090928295
133.747,0.537322769501899
137.088,0.537047810006816
140.429,0.52737750899041
143.769,0.529318477642774
147.109,0.521403094149008
150.449,0.51710443438486
153.788,0.516035703749837
157.152,0.504247486422303
160.525,0.504766292304446
163.904,0.496701757757499
167.246,0.495651735384703
170.587,0.493440338916505
173.927,0.491521038065105
177.274,0.486443841142204
180.615,0.481848502481474
183.956,0.479679502256314
187.296,0.472935778741878
190.672,0.467993109246336
194.021,0.467349192506319
197.361,0.458651166555626
200.702,0.455499361546945
204.042,0.453756734010728
207.404,0.447228594974936
210.761,0.446449121937952
214.101,0.442411396749384
217.441,0.448662481746111
220.813,0.43659828052365
224.158,0.432653286848237
227.516,0.433926909499337
230.864,0.429778098023202
234.204,0.421197768243052
237.543,0.424667683224094
240.906,0.419695648965
244.246,0.417845930795053
247.586,0.41070841296276
250.962,0.413555704867191
254.302,0.416149327925197
257.655,0.406604187482471
260.994,0.405381461333624
264.334,0.405176687423002
267.674,0.398978224890072
271.026,0.389653249859454
274.406,0.389887833513283
277.746,0.390117408966471
281.155,0.389074544056267
284.491,0.386675908294148
287.851,0.381022170435932
291.187,0.382379660244548
294.527,0.381952604173045
297.907,0.372841511800393
301.246,0.377846305951836
304.586,0.373539643681651
307.926,0.372338939042118
311.302,0.367293197800467
