"sdFitDoubleCond","Cond1"
0,0.00905402394384684
0.989,0.00717840820667771
1.989,0.00577606600140254
2.359,0.0053904216025048
6.516,0.00524566480167866
9.906,0.00689780090561397
13.249,0.00812364958615852
16.585,0.00891276127643797
19.925,0.00939761826373574
23.265,0.00968676403565204
26.606,0.00985767591845093
29.946,0.00996291141089101
33.285,0.0100379399519308
36.647,0.0101067518715743
40.027,0.0101844793306448
43.367,0.010278538981885
46.707,0.0103939206494618
50.048,0.0105315299529892
53.4,0.010690482785267
56.748,0.0108672640886254
60.085,0.0110577401510995
63.425,0.0112587209738866
66.766,0.0114662111722434
70.147,0.0116790460219295
73.487,0.0118888678876133
76.826,0.0120954221990066
80.166,0.0122965369777026
83.506,0.0124903020859732
86.847,0.0126753354683315
90.186,0.0128504053056064
93.527,0.0130149688985761
96.901,0.0131698958901107
100.28,0.0133134490429131
103.652,0.0134450617430637
106.992,0.0135640482242674
110.333,0.01367195260758
113.672,0.0137689880478488
117.012,0.0138556252067474
120.352,0.0139322673770268
123.692,0.0139993886017424
127.032,0.0140574904637268
130.407,0.0141075684276278
133.747,0.014149116162102
137.088,0.0141832354999822
140.429,0.0142104396461784
143.769,0.0142312423614559
147.109,0.0142461603158983
150.449,0.0142556873233796
153.788,0.0142603008242156
157.152,0.0142604506149064
160.525,0.0142565210696557
163.904,0.0142489258878884
167.246,0.014238221959435
170.587,0.0142247349984438
173.927,0.0142088329593032
177.274,0.0141908185914618
180.615,0.0141710886507352
183.956,0.0141499211639375
187.296,0.0141276132464291
190.672,0.0141041773315285
194.021,0.0140803056606974
197.361,0.0140561194428381
200.702,0.0140317698071093
204.042,0.014007477617179
207.404,0.0139832695665209
210.761,0.0139595211988474
214.101,0.0139364769972808
217.441,0.0139141647876392
220.813,0.0138925202486917
224.158,0.0138720496062408
227.516,0.0138526158773089
230.864,0.0138344558708061
234.204,0.0138176398720274
237.543,0.0138022078293467
240.906,0.0137881301230812
244.246,0.0137756660937425
247.586,0.0137647672783271
