PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,3,21,3,23,NORM. DIFFUSION,4.175E-2,7.387,0.813,1.567,0.090,0.052,0.284,0.548,1.996,0.656,0.372,0.357,-0.053,0.052,0.296,0.509,0.554
3,6,36,5,40,NORM. DIFFUSION,9.248E-2,7.594,1.060,1.626,0.599,0.036,0.220,0.533,1.656,0.860,-0.089,0.570,0.033,0.046,0.784,0.904,0.602
5,9,11,0,10,NORM. DIFFUSION,4.138E-11,7.335,1.622,1.916,-0.131,0.047,0.235,0.280,3.664,2.160E-10,-0.357,0.305,0.028,0.041,-0.125,-0.125,0.446
6,13,17,36,52,NORM. DIFFUSION,2.421E-2,3.824,1.856,1.813,0.700,0.025,0.202,0.217,2.055,0.914,-0.076,0.337,-0.019,0.023,0.913,0.939,0.626
6,19,12,166,177,NORM. DIFFUSION,4.155E-2,4.337,1.863,1.657,0.689,0.028,0.198,0.255,1.408,0.852,-0.112,0.423,-0.045,0.026,0.550,0.571,0.614
7,23,12,12,23,NORM. DIFFUSION,8.124E-11,3.483,2.043,1.895,-0.227,0.005,0.081,0.062,1.756,2.117E-11,0.040,0.511,0.418,0.013,-0.105,-0.105,0.564
10,29,12,18,29,NORM. DIFFUSION,2.383E-2,4.233,2.703,2.168,0.997,0.000,0.000,0.000,1.746,0.962,0.765,0.480,0.112,0.009,0.835,0.914,0.560
10,32,24,56,79,NORM. DIFFUSION,6.747E-3,4.858,2.710,1.886,0.917,0.012,0.142,0.093,4.714,0.791,0.562,0.055,0.085,0.012,0.785,0.884,0.584
10,34,26,94,119,NORM. DIFFUSION,5.944E-3,4.823,2.562,1.888,0.931,0.011,0.139,0.122,1.919,0.414,0.350,0.261,0.280,0.026,0.301,0.465,0.563
14,44,18,41,58,NORM. DIFFUSION,1.805E-2,4.500,3.584,1.449,0.945,0.085,0.392,0.253,1.349,1.200,0.039,0.314,-0.052,0.014,0.802,0.936,0.589
14,47,19,83,101,NORM. DIFFUSION,4.4E-3,4.383,3.545,1.680,0.714,0.030,0.250,0.136,3.059,0.722,1.155,0.471,0.074,0.015,0.714,0.881,0.557
14,49,15,114,128,NORM. DIFFUSION,7.046E-3,4.365,3.549,1.530,0.872,0.041,0.289,0.175,1.776,0.806,0.206,0.473,0.031,0.011,0.897,0.949,0.530
17,53,14,0,13,NORM. DIFFUSION,1.656E-2,4.849,4.740,1.709,0.868,0.101,0.345,0.305,1.379,1.154,-0.278,0.057,-0.095,0.017,0.996,0.999,0.655
18,54,36,0,35,NORM. DIFFUSION,4.662E-2,0.592,4.932,1.793,0.913,0.010,0.123,0.222,1.279,0.828,0.536,0.246,0.120,0.031,0.833,0.941,0.603
