PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
6,10,24,0,23,DIRECTED/ACTIVE,2.412E-2,0.094,4.122,1.773,1.579,0.526,0.065,0.317,0.412,2.572,0.731,0.153,0.477,0.066,0.025,0.866,0.852,0.663
6,14,29,53,81,DIRECTED/ACTIVE,3.503E-2,0.714,4.312,1.650,1.409,0.321,0.091,0.366,0.563,2.147,1.300,0.114,0.158,-0.086,0.034,0.971,0.964,0.667
6,17,55,99,153,DIRECTED/ACTIVE,1.709E-2,0.221,4.409,1.940,1.714,0.896,0.004,0.085,0.081,1.383,1.056,1.307,0.360,0.027,0.015,0.965,0.985,0.596
10,31,25,31,55,DIRECTED/ACTIVE,1.492E-2,0.460,4.486,2.787,1.258,0.573,0.125,0.489,0.429,2.345,1.254,1.417,0.343,0.025,0.010,0.917,0.967,0.614
14,48,12,102,113,DIRECTED/ACTIVE,2.697E-3,2.151E-7,4.390,3.550,1.581,-0.227,0.021,0.207,0.087,1.335,0.177,-0.083,0.263,-0.038,0.013,-4.535,0.179,0.520
24,59,13,0,12,DIRECTED/ACTIVE,4.216E-2,0.412,5.292,6.203,1.314,0.841,0.141,0.552,0.661,1.549,1.206,2.614,0.543,-0.024,0.010,0.991,0.996,0.537
28,63,11,3,13,DIRECTED/ACTIVE,5.803E-2,2.312E-5,0.160,7.713,1.686,0.898,0.037,0.249,0.408,3.467,0.816,-0.015,0.074,0.005,0.046,0.994,0.981,0.564
31,69,16,13,28,DIRECTED/ACTIVE,7.22E-2,2.830E-5,2.123,4.300,1.399,0.716,0.102,0.395,0.690,1.244,1.083,0.594,0.538,-0.013,0.042,0.962,0.989,0.576
32,70,16,12,27,DIRECTED/ACTIVE,7.554E-2,0.443,1.697,4.348,1.451,0.948,0.077,0.350,0.548,1.277,1.293,0.240,0.254,-0.034,0.043,0.890,0.940,0.563
39,76,15,12,26,DIRECTED/ACTIVE,1.801E-2,0.720,5.960,3.408,1.342,0.626,0.073,0.315,0.392,1.141,1.403,-0.102,0.576,-0.117,0.023,0.994,0.984,0.585
52,87,10,55,64,DIRECTED/ACTIVE,2.843E-2,0.525,1.672,3.616,1.510,0.838,0.142,0.432,0.590,1.337,1.210,-0.237,0.254,0.168,0.016,1.000,0.999,0.662
62,106,11,30,40,DIRECTED/ACTIVE,8.953E-2,2.782E-5,1.902,4.175,1.519,0.772,0.080,0.338,0.736,1.197,1.200,-0.036,0.478,0.027,0.066,0.999,0.968,0.604
67,119,14,40,53,DIRECTED/ACTIVE,1.235E-2,0.712,2.523,4.289,1.464,-0.161,0.084,0.321,0.431,1.340,0.803,-0.170,0.596,0.048,0.034,0.766,0.635,0.661
88,166,12,64,75,DIRECTED/ACTIVE,2.305E-2,0.596,5.797,5.897,1.243,0.689,0.258,0.585,0.705,1.834,1.522,-0.227,0.521,-0.101,0.027,0.989,0.981,0.626
92,172,12,81,92,DIRECTED/ACTIVE,4.385E-2,6.610E-7,3.053,7.187,1.334,0.302,0.139,0.471,0.744,1.606,0.943,0.235,0.281,-0.087,0.033,0.878,0.878,0.655
95,173,12,86,97,DIRECTED/ACTIVE,3.242E-2,1.520,0.327,5.483,1.252,0.929,0.185,0.617,0.929,3.927,1.612,1.195,0.575,-0.076,0.060,0.998,0.995,0.579
133,218,11,159,169,DIRECTED/ACTIVE,8.16E-2,1.369E-5,7.109,0.455,2.168,0.567,0.060,0.289,0.700,1.613,0.981,0.160,0.040,0.285,0.041,-4.192,0.688,0.458
140,233,12,174,185,DIRECTED/ACTIVE,6.601E-2,4.755E-6,5.327,6.290,1.364,0.936,0.050,0.349,0.498,0.924,1.182,3.126,0.596,-0.006,0.042,0.727,0.879,0.546
157,247,13,197,209,DIRECTED/ACTIVE,8.67E-2,0.278,6.994,7.575,1.346,0.680,0.172,0.528,1.045,1.466,1.214,0.773,0.297,-0.008,0.032,0.999,0.966,0.659
174,262,11,248,258,DIRECTED/ACTIVE,2.38E-2,0.608,4.084,1.811,1.269,0.699,0.205,0.561,0.670,1.425,1.262,0.367,0.450,-0.075,0.013,1.000,1.000,0.637
177,264,11,258,268,DIRECTED/ACTIVE,3.717E-2,2.525E-6,0.335,4.833,1.373,0.479,0.151,0.511,0.700,1.460,0.933,1.311,0.404,0.021,0.023,0.651,0.915,0.575
181,274,13,271,283,DIRECTED/ACTIVE,8.228E-2,1.165,1.717,2.978,1.207,0.793,0.098,0.449,0.825,1.252,1.440,0.734,0.630,-0.095,0.055,0.992,0.996,0.596
182,276,11,274,284,DIRECTED/ACTIVE,6.687E-2,3.218E-5,7.455,1.022,1.456,0.568,0.195,0.486,1.020,1.413,0.983,-0.305,0.361,-0.080,0.039,0.968,0.984,0.510
