PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
4,13,11,26,36,CONFINED,0.039,0.010,0.021,1.822E-11,2.571,1.418,4.265,-0.227,0.018,0.172,0.096,1.239,1.055E-11,-0.333,0.259,0.800,0.013,-0.364,-0.125,0.674
8,29,11,0,10,CONFINED,0.053,0.583,0.600,6.212E-3,2.225,2.615,4.265,0.923,0.018,0.172,0.096,1.515,0.083,-0.333,0.016,0.800,0.018,1.000,0.100,0.706
8,31,10,23,32,CONFINED,0.044,0.003,0.006,2.504E-12,2.224,2.616,10.114,-0.227,0.017,0.138,0.107,1.496,8.446E-12,-0.500,0.014,1.133,0.023,-0.444,-0.143,0.837
10,34,20,0,19,CONFINED,0.031,0.006,2.861E-7,8.91E-5,6.194,2.656,3.240,0.492,0.008,0.131,0.051,1.559,8.864E-12,0.056,0.182,1.695,0.015,-0.108,-0.048,0.680
10,37,16,71,86,CONFINED,0.119,0.920,0.046,1.964E-2,6.188,2.640,2.910,-0.227,0.005,0.085,0.045,1.454,1.323E-11,-0.231,0.036,2.400,0.018,0.186,-0.065,0.669
10,40,13,120,132,CONFINED,0.044,1989.964,0.021,3.708E0,6.178,2.631,4.407,0.995,0.000,0.000,0.000,1.109,5.569E-11,-0.333,0.024,1.800,0.018,0.328,-0.087,0.754
10,42,64,144,207,CONFINED,0.045,0.596,0.535,9.808E-3,6.169,2.586,3.754,0.988,0.000,0.000,0.000,2.237,5.335E153,-0.049,0.109,0.341,0.019,0.106,0.000,0.701
10,44,73,253,325,CONFINED,0.039,0.026,0.056,7.025E-12,6.126,2.542,4.204,-0.227,2.045E-4,0.017,0.009,2.414,0.032,-0.284,0.070,1.103,0.020,-0.015,0.022,0.743
14,56,12,95,106,CONFINED,0.041,0.009,0.011,2.525E-11,1.613,4.250,6.339,-0.227,0.006,0.094,0.062,1.260,6.057E-14,-0.436,0.004,2.164,0.024,-0.267,-0.105,0.761
27,96,35,66,100,CONFINED,0.065,0.021,0.058,1.218E-11,0.665,0.009,2.436,-0.227,0.001,0.050,0.040,5.819,8.679E-12,0.388,0.175,1.212,0.034,-0.044,-0.021,0.668
38,125,10,104,113,CONFINED,0.077,0.016,0.013,3.15E-13,3.416,0.288,3.471,-0.227,0.006,0.094,0.107,1.617,4.036E-12,-0.222,0.021,0.244,0.048,-0.444,-0.143,0.750
38,127,15,127,141,CONFINED,0.051,0.026,0.055,5.65E-12,3.400,0.259,2.738,-0.227,0.012,0.132,0.109,2.387,8.934E-13,-0.040,0.103,3.657,0.028,-0.167,-0.071,0.713
38,130,20,191,210,CONFINED,2.489,1.000,9.426E-4,1.593E0,3.364,0.220,3.229,-0.227,0.005,0.083,0.051,2.302,0.184,-0.110,0.045,0.234,0.022,0.315,0.133,0.641
40,144,16,55,70,CONFINED,0.052,1.282,0.539,2.334E-2,4.540,3.442,1.925,-0.227,0.054,0.272,0.163,4.522,0.359,-0.333,0.224,0.073,0.016,0.015,0.053,0.693
54,159,13,43,55,CONFINED,0.075,0.016,0.016,7.988E-12,2.255,0.246,3.168,-0.227,0.002,0.051,0.057,1.599,0.067,-0.265,0.430,0.583,0.049,-0.222,-0.063,0.764
57,171,20,33,52,CONFINED,0.116,1.284E-8,0.031,5.077E-3,4.204,7.390,1.692,-0.227,0.003,0.074,0.113,6.159,4.926E-11,0.905,0.461,1.986,0.028,-0.108,-0.048,0.633
70,198,10,36,45,CONFINED,0.061,0.008,0.005,1.512E-11,1.528,6.756,4.421,0.992,0.011,0.116,0.107,1.398,7.902E-11,-0.222,0.003,0.800,0.022,-0.444,-0.143,0.600
92,254,11,157,167,CONFINED,0.039,0.009,2.230E-6,5.845E-4,2.135,0.462,4.887,-0.227,0.000,0.000,0.000,1.252,0.077,-0.333,0.107,Infinity,0.016,-0.364,-0.077,0.817
146,328,17,118,134,CONFINED,0.026,0.011,0.010,7.535E-13,3.160,7.336,4.819,-0.227,0.007,0.111,0.043,1.000,2.244E-11,0.185,0.693,1.487,0.014,-0.138,-0.059,0.682
214,412,14,237,250,CONFINED,0.050,0.008,0.031,4.048E-11,5.257,1.317,2.716,-0.227,0.017,0.156,0.117,1.438,0.108,-0.116,0.033,0.338,0.027,-0.211,0.004,0.698
225,431,13,269,281,CONFINED,1.555,0.998,0.002,1.239E0,2.563,1.298,3.579,-0.227,0.002,0.053,0.057,1.870,8.289E-13,-0.101,0.029,0.883,0.037,-0.037,-0.087,0.766
227,438,22,222,243,CONFINED,0.049,0.020,0.016,7.111E-13,2.033,0.540,3.030,-0.227,0.006,0.092,0.072,2.781,3.043E-12,0.243,0.123,1.038,0.030,-0.087,-0.039,0.784
264,474,53,296,348,CONFINED,0.040,0.018,0.016,5.89E-12,3.869,7.377,3.386,0.869,3.431E-4,0.022,0.013,2.464,2.607E-11,-0.232,0.047,0.858,0.021,-0.024,-0.012,0.732
