PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,10,14,0,13,DIRECTED/ACTIVE,1.037E-2,0.369,1.817,0.620,1.163,0.265,0.288,0.698,0.546,2.014,1.235,-0.108,0.522,-0.123,0.023,0.963,0.948,0.697
17,62,13,2,14,DIRECTED/ACTIVE,7.378E-2,1.165,4.031,5.338,1.220,0.670,0.223,0.603,1.221,1.462,1.356,0.419,0.593,-0.072,0.049,0.999,1.000,0.577
26,85,43,0,42,DIRECTED/ACTIVE,5.191E-3,0.277,4.091,0.126,1.551,0.916,0.010,0.158,0.083,1.347,1.187,2.173,0.201,-0.050,0.014,0.972,0.984,0.589
26,87,19,57,75,DIRECTED/ACTIVE,1.884E-2,0.552,4.356,0.194,1.409,0.838,0.057,0.306,0.275,1.540,1.481,0.444,0.175,-0.106,0.030,0.974,0.990,0.619
28,100,32,12,43,DIRECTED/ACTIVE,4.257E-3,0.278,1.925,0.384,1.315,0.297,0.070,0.358,0.216,2.783,1.080,0.688,0.414,0.060,0.007,0.932,0.969,0.625
29,104,12,0,11,DIRECTED/ACTIVE,2.286E-2,6.182E-6,4.687,0.240,1.425,-0.227,0.097,0.452,0.618,5.189,4.403E-14,0.644,0.155,1.003,0.038,-14.843,-0.105,0.578
36,119,12,4,15,DIRECTED/ACTIVE,6.612E-2,3.931E-6,1.460,2.653,1.531,0.616,0.085,0.354,0.787,1.582,0.500,0.217,0.385,0.791,0.060,-1.383,0.731,0.639
37,121,13,6,18,DIRECTED/ACTIVE,7.707E-2,0.621,4.683,6.514,1.356,0.502,0.129,0.447,0.929,1.492,0.980,0.120,0.471,-0.110,0.038,0.974,0.983,0.639
38,122,27,12,38,DIRECTED/ACTIVE,6.447E-2,5.290E-6,3.252,0.689,1.422,0.701,0.053,0.324,0.451,2.052,1.105,1.813,0.331,-0.084,0.010,0.880,0.966,0.591
38,132,12,216,227,DIRECTED/ACTIVE,2.697E-3,3.909E-7,3.363,0.203,1.371,0.530,0.028,0.261,0.087,3.428,0.498,0.222,0.295,0.073,0.006,0.319,0.976,0.688
39,136,11,21,31,DIRECTED/ACTIVE,3.808E-2,0.430,3.844,2.975,1.399,0.754,0.161,0.493,0.700,1.240,1.226,-0.067,0.568,-0.006,0.013,1.000,0.989,0.609
39,138,14,54,67,DIRECTED/ACTIVE,7.02E-2,0.386,3.903,2.634,1.435,0.971,0.074,0.388,0.566,1.035,1.208,1.080,0.214,-0.087,0.035,0.916,0.961,0.598
47,150,20,9,28,DIRECTED/ACTIVE,4.679E-2,0.902,4.476,5.808,1.314,0.639,0.107,0.410,0.658,2.707,1.377,-0.195,0.508,-0.090,0.042,0.995,0.998,0.584
61,183,12,25,36,DIRECTED/ACTIVE,6.904E-2,0.238,3.947,4.493,1.253,0.196,0.164,0.526,0.997,1.582,0.986,-0.066,0.519,-0.008,0.041,0.881,0.884,0.684
63,184,12,27,38,DIRECTED/ACTIVE,1.016E-1,1.636,4.363,4.110,1.304,0.842,0.232,0.560,1.465,1.166,1.533,-0.090,0.433,-0.006,0.071,0.984,0.996,0.634
69,194,14,56,69,DIRECTED/ACTIVE,8.112E-3,0.339,2.860,0.800,1.103,0.609,0.230,0.744,0.398,1.993,1.269,0.444,0.450,0.052,0.017,0.997,0.998,0.657
77,218,22,67,88,DIRECTED/ACTIVE,4.479E-2,0.773,6.447,5.776,1.466,0.784,0.099,0.380,0.616,2.766,1.315,0.237,0.158,-0.094,0.013,0.962,0.981,0.621
