PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,4,17,1,17,CONFINED,0.031,0.018,0.051,5.837E-12,6.856,6.482,3.762,-0.227,0.000,0.000,0.000,1.042,2.704E-12,-0.111,0.254,0.925,0.018,-0.138,-0.059,0.748
7,24,10,31,40,CONFINED,0.111,6.427E-9,0.004,5.525E-2,7.416,7.304,1.286,-0.227,0.091,0.554,0.697,6.301,0.163,3.568,0.588,10.133,0.007,-0.444,-0.136,0.635
9,31,12,12,23,CONFINED,0.037,0.015,0.012,3.55E-11,5.623,7.433,3.492,0.921,0.009,0.128,0.062,0.969,0.273,-0.185,0.041,1.436,0.020,-0.267,0.163,0.774
12,35,11,0,10,CONFINED,0.188,0.026,0.056,7.706E-13,3.385,1.662,2.136,-0.227,0.002,0.054,0.136,4.079,2.894E-13,0.338,0.446,23.200,0.069,-0.364,-0.125,0.462
14,39,11,25,35,CONFINED,0.033,0.007,3.600E-7,3.004E-4,1.644,1.825,4.435,-0.227,0.010,0.119,0.068,1.113,9.906E-12,-0.259,0.144,1.600,0.022,-0.364,-0.125,0.750
16,47,12,15,26,CONFINED,0.308,0.979,0.032,1.063E-2,1.623,2.500,9.453,-0.227,0.006,0.083,0.062,1.458,6.773E-11,-0.511,0.014,0.709,0.024,-0.230,-0.105,0.818
22,69,19,6,24,CONFINED,0.037,0.012,0.011,6.909E-12,0.829,3.339,5.126,-0.227,0.000,0.000,0.000,1.131,5.335E153,-0.333,0.012,Infinity,0.021,-0.111,0.000,0.736
32,97,20,23,42,CONFINED,0.135,0.945,0.480,8.949E-4,5.314,6.012,4.238,-0.227,0.007,0.105,0.051,1.630,0.044,-0.095,0.068,0.537,0.018,-0.030,-0.041,0.710
32,99,26,59,84,CONFINED,0.034,0.020,0.016,1.914E-11,5.328,6.043,2.659,-0.227,0.002,0.060,0.027,2.823,3.286E-4,-0.123,0.094,1.067,0.018,-0.068,-0.031,0.593
32,101,11,106,116,CONFINED,0.036,0.013,0.014,2.217E-11,5.342,6.033,3.893,-0.227,0.010,0.128,0.068,0.867,6.569E-11,-0.259,0.033,1.600,0.023,-0.364,-0.125,0.775
34,103,12,1,12,CONFINED,0.094,0.017,0.015,9.239E-13,7.123,1.447,1.229,-0.227,0.091,0.640,0.618,7.892,3.937E-12,2.209,0.586,16.527,0.000,-0.267,-0.105,0.507
35,106,11,7,17,CONFINED,0.068,0.017,0.016,5.068E-4,6.665,4.429,3.151,-0.227,0.006,0.093,0.096,1.461,0.043,0.054,0.134,0.733,0.027,0.000,0.483,0.674
80,188,14,38,51,CONFINED,0.211,10647.232,6402.487,2.884E-4,3.194,2.069,2.355,1.000,5.066E-4,0.027,0.052,1.805,0.763,-0.075,0.502,0.603,0.018,0.997,0.764,0.604
84,201,12,40,51,CONFINED,0.162,24637.285,8.803E-4,1.442E3,7.887,6.757,2.967,0.988,6.562E-4,0.032,0.062,1.135,0.401,-0.195,0.031,1.576,0.059,0.790,0.722,0.673
85,204,14,41,54,CONFINED,0.153,0.018,0.049,2.271E-11,7.271,7.294,3.287,0.990,0.002,0.047,0.105,1.211,5.749E-11,0.129,0.344,0.540,0.061,-0.211,-0.083,0.667
113,248,10,84,93,CONFINED,0.042,0.769,0.415,7.738E-3,6.100,0.000,3.738,0.991,0.020,0.200,0.076,0.810,0.508,0.200,0.693,0.356,0.010,1.000,0.983,0.709
155,314,15,107,121,CONFINED,0.053,0.025,0.058,1.067E-11,2.544,4.179,2.739,0.284,0.010,0.118,0.097,2.699,5.530E-12,-0.144,0.080,3.514,0.028,-0.167,-0.071,0.705
158,326,13,126,138,CONFINED,0.074,58815.426,8033.632,3.383E-5,4.089,2.585,2.611,0.999,0.035,0.216,0.179,1.655,0.368,-0.041,0.202,3.467,0.016,0.649,0.331,0.646
178,357,18,125,142,CONFINED,0.038,0.011,0.009,3.47E-12,1.656,0.002,2.802,-0.227,0.003,0.072,0.040,2.025,5.032E-13,0.350,0.338,3.153,0.023,-0.121,-0.054,0.674
203,393,19,164,182,CONFINED,0.030,7.433E-5,4.091E-4,3.213E-4,4.263,0.000,4.170,1.000,0.006,0.111,0.038,0.989,0.074,0.333,0.693,1.300,0.011,-0.111,-0.016,0.642
205,402,13,204,216,CONFINED,0.040,25.912,0.360,9.542E-2,0.495,3.138,4.217,0.919,0.000,0.000,0.000,1.542,0.006,-0.200,0.005,0.217,0.010,1.000,-0.086,0.635
223,427,12,205,216,CONFINED,0.048,0.017,0.017,4.392E-12,6.583,6.943,3.609,-0.227,0.004,0.079,0.062,1.190,1.043E-12,-0.127,0.073,0.952,0.031,-0.267,-0.105,0.791
