PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
3,10,14,19,32,DIRECTED/ACTIVE,1.058E-2,0.742,4.037,6.974,1.579,0.540,0.066,0.318,0.351,1.335,0.901,0.043,0.510,0.028,0.022,0.895,0.772,0.652
5,18,16,53,68,DIRECTED/ACTIVE,2.15E-2,4.692E-7,6.260,7.337,1.507,0.515,0.062,0.318,0.387,1.533,0.622,0.083,0.574,0.098,0.031,0.357,0.899,0.572
9,32,12,24,35,DIRECTED/ACTIVE,6.777E-2,1.046E-5,5.747,7.217,1.182,0.713,0.145,0.650,0.859,0.943,1.270,1.016,0.658,-0.108,0.056,0.995,0.902,0.602
10,33,15,0,14,DIRECTED/ACTIVE,1.921E-2,3.772E-6,1.085,7.763,1.397,0.920,0.088,0.428,0.343,1.231,1.097,1.262,0.586,-0.071,0.016,0.802,0.932,0.580
21,64,14,28,41,DIRECTED/ACTIVE,3.186E-3,0.528,6.957,3.291,1.204,0.731,0.143,0.572,0.296,1.427,1.361,0.354,0.435,-0.109,0.017,0.987,0.971,0.606
21,66,28,69,96,DIRECTED/ACTIVE,3.912E-2,0.183,6.873,3.520,1.552,0.921,0.036,0.278,0.303,0.983,1.114,1.672,0.212,-0.017,0.023,0.975,0.990,0.604
22,70,11,25,35,DIRECTED/ACTIVE,3.876E-2,1.326,0.535,3.284,1.187,0.815,0.189,0.617,0.954,1.005,1.442,0.329,0.618,-0.040,0.069,1.000,0.999,0.629
24,71,11,0,10,DIRECTED/ACTIVE,2.063E-2,4.099E-6,5.135,3.582,1.740,-0.227,0.002,0.059,0.068,2.679,1.154E-11,0.302,0.349,1.200,0.028,-35.923,-0.125,0.408
25,75,13,17,29,DIRECTED/ACTIVE,1.292E-2,1.531,0.357,3.745,1.240,0.566,0.263,0.601,1.069,1.196,1.552,0.018,0.406,-0.076,0.036,0.978,0.983,0.627
36,112,16,32,47,DIRECTED/ACTIVE,9.522E-2,1.546,4.092,4.800,1.462,0.960,0.059,0.315,0.708,1.993,1.480,0.283,0.120,-0.105,0.071,0.987,0.994,0.622
37,116,13,10,22,DIRECTED/ACTIVE,2.116E-2,3.829E-6,5.963,6.142,1.388,0.784,0.069,0.343,0.330,1.194,1.197,0.208,0.524,-0.099,0.013,0.937,0.928,0.593
41,125,14,38,51,DIRECTED/ACTIVE,1.58E-2,0.386,5.751,5.700,1.359,0.726,0.052,0.314,0.267,1.843,1.246,0.364,0.444,0.005,0.017,0.995,0.981,0.582
50,137,25,12,36,DIRECTED/ACTIVE,4.076E-2,0.756,0.947,4.080,1.182,0.369,0.156,0.515,0.748,1.732,1.317,1.546,0.585,-0.073,0.036,0.999,0.997,0.670
53,147,12,20,31,DIRECTED/ACTIVE,5.266E-2,1.508,4.237,4.677,1.414,0.562,0.096,0.368,0.874,1.551,1.129,-0.167,0.287,-0.067,0.057,0.939,0.934,0.629
56,151,16,25,40,DIRECTED/ACTIVE,8.281E-2,0.360,1.090,6.925,1.491,0.417,0.062,0.304,0.680,1.314,0.764,0.609,0.504,0.157,0.052,0.950,0.937,0.580
58,153,12,18,29,DIRECTED/ACTIVE,3.634E-2,3.172E-5,7.823,4.497,1.345,0.735,0.072,0.367,0.446,1.155,1.223,0.418,0.456,0.164,0.024,0.988,0.917,0.588
67,170,15,25,39,DIRECTED/ACTIVE,2.526E-2,1.413E-5,4.136,2.605,1.579,0.861,0.030,0.222,0.243,1.168,1.009,0.429,0.426,-0.049,0.032,0.943,0.959,0.609
67,172,12,63,74,DIRECTED/ACTIVE,2.005E-2,1.036E-5,4.127,2.420,1.326,0.480,0.188,0.554,0.586,1.367,0.662,-0.157,0.596,0.069,0.009,0.775,0.985,0.534
74,176,11,30,40,DIRECTED/ACTIVE,1.006E-1,1.216,7.727,2.335,1.276,0.763,0.196,0.591,1.339,1.590,1.309,0.427,0.455,-0.057,0.053,1.000,0.997,0.622
77,181,22,63,84,DIRECTED/ACTIVE,2.727E-2,0.725,4.596,3.545,1.288,0.355,0.140,0.444,0.713,1.816,1.119,-0.209,0.518,-0.026,0.025,0.960,0.968,0.620
80,192,14,112,125,DIRECTED/ACTIVE,6.452E-2,0.650,3.437,1.831,1.426,0.841,0.116,0.444,0.762,0.994,1.321,0.630,0.371,-0.095,0.050,0.997,0.982,0.566
86,208,17,61,77,DIRECTED/ACTIVE,8.634E-2,0.579,5.882,6.621,1.187,0.608,0.096,0.582,0.766,1.010,1.221,3.637,0.647,-0.072,0.038,0.870,0.958,0.601
92,216,44,44,87,DIRECTED/ACTIVE,9.998E-2,1.401,1.545,4.438,1.038,0.050,0.513,0.833,1.677,1.890,1.710,0.352,0.686,-0.131,0.077,0.994,0.998,0.732
99,226,17,54,70,DIRECTED/ACTIVE,2.592E-2,0.152,0.000,3.849,1.226,0.565,0.151,0.600,0.510,1.204,1.066,2.129,0.693,0.010,0.015,0.912,0.967,0.649
100,229,15,62,76,DIRECTED/ACTIVE,1.908E-1,2.303E-5,3.997,4.749,1.402,0.928,0.048,0.307,0.675,1.364,1.114,0.470,0.574,0.146,0.074,0.758,0.800,0.609
103,233,14,61,74,DIRECTED/ACTIVE,2.413E-2,2.755E-5,4.509,7.434,1.375,0.695,0.127,0.450,0.474,1.324,1.003,0.565,0.554,-0.032,0.012,0.989,0.997,0.641
120,260,15,72,86,DIRECTED/ACTIVE,4.892E-2,0.241,6.352,4.955,1.385,0.685,0.061,0.313,0.448,1.442,1.224,0.240,0.289,-0.095,0.027,0.933,0.968,0.597
130,283,15,84,98,DIRECTED/ACTIVE,2.304E-2,1.678E-6,2.152,2.539,1.363,0.638,0.111,0.400,0.448,1.377,1.051,-0.257,0.615,-0.081,0.011,0.949,0.938,0.590
136,293,13,117,129,DIRECTED/ACTIVE,7.027E-2,0.393,4.351,6.385,1.308,0.881,0.104,0.557,0.737,0.908,1.124,4.151,0.576,-0.028,0.021,0.998,0.997,0.569
147,298,18,97,114,DIRECTED/ACTIVE,6.607E-2,9.889E-7,0.767,7.089,1.447,0.614,0.024,0.218,0.400,1.285,0.771,0.541,0.371,0.141,0.039,0.824,0.961,0.569
151,302,15,100,114,DIRECTED/ACTIVE,1.021E-1,1.014,6.419,0.424,1.121,0.591,0.205,0.753,1.263,1.320,1.379,1.347,0.625,-0.110,0.053,0.948,0.981,0.660
157,322,15,129,143,DIRECTED/ACTIVE,3.033E-2,9.548E-7,7.064,3.381,1.249,0.700,0.082,0.445,0.418,2.422,0.712,1.147,0.572,0.657,0.028,0.879,0.550,0.546
170,340,15,120,134,DIRECTED/ACTIVE,3.945E-2,0.564,6.621,7.165,1.444,0.474,0.091,0.405,0.591,1.350,0.998,0.623,0.314,0.020,0.012,0.961,0.944,0.552
172,345,12,120,131,DIRECTED/ACTIVE,1.355E-1,1.358,3.727,6.507,1.149,0.522,0.280,0.710,1.860,1.657,1.158,0.926,0.473,-0.093,0.086,0.999,0.993,0.619
175,349,15,129,143,DIRECTED/ACTIVE,6.041E-3,0.218,1.483,4.125,1.380,0.525,0.083,0.371,0.217,1.493,1.073,0.021,0.585,-0.037,0.015,0.986,0.979,0.660
187,366,12,134,145,DIRECTED/ACTIVE,1.876E-2,3.652E-6,6.593,5.183,1.346,0.932,0.094,0.445,0.371,1.797,0.921,1.120,0.613,-0.047,0.017,0.298,0.774,0.580
190,372,12,137,148,DIRECTED/ACTIVE,1.703E-1,1.836,3.077,5.863,1.139,0.820,0.330,0.746,2.047,2.113,1.718,0.122,0.503,-0.129,0.100,0.935,0.980,0.650
207,407,27,183,209,DIRECTED/ACTIVE,1.083E-1,0.912,3.929,1.479,1.444,0.707,0.046,0.282,0.604,1.368,1.307,0.974,0.141,-0.086,0.027,0.947,0.981,0.624
210,413,18,188,205,DIRECTED/ACTIVE,6.577E-2,0.578,0.504,7.540,1.415,0.247,0.028,0.228,0.453,3.189,0.672,1.127,0.584,0.026,0.040,0.881,0.686,0.709
215,419,13,184,196,DIRECTED/ACTIVE,5.769E-2,1.158,2.231,5.646,1.344,0.849,0.104,0.521,0.811,2.278,1.258,4.164,0.285,-0.090,0.038,0.987,0.989,0.614
217,423,15,190,204,DIRECTED/ACTIVE,3.303E-2,3.690E-8,6.328,7.539,1.548,0.698,0.014,0.184,0.194,1.251,0.920,3.196,0.553,0.035,0.030,0.906,0.944,0.558
230,431,16,212,227,DIRECTED/ACTIVE,6.51E-2,1.294E-5,0.058,3.897,1.418,0.923,0.053,0.367,0.482,1.499,0.958,2.135,0.392,0.069,0.043,0.907,0.937,0.551
242,442,11,244,254,DIRECTED/ACTIVE,1.421E-1,1.638,4.633,1.840,1.391,0.864,0.152,0.504,1.434,0.999,1.326,0.093,0.306,-0.069,0.076,1.000,0.999,0.618
249,449,15,258,272,DIRECTED/ACTIVE,1.294E-1,1.141,2.725,1.368,1.459,0.482,0.118,0.436,1.264,1.800,1.020,0.068,0.201,-0.013,0.051,0.969,0.957,0.642
253,454,14,263,276,DIRECTED/ACTIVE,4.773E-2,1.115,1.266,7.549,1.665,0.615,8.503E-4,0.042,0.074,1.695,0.963,0.577,0.466,0.097,0.034,0.870,0.864,0.601
