PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,5,12,18,29,SUBDIFFUSION,2.562E-4,6.857,6.493,3.236,-0.227,0.021,0.191,0.087,1.539,2.732E-11,-0.083,0.008,1.255,0.017,-0.105,-0.105,0.595
5,17,27,26,52,SUBDIFFUSION,5.536E-4,6.406,7.240,2.943,0.999,0.000,0.000,0.000,2.541,1.935E-11,0.050,0.073,1.108,0.020,-0.029,-0.029,0.578
6,22,12,12,23,SUBDIFFUSION,4.479E-3,1.360,7.203,2.449,0.960,0.024,0.188,0.350,3.240,5.200E-10,-0.079,0.033,0.297,0.046,-0.105,-0.105,0.625
7,23,31,0,30,SUBDIFFUSION,2.773E-3,7.385,7.315,2.703,0.994,0.004,0.090,0.093,1.314,0.157,1.027,0.011,1.341,0.041,0.081,0.081,0.592
14,38,17,8,24,SUBDIFFUSION,6.524E-4,1.626,1.828,2.585,0.677,0.002,0.058,0.043,2.418,1.244E-11,-0.164,0.138,4.487,0.025,-0.059,-0.059,0.655
15,40,15,0,14,SUBDIFFUSION,5.426E-4,2.923,2.176,2.362,0.857,0.011,0.138,0.069,2.548,0.157,-0.222,0.068,0.371,0.015,0.181,0.181,0.628
16,46,13,2,14,SUBDIFFUSION,6.309E-4,1.575,2.480,1.669,0.685,0.026,0.261,0.080,1.044,0.414,0.333,0.023,0.300,0.012,0.433,0.433,0.495
16,48,15,27,41,SUBDIFFUSION,4.379E-4,1.600,2.507,3.022,0.857,0.008,0.108,0.069,2.567,1.019E-10,-0.417,0.042,0.943,0.021,-0.071,-0.071,0.648
17,52,13,1,13,SUBDIFFUSION,2.678E-3,4.098,2.615,2.496,0.725,0.034,0.208,0.234,1.317,0.246,0.152,0.215,0.391,0.033,0.516,0.516,0.531
18,54,14,0,13,SUBDIFFUSION,1.877E-3,4.234,3.223,2.257,0.999,0.005,0.082,0.105,2.516,1.933E-12,-0.076,0.212,0.201,0.031,-0.083,-0.083,0.554
21,63,26,2,27,SUBDIFFUSION,9.619E-4,6.803,3.211,2.046,0.538,0.011,0.131,0.112,1.593,0.029,0.093,0.451,0.677,0.027,-0.026,-0.026,0.613
26,76,31,0,30,SUBDIFFUSION,5.73E-3,1.719,4.084,2.240,0.988,1.148E-4,0.015,0.023,2.839,0.107,1.123,0.260,0.188,0.043,0.004,0.004,0.551
31,92,18,15,32,SUBDIFFUSION,1.021E-2,3.507,5.724,2.062,0.965,0.015,0.164,0.179,1.846,0.609,0.817,0.234,0.072,0.035,0.759,0.759,0.657
32,96,23,0,22,SUBDIFFUSION,7.563E-4,5.313,6.007,2.042,-0.227,0.000,0.000,0.000,3.126,0.464,0.222,0.076,0.345,0.014,0.780,0.780,0.547
32,98,16,43,58,SUBDIFFUSION,2.987E154,5.315,6.033,2.029,0.225,0.000,0.000,0.000,2.664,5.335E153,0.667,0.122,Infinity,0.018,0.000,0.000,0.598
32,100,21,85,105,SUBDIFFUSION,3.07E-4,5.347,6.034,2.901,-0.227,0.000,0.000,0.000,1.836,6.796E-11,-0.167,0.130,0.600,0.014,-0.042,-0.042,0.616
48,134,11,20,30,SUBDIFFUSION,3.159E-3,5.200,3.553,1.953,0.799,0.002,0.060,0.096,4.094,2.379E-11,0.151,0.425,2.400,0.058,-0.125,-0.125,0.574
51,139,13,14,26,SUBDIFFUSION,1.536E-2,4.557,7.385,2.505,0.884,0.009,0.116,0.289,2.145,0.260,0.375,0.259,2.324,0.069,0.491,0.491,0.627
52,143,14,12,25,SUBDIFFUSION,6.721E-2,2.503,0.760,2.361,0.940,0.007,0.118,0.351,1.373,0.581,0.352,0.070,1.000,0.103,0.862,0.862,0.601
55,148,13,15,27,SUBDIFFUSION,5.071E-2,2.560,4.517,1.424,0.836,0.108,0.477,0.685,7.326,0.942,1.331,0.441,1.726,0.024,0.994,0.994,0.608
63,157,14,22,35,SUBDIFFUSION,6.531E-3,5.083,6.369,2.177,0.590,0.007,0.113,0.234,1.430,6.150E-12,0.240,0.204,0.852,0.066,-0.083,-0.083,0.544
65,167,13,24,36,SUBDIFFUSION,3.927E-2,4.652,7.778,2.541,0.881,0.009,0.120,0.283,2.245,0.629,-0.084,0.014,0.193,0.047,0.887,0.887,0.788
80,190,12,80,91,SUBDIFFUSION,9.602E-3,2.750,1.840,2.337,-0.227,0.003,0.059,0.195,3.364,1.192E-11,0.135,0.175,0.268,0.106,-0.105,-0.105,0.596
83,197,15,39,53,SUBDIFFUSION,7.37E-4,0.043,6.459,2.923,-0.227,0.005,0.079,0.069,1.467,0.024,-0.238,0.200,0.467,0.024,-0.070,-0.070,0.651
91,213,11,47,57,SUBDIFFUSION,1.354E-3,3.404,7.738,2.612,0.782,0.004,0.085,0.068,1.486,0.163,-0.138,0.021,1.200,0.023,0.546,0.546,0.565
99,227,38,71,108,SUBDIFFUSION,1.139E-2,0.151,3.358,2.864,1.000,0.003,0.067,0.129,1.992,0.307,0.541,0.157,0.340,0.059,0.365,0.365,0.561
109,237,13,58,70,SUBDIFFUSION,8.248E-3,7.523,6.431,1.891,0.176,0.059,0.274,0.321,1.678,0.646,0.007,0.378,0.500,0.031,0.829,0.829,0.642
113,247,19,65,83,SUBDIFFUSION,4.442E-4,6.088,0.000,3.302,-0.227,0.002,0.067,0.038,1.604,1.761E-11,0.611,0.693,1.717,0.017,-0.049,-0.049,0.544
116,252,14,90,103,SUBDIFFUSION,1.313E-3,6.769,2.789,1.917,-0.227,0.040,0.225,0.165,1.525,0.328,-0.198,0.292,0.354,0.020,0.414,0.414,0.655
120,261,11,87,97,SUBDIFFUSION,5.593E-3,6.436,5.095,3.092,0.943,0.035,0.211,0.414,2.075,0.114,-0.132,0.028,0.519,0.056,-0.024,-0.024,0.589
121,263,12,70,81,SUBDIFFUSION,1.465E-2,5.353,6.787,2.322,0.890,0.016,0.161,0.437,1.539,0.144,0.161,0.261,0.143,0.066,-0.071,-0.071,0.511
122,267,19,84,102,SUBDIFFUSION,2.912E-2,4.206,0.015,1.395,0.902,0.046,0.417,0.288,14.357,1.059,5.727,0.391,-0.033,0.008,0.994,0.994,0.528
141,296,13,88,100,SUBDIFFUSION,6.084E-4,2.538,4.166,3.186,-0.227,0.004,0.081,0.057,2.770,1.768E-11,-0.047,0.015,2.967,0.024,-0.087,-0.087,0.644
153,308,14,124,137,SUBDIFFUSION,9.016E-4,6.629,3.551,1.516,-0.227,0.089,0.363,0.331,4.725,2.464E-11,0.185,0.373,4.723,0.023,-0.083,-0.083,0.670
153,310,12,170,181,SUBDIFFUSION,5.251E-3,6.780,3.647,2.667,1.000,0.008,0.117,0.175,1.183,0.141,0.322,0.314,0.293,0.035,-0.079,-0.079,0.530
158,328,12,152,163,SUBDIFFUSION,4.806E-3,4.077,2.527,2.607,-0.227,0.006,0.090,0.138,1.444,0.275,-0.395,0.450,0.460,0.052,-0.031,-0.031,0.614
174,347,26,122,147,SUBDIFFUSION,2.906E-3,4.234,0.014,1.863,0.832,0.000,0.000,0.000,10.684,3.604E-12,0.863,0.344,11.400,0.066,-0.031,-0.031,0.573
175,350,17,144,160,SUBDIFFUSION,3.039E-3,1.525,4.167,2.533,0.995,0.002,0.052,0.043,2.599,0.514,-0.254,0.036,0.116,0.022,0.661,0.661,0.631
176,356,14,132,145,SUBDIFFUSION,3.857E-4,5.354,6.037,2.917,-0.227,0.000,0.000,0.000,2.419,2.892E-12,-0.052,0.163,1.031,0.021,-0.083,-0.083,0.604
181,359,14,131,144,SUBDIFFUSION,3.155E-3,0.320,2.889,2.385,1.000,0.002,0.053,0.052,1.724,0.307,0.248,0.054,0.657,0.024,0.113,0.113,0.560
189,371,11,138,148,SUBDIFFUSION,7.743E-3,2.480,5.338,2.148,0.385,0.036,0.236,0.245,1.138,0.641,0.157,0.015,0.533,0.034,0.681,0.681,0.464
191,373,11,138,148,SUBDIFFUSION,1.96E-2,6.055,4.575,1.884,0.653,0.067,0.322,0.822,4.531,0.314,-0.109,0.072,0.096,0.055,0.830,0.830,0.682
193,374,12,141,152,SUBDIFFUSION,8.871E-4,3.810,6.710,2.912,0.980,0.000,0.000,0.000,1.681,0.388,-0.083,0.057,1.255,0.013,0.786,0.786,0.672
199,383,12,165,176,SUBDIFFUSION,4.293E-3,4.423,5.687,1.740,0.756,0.091,0.361,0.528,2.004,0.178,-0.244,0.293,0.121,0.033,0.119,0.119,0.618
200,388,12,163,174,SUBDIFFUSION,4.207E-3,6.667,5.293,2.490,1.000,0.003,0.067,0.124,1.572,1.330E-10,-0.249,0.454,9.436,0.024,-0.105,-0.105,0.664
205,401,23,181,203,SUBDIFFUSION,1.72E-3,0.517,3.160,2.840,0.935,0.006,0.098,0.093,2.152,0.123,0.474,0.152,0.517,0.033,0.063,0.063,0.567
215,421,23,203,225,SUBDIFFUSION,1.007E-3,2.290,5.854,2.025,0.974,0.025,0.209,0.127,2.277,0.205,0.134,0.292,1.118,0.020,0.113,0.113,0.539
232,433,26,223,248,SUBDIFFUSION,2.18E-3,4.006,2.792,2.482,0.872,0.004,0.083,0.077,1.746,0.203,0.054,0.103,1.200,0.030,0.100,0.100,0.624
234,437,14,239,252,SUBDIFFUSION,1.181E-1,0.643,7.626,2.428,0.993,0.008,0.104,0.418,1.968,0.658,0.027,0.075,0.238,0.092,0.863,0.863,0.725
244,444,11,236,246,SUBDIFFUSION,3.578E-2,3.360,5.807,2.528,0.294,5.790E-4,0.031,0.068,1.119,0.634,0.214,0.345,0.649,0.061,0.591,0.591,0.692
245,447,15,239,253,SUBDIFFUSION,8.593E-3,2.005,4.048,2.324,0.742,0.016,0.157,0.243,1.917,0.391,0.115,0.016,0.073,0.026,0.241,0.241,0.552
261,462,12,282,293,SUBDIFFUSION,2.765E-3,6.877,5.380,2.234,0.427,0.006,0.089,0.087,1.555,0.354,-0.289,0.152,0.192,0.024,0.722,0.722,0.486
