PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
170,464,63,127,189,DIRECTED/ACTIVE,1.052E-2,0.675,7.007,3.145,1.176,-0.006,0.199,0.536,0.691,1.645,1.401,0.350,0.640,-0.024,0.022,0.997,0.972,0.649
189,490,15,137,151,DIRECTED/ACTIVE,1.457E-1,6.147E-6,0.869,0.248,1.380,0.369,0.092,0.366,1.086,1.331,0.793,0.049,0.583,0.041,0.051,0.383,0.769,0.646
190,491,11,125,135,DIRECTED/ACTIVE,2.108E-2,1.394,0.662,2.102,1.316,0.860,0.046,0.248,0.414,1.439,1.410,-0.203,0.528,0.086,0.042,1.000,0.972,0.506
191,492,11,129,139,DIRECTED/ACTIVE,2.561E-2,3.595E-6,1.251,4.135,1.460,0.353,0.072,0.325,0.414,1.434,0.804,0.228,0.277,0.041,0.030,-0.253,0.871,0.670
194,499,13,132,144,DIRECTED/ACTIVE,6.913E-2,0.393,4.594,4.865,1.198,0.688,0.228,0.664,1.042,1.854,1.192,0.836,0.575,-0.062,0.045,0.977,0.992,0.623
194,501,14,156,169,DIRECTED/ACTIVE,3.47E-2,1.057,4.411,4.926,1.293,0.632,0.184,0.559,0.877,1.332,1.345,0.279,0.496,-0.054,0.026,0.986,0.987,0.600
195,504,15,128,142,DIRECTED/ACTIVE,5.014E-2,0.885,2.323,7.413,1.489,0.726,0.100,0.379,0.717,1.237,1.160,0.141,0.296,-0.046,0.036,0.982,0.988,0.570
209,529,11,143,153,DIRECTED/ACTIVE,2.516E-2,0.608,5.215,3.400,1.239,0.613,0.253,0.594,0.760,1.316,1.415,-0.180,0.570,-0.123,0.039,1.000,0.985,0.616
218,545,18,176,193,DIRECTED/ACTIVE,3.694E-2,0.189,1.073,6.744,1.396,0.401,0.123,0.448,0.611,1.382,1.037,0.218,0.543,0.013,0.028,0.989,0.947,0.558
228,577,15,157,171,DIRECTED/ACTIVE,1.013E-1,1.371,4.213,4.077,1.263,0.522,0.129,0.470,1.168,2.103,1.305,0.474,0.566,-0.103,0.047,0.995,0.977,0.623
236,587,18,168,185,DIRECTED/ACTIVE,3.214E-2,0.367,6.938,5.504,1.334,0.806,0.087,0.419,0.431,1.126,1.222,1.090,0.583,-0.076,0.036,0.822,0.938,0.639
236,591,13,223,235,DIRECTED/ACTIVE,1.813E-2,0.680,7.154,5.606,1.257,0.420,0.210,0.594,0.682,1.068,1.189,0.996,0.623,-0.105,0.032,0.954,0.962,0.648
240,598,13,181,193,DIRECTED/ACTIVE,6.29E-2,1.331,5.966,4.095,1.320,0.701,0.210,0.548,1.195,1.402,1.166,-0.109,0.418,-0.024,0.044,0.999,0.950,0.581
245,611,12,177,188,DIRECTED/ACTIVE,5.499E-2,1.007E-5,1.597,0.307,1.322,0.182,0.130,0.453,0.841,2.704,0.855,0.249,0.543,0.067,0.032,0.661,0.821,0.573
249,619,20,199,218,DIRECTED/ACTIVE,7.494E-2,9.915E-6,0.128,2.118,1.758,-0.203,0.018,0.175,0.360,1.244,0.840,0.278,0.472,0.291,0.040,0.523,0.727,0.581
252,624,14,193,206,DIRECTED/ACTIVE,5.99E-2,2.135E-6,5.991,4.291,1.358,0.892,0.103,0.403,0.628,1.407,1.099,-0.154,0.508,-0.003,0.044,0.737,0.910,0.614
265,665,13,213,225,DIRECTED/ACTIVE,4.046E-2,1.526,1.843,4.751,1.134,0.727,0.310,0.745,1.267,3.108,1.595,0.569,0.614,6.472E-4,0.049,0.998,0.997,0.629
268,669,12,209,220,DIRECTED/ACTIVE,5.252E-2,2.130E-5,1.390,6.680,1.483,0.266,0.076,0.336,0.609,1.625,0.645,-0.255,0.276,0.124,0.033,0.805,0.892,0.671
271,673,19,221,239,DIRECTED/ACTIVE,6.768E-2,0.307,5.983,3.928,1.535,0.251,0.086,0.343,0.730,1.729,0.959,0.274,0.248,0.013,0.049,0.922,0.914,0.637
272,675,12,211,222,DIRECTED/ACTIVE,9.86E-2,2.043E-5,1.703,5.333,1.261,0.643,0.168,0.609,1.135,2.667,0.895,0.757,0.285,0.069,0.053,0.996,0.995,0.573
273,678,25,234,258,DIRECTED/ACTIVE,5.575E-2,2.973E-6,6.766,2.859,1.654,0.657,2.186E-4,0.017,0.028,1.713,1.061,-0.024,0.518,-0.024,0.033,0.711,0.910,0.598
282,697,13,237,249,DIRECTED/ACTIVE,3.154E-2,1.530E-5,6.185,3.508,1.404,-0.114,0.135,0.429,0.646,1.434,0.811,-0.191,0.498,0.033,0.043,0.672,0.758,0.753
283,698,11,225,235,DIRECTED/ACTIVE,9.837E-2,2.403E-6,1.818,6.709,1.419,0.092,0.078,0.354,0.887,1.751,0.076,0.107,0.442,0.204,0.045,-9.228,0.074,0.611
287,715,12,235,246,DIRECTED/ACTIVE,6.696E-2,0.932,4.533,6.060,1.350,0.699,0.220,0.537,1.137,1.268,1.279,-0.164,0.522,-0.048,0.020,1.000,0.999,0.668
292,727,18,238,255,DIRECTED/ACTIVE,1.45E-2,8.604E-8,0.149,7.889,1.304,0.468,0.028,0.300,0.200,1.527,0.709,1.157,0.507,0.054,0.005,0.927,0.961,0.578
295,733,18,245,262,DIRECTED/ACTIVE,2.266E-2,1.410,1.749,2.316,1.357,0.583,0.045,0.291,0.544,2.582,1.282,0.562,0.064,-0.107,0.046,0.909,0.953,0.640
298,737,11,246,256,DIRECTED/ACTIVE,5.032E-2,0.860,4.135,3.520,1.287,0.772,0.202,0.599,0.962,2.020,1.475,0.694,0.457,-0.057,0.013,1.000,0.975,0.964
322,774,11,272,282,DIRECTED/ACTIVE,5.78E-2,4.898E-6,4.535,4.462,1.558,-0.227,0.064,0.303,0.760,2.575,0.243,-0.150,0.417,0.237,0.048,-3.484,-0.088,0.576
338,795,11,287,297,DIRECTED/ACTIVE,4.828E-2,1.254,5.320,2.556,1.371,0.923,0.150,0.536,0.894,3.168,1.350,0.747,0.430,-0.024,0.061,1.000,0.998,0.526
