PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
13,39,14,2,15,CONFINED,0.037,0.009,0.007,1.176E-11,6.949,5.629,4.845,-0.227,0.000,0.000,0.000,2.038,1.486E-10,-0.278,0.046,0.723,0.013,-0.211,-0.083,0.597
13,42,45,42,86,CONFINED,0.053,0.020,0.036,3.634E-13,6.924,5.644,3.109,0.747,6.536E-4,0.030,0.022,2.377,0.098,-0.036,0.019,0.487,0.022,-0.030,0.091,0.730
38,134,42,87,128,CONFINED,0.053,0.804,3.968,2.398E-3,2.055,1.150,2.997,0.977,0.001,0.038,0.023,2.314,0.156,-0.251,0.079,0.441,0.020,0.260,0.202,0.687
45,158,11,104,114,CONFINED,0.072,0.014,0.022,2.84E-12,5.302,2.498,3.616,-0.227,0.012,0.134,0.152,1.151,4.482E-11,0.118,0.303,1.360,0.048,-0.364,-0.125,0.796
75,249,12,23,34,CONFINED,0.164,0.010,0.010,1.499E-11,2.733,1.587,3.015,-0.227,0.030,0.201,0.586,1.343,6.846E-12,-0.122,0.054,0.396,0.077,-0.267,-0.105,0.656
131,381,14,74,87,CONFINED,0.095,0.016,0.016,2.454E-12,7.917,2.609,3.659,-0.227,0.008,0.104,0.157,2.313,9.962E-12,0.153,0.084,0.167,0.054,-0.211,-0.083,0.844
185,481,10,165,174,CONFINED,0.088,0.734,0.974,9.109E-3,3.468,5.136,3.774,0.950,0.026,0.199,0.169,1.316,0.336,-0.086,8.003E-4,0.222,0.024,1.000,0.986,0.804
204,527,14,174,187,CONFINED,0.068,0.010,0.032,4.605E-12,0.651,0.286,3.125,-0.227,0.002,0.048,0.052,1.479,1.221E-10,0.045,0.060,2.005,0.041,-0.211,-0.083,0.712
216,540,11,176,186,CONFINED,0.062,0.016,0.016,1.871E-10,5.036,3.036,3.846,-0.227,0.006,0.091,0.096,1.622,2.240E-11,-0.354,0.069,2.600,0.031,-0.364,-0.125,0.717
223,562,12,200,211,CONFINED,0.056,0.015,0.014,4.084E-11,2.280,7.593,4.108,0.989,0.017,0.146,0.124,1.261,0.138,-0.413,0.015,1.012,0.020,-0.267,-0.014,0.713
225,575,13,159,171,CONFINED,0.096,0.019,0.048,3.463E-13,0.326,1.742,3.762,-0.227,0.004,0.072,0.113,1.226,7.260E-12,-0.074,0.149,1.752,0.051,-0.222,-0.087,0.689
257,637,15,215,229,CONFINED,0.090,0.018,0.051,5.358E-12,7.264,5.483,3.666,-0.227,0.009,0.109,0.154,1.985,2.922E-13,0.189,0.035,1.610,0.049,-0.167,-0.071,0.668
280,689,14,235,248,CONFINED,0.077,0.016,0.016,2.81E-13,0.183,1.729,3.615,0.003,0.001,0.043,0.052,1.787,7.160E-12,-0.110,0.017,1.108,0.040,-0.211,-0.083,0.742
281,692,16,234,249,CONFINED,0.057,8.613E-8,0.034,1.803E-3,2.042,1.145,3.013,0.702,0.011,0.116,0.101,1.824,0.153,-0.227,0.102,0.246,0.030,-0.154,0.016,0.768
327,784,17,281,297,CONFINED,0.089,0.018,0.016,9.531E-12,1.040,5.784,2.574,-0.227,0.019,0.154,0.217,2.949,7.144E-11,-0.185,0.014,0.898,0.037,-0.138,-0.059,0.731
