"time","Norm_cond4_file1_cell0","Norm_cond4_file1_cell1","Norm_cond4_file2_cell0","Norm_cond4_file2_cell1","Norm_cond4_file3_cell0","Norm_cond4_file3_cell1","Norm_cond4_file4_cell0","Norm_cond4_file4_cell1","Norm_cond4_file5_cell0","Norm_cond4_file5_cell1","Norm_cond4_file6_cell0","Norm_cond4_file6_cell1","Norm_cond4_file7_cell0","Norm_cond4_file7_cell1","Norm_cond4_file8_cell0","Norm_cond4_file8_cell1","Norm_cond4_file9_cell0","Norm_cond4_file9_cell1","Norm_cond4_file10_cell0","Norm_cond4_file10_cell1","Norm_cond4_file11_cell0","Norm_cond4_file11_cell1","Norm_cond4_file12_cell0","Norm_cond4_file12_cell1","Norm_cond4_file13_cell0","Norm_cond4_file13_cell1","Norm_cond4_file14_cell0","Norm_cond4_file14_cell1","Norm_cond4_file15_cell0","Norm_cond4_file15_cell1"
-2.292,1.01922479932591,1.02466874932673,1.0109422407012,1.02444132337176,1.02191364838017,1.0357812793097,1.0172067099421,1.0176479749768,1.02690460542945,1.02395049833988,1.00853175134073,1.00238060790993,1.02918892666343,1.02141003460208,1.01883429300151,1.03397515340205,1.03790473706249,1.02210121716848,1.03017191311418,1.0086552059019,1.01597551416521,0.997577016268606,1.02177477381837,1.03916882202391,1.02975024938117,0.98808153871445,1.01453495425979,1.03099672021791,1.02054986777763,1.02017244184155
-1.292,1.00604239655861,1.01517558978778,1.00003745739222,1.00037397468607,1.00630623112169,1.01533483398987,1.00193659833466,1.0092376879498,1.00213624907018,1.00810850363884,1.01151709981614,0.988399468637792,1.00028446541317,1.00615713413393,0.997034045677629,0.990196374774557,1.01543784021252,0.990397312031795,0.996360398033066,0.99517830064914,1.00093314919189,1.00784585208261,0.999581254349647,1.01688626484488,1.01881442346769,0.985232067510548,1.01768338550387,0.997048196119851,0.99806467816041,1.0094354969904
-0.292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.267705884961639,0.417066142410859,0.333113271154062,0.408072866889943,0.342816684524226,0.330847870943538,0.283087491059259,0.447122050829456,0.333587064065806,0.386546500035062,0.395384750641219,0.499230577001486,0.337036009158399,0.432843985345003,0.315777524442555,0.384809922518111,0.351672489892299,0.298722692151813,0.409348743562938,0.323198677866185,0.413254451121645,0.348275066343602,0.282382013989643,0.33899819897897,0.279039051243211,0.327935777302866,0.2586809347019,0.333464895213742,0.275273678145637,0.390947429014779
0.147,0.431127766198058,0.536451039534633,0.492873731130839,0.519143348652444,0.510703767316897,0.471206152691803,0.416787001174105,0.571678877590089,0.499199087147118,0.521919942437094,0.545038243804733,0.615196433033894,0.49188232845348,0.548404742519845,0.470195540441318,0.504337575189674,0.462551739760161,0.450554981762083,0.53317264877841,0.456008382600992,0.520939867866074,0.494346371293411,0.415955978626278,0.44828496756808,0.420983115971478,0.439202148062908,0.409344592463177,0.440369114458836,0.415163468214924,0.4994556444044
0.294,0.547829172025367,0.621525907572983,0.59474379143724,0.605556432780128,0.606662126000786,0.585631213655974,0.493130811481936,0.646260688613882,0.596394808871428,0.608320705877331,0.631594237245376,0.680617116702398,0.584597238604038,0.61958070425402,0.57254511728562,0.583925278844119,0.545651114421235,0.540319523068677,0.613011577031789,0.554785068066039,0.593650852898361,0.578977731625706,0.502370926076648,0.52886373176974,0.513614364355119,0.50476738451422,0.508037902501759,0.526393907387848,0.508901003117198,0.574326438162456
0.441,0.603319437669076,0.669570720672197,0.649258343634116,0.658494627230344,0.662929590963177,0.619958731945226,0.542368992833911,0.692318258412991,0.667018134284703,0.670542304772416,0.694542660667938,0.728860596335705,0.647290640394089,0.673671890901689,0.638192217026703,0.666132656248426,0.607320103513842,0.599955549163932,0.665582529910559,0.617100846779003,0.637583516852675,0.637244721356872,0.566332849711596,0.581987081398026,0.581233605497469,0.567263959669023,0.572747567397054,0.575485018622492,0.572766623823664,0.637071241756454
0.588,0.64937469510843,0.717804050414737,0.696421882608533,0.70321368913562,0.707475676927136,0.664274995310449,0.581944425700752,0.730864325716919,0.708542829699495,0.709013107146886,0.733057860716866,0.754955215635727,0.680163741067092,0.708973641359658,0.684217645012946,0.708772884361555,0.654230819393057,0.646445894180863,0.702530297750416,0.66405704257748,0.674461572916278,0.679127725856699,0.613043632117201,0.635909380205018,0.635229245945247,0.607430544139405,0.622236781441848,0.630040580354661,0.624473695873776,0.671947541640075
0.735,0.686992771298062,0.744331035225681,0.738650410158445,0.734635873313997,0.742576549704139,0.703854811480023,0.596020189206332,0.757037234123096,0.738853300786469,0.7406666077216,0.762414424469919,0.771198590048796,0.697446749462291,0.725549562385508,0.719219770452525,0.746093159628812,0.687570788229076,0.677489573664187,0.730059627521586,0.69538956945462,0.713467209137397,0.72279912311065,0.65222878846857,0.669966281636356,0.674160416743636,0.656063345936763,0.659975491980296,0.664072488743121,0.660491364918968,0.710302711766841
0.882,0.712027140893166,0.778237100075407,0.769047083942016,0.753608855720566,0.762718799972002,0.69123991746389,0.62153335402637,0.77417470813838,0.76567268735511,0.766897670348701,0.785849983372259,0.796609277794584,0.712578921806702,0.747862812945247,0.74867643080728,0.772934739896624,0.703509723299538,0.698571036358169,0.755633639214775,0.71144770245174,0.715090888731291,0.710857274720204,0.684141925286339,0.696372229068209,0.706090442235933,0.661817085867719,0.684568440464924,0.702462616043138,0.687822245859741,0.730938168712693
