"time","Norm_cond3_file1_cell0","Norm_cond3_file1_cell1","Norm_cond3_file2_cell0","Norm_cond3_file2_cell1","Norm_cond3_file3_cell0","Norm_cond3_file3_cell1","Norm_cond3_file4_cell0","Norm_cond3_file4_cell1","Norm_cond3_file5_cell0","Norm_cond3_file5_cell1","Norm_cond3_file6_cell0","Norm_cond3_file6_cell1"
-2.332,0.998424724326758,1.00918767507003,1.05198923697867,1.06319177772758,0.954970183593933,0.904042204320239,1.12623211446741,1.14855103254865,1.00506443590323,0.995329192546584,1.01184736896092,0.929581097812629
-1.332,0.985897532068113,0.993949579831933,1.01897943494138,1.02515812062345,1.03361975865145,1.02031795822343,1.27387387387387,1.27322172176426,0.989283291883337,0.963826086956521,1.0150271822751,0.973638052001651
-0.332,1,1,1,1,1,1,1,1,1,1,1,1
0,0.267196759432901,0.166946778711484,0.162502402460119,0.149932234018523,0.117575245339719,0.183004206173808,0.130683624801272,0.123820854933289,0.114854171376894,0.0599254658385095,0.104010667760796,0.196914981427982
1.002,0.31460505588478,0.225098039215686,0.204209110128772,0.186582335667495,0.134619899516363,0.228274042917231,0.129729729729729,0.129004844055408,0.130499660863667,0.0829316770186334,0.117396656067289,0.207542302930252
2,0.366664166229091,0.255126050420168,0.233855467999231,0.207646261576689,0.157580879936142,0.264133456904542,0.173502914679385,0.140902524007819,0.135111914989826,0.102260869565218,0.103549081957124,0.214300453982666
3.001,0.419773460355563,0.296806722689076,0.25192196809533,0.231787892477976,0.15363666244072,0.267056391245456,0.164069952305247,0.15806917651058,0.144698168663803,0.111801242236025,0.113601395014873,0.219820470491127
4.001,0.414522541444754,0.346218487394958,0.254468575821642,0.229331375649424,0.16579799971827,0.287445640550367,0.149867514573396,0.135208634316308,0.158399276509157,0.127503105590062,0.10493383936814,0.214919521254643
5.001,0.437026479633937,0.329411764705882,0.2760907168941,0.251129433024622,0.196365685307789,0.304127753618022,0.184949655537891,0.165292767910258,0.157901876554375,0.126658385093168,0.111601189865627,0.239424267437061
6.002,0.447903383092042,0.364705882352941,0.304055352681146,0.266800316241247,0.200122082922477,0.345048834390818,0.172231054583996,0.168182204470128,0.166719421207325,0.141167701863354,0.116524771771463,0.255932728023112
7.002,0.460955667241768,0.395854341736695,0.321353065539112,0.286000677659815,0.197445649622012,0.389748342482355,0.195972443031267,0.157219342228266,0.176215238525888,0.144944099378882,0.114575853933737,0.234936029715229
8,0.485184907358788,0.43047619047619,0.332596578896791,0.292325502597696,0.214208573977555,0.367861980466243,0.163963963963964,0.146511430271098,0.185394528600497,0.134409937888199,0.107036619140424,0.25732562938506
9.001,0.48818543245068,0.420056022408965,0.358302902171824,0.319262480234922,0.221392684415646,0.374563342125899,0.180816110227875,0.162488314778618,0.18340492878137,0.152447204968944,0.112370499538414,0.256912917870408
10.001,0.487060235541221,0.479327731092438,0.352681145492985,0.32959679241021,0.230924543362915,0.44328794467812,0.159936406995231,0.143791960567689,0.200361745421659,0.162583850931677,0.113344958457277,0.273421378456459
11.001,0.511889580676619,0.452997198879551,0.357774360945608,0.323977863112718,0.224820397239048,0.438796606544521,0.173608903020668,0.149740800543894,0.19416685507574,0.166012422360248,0.111755051800185,0.278270738753611
12.001,0.521941339734454,0.477983193277312,0.387132423601768,0.344618251637678,0.218669296144997,0.431097169744066,0.170005299417064,0.146596413699329,0.211078453538322,0.162335403726708,0.111242178684993,0.278631861328931
13.001,0.558172680219039,0.426218487394958,0.393378819911589,0.348204201490852,0.243696295252853,0.459185855849433,0.165341812400636,0.127815076060169,0.221433416233326,0.182062111801242,0.116678633706021,0.291013206768469
14,0.546170579851474,0.492773109243697,0.405535268114549,0.357889089676982,0.239000798234493,0.435018179225779,0.167037625861156,0.150930568539136,0.216821162107167,0.186534161490683,0.110216432454611,0.283326454808089
15.001,0.589228114920112,0.500840336134455,0.414328272150682,0.379207138016715,0.223505658073907,0.432736864618237,0.190567037625861,0.143452026854764,0.218222925616098,0.189167701863354,0.11611447327931,0.287453569954602
16.001,0.568224439276874,0.477422969187676,0.411685566019604,0.379376552970409,0.24026858242945,0.455692592856634,0.156968733439321,0.151525452536755,0.193172055166177,0.165366459627329,0.118012103805519,0.269191085431284
17.001,0.536193833920937,0.502633053221289,0.42571593311551,0.385164897221595,0.272620556885946,0.501318885007485,0.174562798092209,0.151865386249681,0.209450599140855,0.168844720496895,0.118114678428557,0.256035905901774
18.001,0.575800765133899,0.509803921568627,0.426821064770325,0.39874632934267,0.282950650326338,0.520211021601198,0.185585585585585,0.152715220531996,0.21605245308614,0.181316770186335,0.118986562724382,0.276671481634338
19,0.606706173580378,0.504761904761906,0.436671151258889,0.409419471425345,0.269427618913462,0.471804377272404,0.154531001589825,0.141157474292513,0.207144472077775,0.178832298136646,0.115960611344754,0.284874122988032
20.001,0.589378141174706,0.56593837535014,0.436430905246974,0.413457194488367,0.29370333849838,0.511727382904398,0.185479597244303,0.145831562845246,0.223784761474113,0.182658385093168,0.111908913734742,0.304426330994635
21.001,0.572125121896333,0.487619047619048,0.466894099557947,0.41964084029817,0.297131051321783,0.544022242817424,0.182511923688395,0.139712756012578,0.223196925163916,0.171031055900621,0.142322289465586,0.327022286421791
22.001,0.576250843897683,0.53232492997199,0.477945416106093,0.419471425344477,0.310137578062638,0.540101233335709,0.168203497615263,0.149910767400357,0.204928781370111,0.167850931677019,0.129244025028208,0.307366900536525
