"time","Norm_cond2_file1_cell0","Norm_cond2_file2_cell0","Norm_cond2_file3_cell0","Norm_cond2_file4_cell0","Norm_cond2_file5_cell0","Norm_cond2_file6_cell0","Norm_cond2_file7_cell0","Norm_cond2_file8_cell0","Norm_cond2_file9_cell0","Norm_cond2_file10_cell0","Norm_cond2_file11_cell0","Norm_cond2_file12_cell0","Norm_cond2_file13_cell0","Norm_cond2_file14_cell0","Norm_cond2_file15_cell0","Norm_cond2_file16_cell0","Norm_cond2_file17_cell0","Norm_cond2_file18_cell0","Norm_cond2_file19_cell0","Norm_cond2_file20_cell0","Norm_cond2_file21_cell0","Norm_cond2_file22_cell0","Norm_cond2_file23_cell0","Norm_cond2_file24_cell0","Norm_cond2_file25_cell0","Norm_cond2_file26_cell0","Norm_cond2_file27_cell0","Norm_cond2_file28_cell0","Norm_cond2_file29_cell0","Norm_cond2_file30_cell0","Norm_cond2_file31_cell0","Norm_cond2_file32_cell0","Norm_cond2_file33_cell0","Norm_cond2_file34_cell0","Norm_cond2_file35_cell0","Norm_cond2_file36_cell0"
-2.071,1.01101736280594,1.26362146661204,0.966841434037125,1.04147007698038,1.08175061932287,0.994108295146359,1.00588363477882,0.986380484440996,1.05252790544977,1.04318875427726,1.00513573000734,1.01810941499953,1.03156186612576,1.04206562668101,1.04007446600039,0.945882697089366,1.01296196281151,1.05601136005049,1.04576017930519,1.04941111520059,1.00730816077954,1.01714587180163,1.05507366102162,1.106976227505,1.05884910856646,0.942332155477032,1.12788887558376,1.02495981047466,1.00858078356102,1.04316888045541,1.04139072847682,0.963525383355664,0.992373614277851,1.00987898246481,1.03290259528722,1.06275796380569
-1.272,0.977477163377729,1.17410897173289,0.904633697038401,1.05338962006456,1.05982200201853,1.01197044795661,1.00675528437568,0.980777519179381,1.09428759028234,1.01914362341626,1.01364636830521,0.945861382383616,1.04649087221095,0.976546530392685,0.957182049774641,0.967017697820681,1.01365635367641,1.00055222467655,1.05687336570788,0.965771071034228,1.00324807145757,1.05750461619625,1.00936252237367,0.996111975116641,1.01608928830265,0.999010600706715,0.985271225002993,1.01049158135206,1.02303262955854,1.01529886148007,0.95419426048565,0.94722346285544,0.992609481877505,0.973573721906644,0.960582039309371,0.965075669383004
-0.272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.208981242591172,0.236173699303562,0.208020405271362,0.202135584802583,0.153225066519864,0.109791452352005,0.251797777293527,0.119041461942936,0.273933026920552,0.204753537408675,0.252677916360968,0.161183274864891,0.198215010141988,0.433243679397526,0.187438761512835,0.122787772414802,0.133863127845074,0.196749763332282,0.194714232349646,0.203165255796834,0.171234267153877,0.18886837246109,0.194134655101199,0.196956231948456,0.202927960573995,0.115053003533568,0.129804813794754,0.144090024536763,0.164051033081179,0.346062618595824,0.36681383370125,0.232693166592228,0.180753203868228,0.18267885074504,0.26126615267673,0.256640914382474
1.001,0.317620807475071,0.405981155264235,0.295167918378914,0.280357586292527,0.356179466006055,0.173945571869447,0.381346698627152,0.258167399362124,0.450952068286277,0.26384907056321,0.364343360234777,0.287475111406087,0.369168356997971,0.533727810650888,0.285616304134823,0.247623226561357,0.281228300285473,0.37519722309877,0.407172207695181,0.274383511225616,0.263398294762485,0.378396201529939,0.319427233925374,0.25094423461453,0.281635019568053,0.240565371024735,0.298646868638486,0.285134106100346,0.330811787286891,0.492765654648956,0.486203090507726,0.307652225695995,0.33241607044579,0.275541285914217,0.417309154088391,0.308709916393269
2.001,0.393347744229831,0.457804178615321,0.341221482216239,0.313136329774024,0.491512982842463,0.216777330964183,0.477228154281978,0.309542280837858,0.498883782009192,0.295015259409969,0.371680117388115,0.333933820043615,0.436267748478701,0.602904787520173,0.373505780913189,0.273292379698698,0.36717845845228,0.475465446513096,0.524094135226,0.351582627898417,0.293341453511977,0.472039039831178,0.4071320391023,0.32359475672073,0.34570227569213,0.396466431095406,0.383187642198539,0.40087993908114,0.47871739866772,0.535222960151803,0.513612950699043,0.366234926306387,0.409937888198758,0.356219642710134,0.444673688782713,0.39326912900836
3.001,0.457778397601283,0.47501024170422,0.403429219214965,0.369381673702509,0.513808606294155,0.269335079023661,0.528546524297233,0.390914576329627,0.523571897570584,0.337926569869601,0.39002201027146,0.422489807528207,0.504584178498986,0.643356643356645,0.388496962571035,0.337282433816002,0.454671707429981,0.517986746607763,0.53997011580127,0.366948840633051,0.321457572066585,0.533236613030863,0.486300426820872,0.339702288380359,0.337730105812436,0.468692579505301,0.444497664950306,0.444200016921905,0.507169470475329,0.588591081593927,0.485467255334806,0.401146345094536,0.452079566003616,0.422161850662715,0.514062330329027,0.424277701344058
4.001,0.481905027543407,0.513723883654239,0.394785319540881,0.411348398311398,0.624919717405266,0.283924062470775,0.611135323599914,0.416171019739678,0.53053184504268,0.380467955239064,0.421570066030815,0.425334218261116,0.583042596348884,0.684776761699839,0.443856554967666,0.386426795378089,0.485147750945143,0.559876932786368,0.641763167725065,0.38305115936695,0.393625659764515,0.68095489316803,0.553490293267244,0.413685847589425,0.425279025945789,0.577102473498234,0.521973416357322,0.549623487604704,0.610590493395055,0.603534155597723,0.501839587932301,0.444990323060891,0.527242707760044,0.418704206800033,0.559995656423065,0.426076833527357
5.001,0.531483160170142,0.561655059401882,0.443531245571772,0.437049913086664,0.732911276263877,0.300196390161789,0.628568315537155,0.441858460477546,0.514642153644123,0.366225839267549,0.511078503301539,0.460510097658102,0.679026369168357,0.683808499193115,0.470311581422692,0.439593388913266,0.521410385001157,0.59908488482171,0.691165483750468,0.419028340080972,0.407023954527,0.685966763386969,0.556381660470879,0.422239502332815,0.409624583272937,0.519010600706714,0.517063824691653,0.576952364836281,0.63147792706334,0.607922201138519,0.537895511405443,0.494044960547863,0.535026338548628,0.480612496912819,0.544684547725051,0.457297068472856
6.001,0.532738302768287,0.491192134371158,0.474564262434463,0.487832133101565,0.772089182493806,0.338913307771439,0.692525604706907,0.499870700801656,0.554432042022326,0.378988254878387,0.519002201027147,0.44515027970039,0.753103448275862,0.690371167294244,0.513031550068587,0.450855638437911,0.552272201219042,0.630325023666773,0.692939858050056,0.448656606551343,0.441027202598457,0.775652862041677,0.535729037587772,0.432903799155742,0.434120887085085,0.561978798586573,0.631181894383906,0.613249851933328,0.642091001467765,0.674454459203036,0.642384105960265,0.504540717582254,0.631496186807138,0.473285584918087,0.62395482679987,0.489363953857551
