"time","Norm_cond5_file1_cell0","Norm_cond5_file1_cell1","Norm_cond5_file2_cell0","Norm_cond5_file2_cell1","Norm_cond5_file3_cell0","Norm_cond5_file3_cell1","Norm_cond5_file4_cell0","Norm_cond5_file4_cell1","Norm_cond5_file5_cell0","Norm_cond5_file5_cell1","Norm_cond5_file6_cell0","Norm_cond5_file6_cell1","Norm_cond5_file7_cell0","Norm_cond5_file7_cell1","Norm_cond5_file8_cell0","Norm_cond5_file8_cell1","Norm_cond5_file9_cell0","Norm_cond5_file9_cell1","Norm_cond5_file10_cell0","Norm_cond5_file10_cell1","Norm_cond5_file11_cell0","Norm_cond5_file11_cell1","Norm_cond5_file12_cell0","Norm_cond5_file12_cell1","Norm_cond5_file13_cell0","Norm_cond5_file13_cell1","Norm_cond5_file14_cell0","Norm_cond5_file14_cell1","Norm_cond5_file15_cell0","Norm_cond5_file15_cell1"
-2.275,1.02773485753424,1.0287140726007,1.03085249491631,1.02743095624409,1.03121511389094,0.99768601635747,1.03224175482265,1.04108042383186,1.05022178027552,1.0108450881839,1.02477710337781,1.02316954691318,1.00737111680214,1.02086655583076,1.03140575593547,1.07899016495005,1.03034400590049,1.01346856248369,1.03862267609322,1.04134346012575,1.03728633282121,1.04158585393382,1.02500136600825,1.02970065401301,1.0285744684522,1.02688258769352,1.05822355704898,1.03545883103534,1.03323064319301,1.03185557683001
-1.294,1.0113377390567,1.00577026355047,1.0021711246676,1.01037500108457,1.01631441408977,0.97264113305406,1.01827940261357,1.02457877366684,1.01449113437538,0.989821470392189,1.00790021042901,1.01374863838431,0.991025498274135,1.02897567264954,1.0132911731604,1.04034693719507,0.999356998316849,1.00825071745369,1.01370964725246,1.02075577413933,1.00648925083533,1.02027075238546,0.996929896456575,1.01712956751196,1.01343894317313,1.00503931126835,1.0167712391091,1.01640378548896,1.00901169984895,1.02378647926442
-0.293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.32785267869883,0.292360019890602,0.303982480838417,0.241362480803103,0.228759635811071,-0.110263315380012,0.244710640945862,0.335287476116032,0.402399919555769,0.360662234952891,0.248817097052778,0.189860747195808,0.205455962587685,0.248023614833916,0.0501634599924973,-0.10996670022458,0.207197836488454,0.226682755022176,0.225956682751655,0.217848471642906,0.16477754977062,0.198692293222109,0.191958309428189,0.291061592819274,0.148141811259554,0.251792098854913,0.183601455093322,0.208138092368766,0.192454408137838,0.217213373450881
0.147,0.430141018480392,0.421119840875187,0.401977162521508,0.36282352737022,0.349850186605246,0.0803610612407742,0.36414903546982,0.451928087545597,0.502876998536362,0.45275540903277,0.336041745222775,0.277288741032963,0.321545484912593,0.348895599362128,0.190578273219358,0.0384109037404163,0.311392476880307,0.304722149752152,0.316986496090974,0.282805204507253,0.250427065762756,0.269338297775731,0.265640794470399,0.363247289854025,0.202597783516123,0.31100980682456,0.2476136667757,0.314776875908269,0.288084245739497,0.289119868706209
0.295,0.504743423010596,0.512712083540527,0.47304864695761,0.443263949745343,0.439682783681554,0.217305006981847,0.447456440572495,0.542600312662845,0.567913924672916,0.52602280711236,0.395837641248951,0.347317494430869,0.41329473332591,0.408441624537712,0.268235168015435,0.151165492139704,0.396514552641035,0.371217062353248,0.38618935398197,0.343721596214904,0.320492710336603,0.325343954126477,0.329436794798241,0.421330938840666,0.250199851620955,0.356121641748169,0.307720518996501,0.385878850175451,0.355817069320112,0.345182738233004
0.442,0.558990081007147,0.573239184485331,0.529579227279837,0.506685292356815,0.501301574741638,0.310183522840615,0.532125077784692,0.606696195935383,0.617040769583142,0.581455259507467,0.453961052388309,0.410398327788736,0.474423783543035,0.468971601126455,0.333619165014203,0.245489042050647,0.452389507725476,0.413481607096269,0.446377136872031,0.389914710826122,0.375952168634572,0.367799017922588,0.380740649673524,0.469148544554421,0.292847324863842,0.401665480773055,0.365190757976746,0.444681529791231,0.419129381043002,0.40662149935826
0.589,0.606114469988218,0.623474888115365,0.581567339277334,0.554920479293381,0.563280724345874,0.395691202872531,0.58326851275669,0.641610213652945,0.658793559992403,0.632618133996289,0.507322442922652,0.457002384667471,0.51787106112905,0.500220540833984,0.405487968272683,0.302718190970339,0.495858312687936,0.456626663188103,0.489469943515505,0.425916702982008,0.429477744233269,0.415119062291211,0.429910116657105,0.509218452731132,0.328377779950425,0.437416858545726,0.401855541348241,0.49857866940772,0.463104086840017,0.441538493908726
0.736,0.635312919151851,0.657107906514172,0.617087439386829,0.582457723443207,0.596108631721128,0.450897666068223,0.620410703173616,0.677609866249783,0.676044378400724,0.651191698643463,0.539458479802464,0.497777254393971,0.568845340162565,0.556848641129169,0.444503992711292,0.341438860063501,0.535194886245437,0.485063918601617,0.529607601092283,0.462734233953807,0.46570581346627,0.449984756394206,0.469647296669672,0.539978738556492,0.358517992397012,0.466476039792992,0.440928960123703,0.540630205933435,0.503656736160299,0.476792139205084
0.883,0.665000591144251,0.688270512182994,0.635820428593774,0.613986186910536,0.626051150753351,0.513504887293038,0.661558805227131,0.694893173527879,0.69880339206507,0.686537318272712,0.571436390838432,0.533213609287446,0.601670192628883,0.592338750720999,0.472051020955035,0.366374970959498,0.564007035194886,0.537959822593269,0.55975760296263,0.497559609039407,0.49479463240113,0.473148550560122,0.49880132776002,0.575435119913853,0.390981659659878,0.496432375337538,0.484314133634661,0.574579094743558,0.536631365153054,0.510572937488165
