spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_29,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37,spot_38,spot_39,spot_40,spot_41,spot_42,spot_43,spot_44,spot_45,spot_46,spot_47,spot_48,frame
145.9423,139.4231,104.4808,104.6346,102.6923,105,102.4231,103.8077,103.2308,103.4615,101.1923,103.1923,106.6154,106.2308,104.7115,102.9231,110.3269,104.7885,104.6154,104.7308,103.9423,104.4231,104.3846,110.6538,103.0385,110.4231,106.4231,102.8846,105.1538,103.5385,105.9615,106.6154,101.6731,111.8269,103.6346,109.8462,100.6923,104.7692,104.5385,103.2115,102.9231,103.8654,106.9423,104.4808,102.5,101.5962,106.7692,106.3462,111,0
145.1731,133.6538,105.75,104.8077,104.0962,105.2692,102.4423,102.0577,103.5769,104.3077,101.6154,104.1731,105.9231,106.5962,105.6538,103.6923,109.3846,105.8269,105.0385,104.5769,104.4808,103.1154,103.7885,110.4615,103.5577,109.3846,106.25,101.9808,104.6923,105.3077,104.3462,104.8654,102.1731,110.0192,102.75,109.5385,102.1154,104.3462,103.75,103.9808,102.9231,104.6923,107.5769,103.5577,101.8077,100.3462,107.8846,106.25,109.9038,1
137.0577,125.4231,107.5577,105.4615,104.0385,104.5192,102.4231,102.8846,103.1731,103.5962,100.0577,103.3077,107.3077,104.5385,104.7885,101.7308,109.3654,105.5385,105.2308,105.0192,104.0192,103.2115,105.0192,110.5577,105.1923,108.4423,107.5385,102.1923,106.0385,102.7885,103.9808,105.3077,100.9231,110.0962,104.9423,110.2692,101.6731,104.2692,104.6731,102.8846,102.5,103.4038,104.3846,104.4808,101.2692,101.25,106.3269,106.2308,108.5192,2
109.2692,110.1923,122.3462,104.7115,103.7115,106.2308,102.2692,103.7885,103.3846,103.3269,101.8077,104.0192,106.2692,104.2692,105.5,102.8077,110.1346,104.5769,105.4615,104.3269,104.4231,102.9038,103.7692,110.1346,104.7308,107.8654,108.2885,102.2308,104.2115,103.3462,104.7308,105.9615,101.6154,110.3462,103.6731,109.9231,101.8077,103.75,103.7308,102.9038,102.6154,102.0962,103.8269,103.8654,101.5385,101.5192,107.3654,107.8077,108,3
107.4615,104.9231,107.6346,130.7308,100.8077,106.7692,103.1731,102.0385,105.0192,102.9808,101.6154,103.6154,107.75,105.4423,105.0385,103.0385,109.7308,104.9423,104.7308,103.6731,104.2885,103.1923,103.8462,109.1731,105.8077,108.9231,107.4231,101.3269,105,104.1731,105.0192,104.0769,102.1346,109.7308,103.9615,108.5962,102.0769,105.6538,104.6731,103.1923,103.1923,104,105.5769,104.2308,101.3462,101.5,107.9038,107.5962,107.9231,4
106.1346,103.7308,107.2885,107.1731,120.7115,103.7885,105.3462,103.0385,104.0962,103.3846,101.8654,103.2115,106.4231,105.6154,104.2885,102.0962,109.1538,104.5,104.9038,104.4423,104,103.3654,103.0962,109.7692,106.5,110.6346,107.4615,102,103.7115,102.9231,104.25,104.1154,101.8654,111.4615,105.3654,108.5385,101.1538,105.5192,103.5192,102.0192,104.8077,103.7308,104.1154,104.8462,102.5192,103.2115,107.1346,108.0192,108.5577,5
105.7885,103.4808,106.4038,105.4615,123.8654,104.4231,109.1923,103.6923,104.4423,102.9808,102.75,102.4231,106.6538,104.3654,103.5769,102.3462,108.9615,105.3654,105.1538,103.5577,104.9231,102.6923,104.9808,111.1346,107.5,110.0192,107.5962,101.1154,105.5,103.8846,104.1346,104.25,101.6923,111.0577,104.4038,109.6538,100.4808,105.0769,103.9038,102.9615,103.8846,101.5192,102.6923,104.2692,102.8462,102.5577,106.1346,108.0577,109.0769,6
106.5192,103.4038,105.2115,105.4423,123.0769,108.0577,106.7885,102.75,104.0385,103.8462,101.8077,104.4615,105.6346,105.4423,105.2115,101.8654,112.5962,103.75,104.5962,102.9231,104.0192,103.1154,103.2692,109.4615,106.1346,108.5962,107.2115,102.7885,103.5385,106.3654,104.9231,103.2308,102.8077,110.8846,104.3077,109.0192,101.0385,107.3654,104.5,103.2115,104.6154,102.7885,102.6154,104.1923,101.9615,102.3269,108.1154,106.7885,107.6923,7
104.4615,103.2692,106.5577,104,108.9231,115.0769,113.7692,103.75,104.4231,102.8654,101.3269,105,107.2308,104.1346,105.9038,100.9423,112.0192,104.2692,104.7308,103.9423,103.7115,103.2885,104.2115,111.9423,106.1346,109.9231,106.5385,101.1346,104.5577,106.4423,104.9038,103.6731,101.8846,110.9615,104.0769,111.0577,101.5192,108.4423,104.4231,103.25,103.7115,103.6731,103.25,105.6538,102.2308,101.8269,109.4231,107.25,108.1923,8
107.0769,103.25,105.6346,103.8846,102.9615,109.4615,101.9038,103.25,105.8654,104,101.9615,103.4423,107.1346,104.9808,103.4808,103.2308,110.4038,104.6154,104.9231,103.7885,103.8846,102.1538,104.6923,110.75,108.8462,111.7885,107.1923,101.6923,105.4423,105.2692,103.8077,103.6538,101.5769,110.8654,103.4808,110.2692,101.7308,109.0577,104.5962,104.2885,103.2692,104.3077,103.8077,104.7885,101.2885,102.7885,107.3462,106.9423,109.1731,9
