spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,
721.8334,583,590.25,576.1667,416.5,506.0246,500,698.5,428.5,605.0925,536.8333,470.1667,590.5,723.5,509.1667,565.6667,
473.3333,24.5,123.25,684.5,783.1666,466.0779,458.5,590.5,642,26.6638,1074.8333,1102.5,17.8333,450.5,1128.1666,673.8333,
28,27,28,32,37,43,44,73,74,83,75,96,86,31,25,14,
