spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,frame
101.4038,102.1538,102.2885,101.8269,102.0192,102.7885,102.2885,101.6538,101.2885,103.3462,100.8269,102.7692,104.0577,100.9615,101.7308,101.3846,0
101.6346,102.4038,101.5962,104.4038,101.6731,103.1731,101.2692,102.25,101.2885,104.4808,101.0962,103.3269,102.2885,101.6731,102.0962,101.1154,1
102.1538,101.5962,102.1154,103.75,103.0962,102.3654,102.1538,102.4423,102.0385,103.1731,101.7692,103.4423,102.6923,101.2115,102.5192,101.2115,2
102.4231,102.1923,102.1923,102.2308,102.7308,102.8654,101.4615,101.8269,101.2692,105.5192,100.7115,102.5192,103.6923,101.1923,102.2308,102.3654,3
103.7692,102,102.2308,103.1346,102.1923,102.6346,101.3269,102.4808,102.8654,106.7692,100.7115,102.6346,102.0385,101.6923,102.3846,102.0385,4
103.1923,101.5769,101.7115,103.3654,102.5769,103.8846,100.8654,102.3269,101.9808,105.1538,101.4231,103.75,102.4808,102.25,102.9615,101.7692,5
103.4038,102.8846,101.4231,103.7115,102.0577,103.1346,101.2308,102.8462,101.1923,104.9231,100.9038,102.7692,102.6731,101.5192,103.3654,101.8269,6
101.6154,101.75,101.9038,105.1154,103.9423,102.6154,102.0577,102.25,101.1731,105.9808,100.4038,102.7308,101.8462,102.2115,102.4615,101.9615,7
102.4423,101.2115,102.3654,103,103.3077,103.6154,100.7885,103.2115,101.5385,105.0769,100.9615,103.7692,101.9423,101.4231,103.5,101.75,8
103.4038,101.9808,101.2308,103.1154,102.25,102.5192,102.2308,102.0385,101.0962,104.4808,100.7308,102.8846,101.9423,101.6731,102.0962,101.5,9
103.4038,101.6731,101.1731,103.3654,101.5962,102.6923,101.7692,104.4038,102.2308,102.2885,101.6923,103.9423,102.8846,100.9038,102.5,101.0192,10
103.1923,102.6346,101.75,103.4423,102.1731,102.5385,101.1154,102.25,101.8846,101.8462,100.4231,104.3846,102.8462,101.2885,101.9423,102.2692,11
102.3846,101.3846,101.2308,103.3077,102.1154,102.5769,101.4423,102.2115,101.5962,101.2308,101.0577,102.9423,103.9038,101.9231,102.4615,100.7885,12
