spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,frame
105.7885,106.6154,104.0385,101.9808,103.25,105.6731,104.4615,102.4231,106.4423,122.3077,111.5962,101.4231,51
103.6538,106.75,105.5,100.2885,103.4231,105.5577,103.5962,101.2885,105.6923,122.7692,115.1731,101.9615,52
105.2308,107.1923,105.0769,101.4231,104.2885,104.75,103.1731,101.8462,105.5,122.6538,135.5769,101.4038,53
104.6346,107.75,104.75,101.6923,103.8269,105.9231,104.1538,102.1731,104.5385,121.1731,135.1538,101.4423,54
105.5577,106.8077,105.3846,101.3846,103.0577,105.6731,103.3269,101.7115,104.2885,120.9038,131.6154,101.7692,55
106.1154,105.0962,104.8846,102.6154,103.9423,105.7885,103.5769,102.5769,104.8077,117.9615,130.7308,101.9038,56
105.3077,107.2115,105.2115,101.2308,104.3269,106.4231,102.2115,103.4808,105.1538,120.1154,131.2115,100.25,57
105.6346,106.2115,105.5577,102.6346,105.3654,106.0962,102.75,102.9808,105.6154,118.5385,131.8846,101.6731,58
105.3077,105.4038,104.7692,102.8846,104.0769,104.7115,104.3269,102.8077,105.5192,117.5577,127.9615,101.2308,59
106.8846,105.6346,104.7115,102.9423,103.7885,105.2692,103.4615,102.2885,104.9423,116.0385,129.5385,101.5385,60
105.8654,105.5385,105.0962,105.1346,104.3846,104.8269,103.0385,103.2115,104.3269,114.8846,126.7692,101.5192,61
106.2692,104.6346,105.3462,105.9231,103.25,105.0769,102.4231,102.0769,105.3846,114.0385,127.8846,101.5192,62
106.5,105.4808,105.5577,102.4808,104.1731,104.6154,103.1154,101.9231,104.7885,111.8269,128.4808,105.1154,63
105.9808,106.3654,105.5577,106.2692,104.4615,106.3846,103.2885,102.8077,104,111.0962,128.1538,103.2115,64
105.2692,104.9615,103.6538,102.2115,104.0962,106.0962,102.8846,102.1923,105.9231,112.2885,124.6731,101.7692,65
105.7308,105.9423,103.4808,102.1154,104.8654,104.5385,102.75,102.3077,104.6731,114.1923,125.1923,101.25,66
106.25,106.6154,105.1346,101.1923,104.9423,104.0192,103.4615,101.6923,106.0385,111.1538,126.0192,102.2115,67
106.2115,106.7885,105.5769,100.6923,105.2308,103.8462,103.4615,102.2885,105.5192,111.0769,125.8077,101.6538,68
105.8846,104.5,104,100.4615,103.5385,102.7308,103.4615,101.1154,107,112.6731,125.5962,100.8462,69
106.6346,105.0192,103.4231,101.6923,103.3846,104.0769,106.8846,101.0385,106.8462,111.9423,126.6346,100.6923,70
106.6923,105.5192,105.8269,101.1154,104.6538,103.3462,103.7692,101.4231,107.4615,108.6923,126.4231,103.0192,71
105.5192,107.1923,103.6346,102,104.8846,104.2885,102.5,101.5192,106.2308,104.5769,124.5,100.9615,72
106.0385,104.1346,104.6346,102.2692,104.5962,104.6154,103.4423,101.6923,105.2115,104.3462,123.1731,103.7308,73
104.8269,104.8077,104.8269,102.4615,104.6923,103.8077,105.0769,102.3846,104.9808,103.3846,125.6154,100.2692,74
105.9615,105.25,104.5962,101.8462,104.3269,104.4231,103.6731,102.1731,104.8269,104.2115,121.6346,100.1731,75
105.3846,104.8462,103.4231,101.2308,104.3077,105.8269,103.7115,101.7885,105.5192,103.9615,121.2692,101.4423,76
104.75,105.0192,104.5385,102.0577,105.0192,105.0385,102.6923,101.9038,104.75,106.0577,119.2115,102.25,77
106.3654,104.6154,104.25,103.9808,104.3077,105.3846,104.0962,101.3077,104.0769,106.3462,120.0769,101.5385,78
104.3654,106.3462,104.7115,101.6154,103.8846,106.6538,102.5577,102.7692,104.8077,106.2115,120.9423,102.1346,79
104.75,105.7885,104.2885,100.9231,103.5962,104.2692,103.0962,103.9038,104.8077,102.9231,120.8654,101.3462,80
105.5577,105.8654,104.75,102.2308,105.4231,104.75,102.6154,104.7308,105.25,102.3846,119.5192,101.0962,81
106.7692,105.5769,105.25,101.6538,104.8077,104.75,103.4038,103.6731,103.0577,102.4423,119.2308,101.3462,82
106.1923,105.5192,104.2115,102.6346,104.6538,104.1731,103.5577,104.3462,105.0192,102.4038,118.3654,102.4423,83
104.8462,105.3462,104.2308,101.9615,104.5962,106.5577,103.2692,102.75,104.6731,102.8654,118.4808,103.0385,84
