spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,frame
103.1346,102.5577,103.9038,102.7692,101.8269,135.9423,109.4423,105.1923,105.2885,104.0769,107.0385,104.5962,105.0192,103,104.1923,105.6923,47
103.7115,102.3269,104.0577,103.0769,102.2692,135.5769,108.7115,105.9038,105.6538,106.1538,107.3654,103.9615,103.9038,102.9615,103.1923,105.3654,48
103.1538,102.1346,103.1154,101.4423,102.0385,135.4615,105.9231,104.8269,105.8462,104.0192,106.7308,103.4808,104.0577,103.8077,104.3654,103.7308,49
102.3077,102.6731,104.5,102.3846,102.4038,139.9231,107.2308,103.4231,105.4231,103.75,106.25,103.4423,103.5577,105.2308,104.6731,105.6731,50
102.3462,103.0962,103.5385,104.4231,102.5,137.8269,104.7885,103.8462,104.6346,104.1346,105.0577,103.9231,103.6538,103.0192,104.6346,103.9808,51
102.3269,102.8846,104.2692,102.8077,103.0192,133.9808,104.8462,104.4423,103.75,103.5192,107,104.9038,101.8269,102.7885,102.1154,103,52
102.8846,103.8462,103.9808,104,103.0385,131.4423,104.5,105.3462,103.8269,104.6538,106.7885,104.5385,103.1154,103.7308,102.7308,103.6731,53
101.8462,102.5769,105.4231,103.1154,102.3462,129.0192,104.9038,104.1538,104.0192,104.4615,105.1923,105.7115,103,103.5385,103.5192,104.5962,54
103.8462,103,104.1538,103.7692,102.9808,128.5577,104.6154,106.9231,104.5,104.7885,106.3077,105.4808,103.9423,103.7308,103.75,104.3077,55
102.3269,105.5962,105.0769,101.9231,101.5577,125.6154,104.0769,104,103.6154,104.4231,104.5577,104.8846,102.5385,103.6154,103.7115,103.75,56
102.6731,102.8654,103,101.3654,102.7308,127.2308,105.0577,103.2115,103.2692,104.6923,104.6154,105.3269,104.3654,103.6538,103.3077,104.5962,57
103.3269,103.3077,102.6731,102.8846,103.2692,124.0769,103.4615,105.9231,103.6538,105.0385,105.5192,104.4808,102.3269,103.9615,103.8654,104.3462,58
103,104.1346,103.2308,101.1923,102.1731,117.1923,103.8654,104.6154,104.8654,105.7308,106.5385,106.3654,103.0769,103.6731,103.6923,104.6154,59
103.5,101.8654,103.4423,101.6923,101.7885,118.0962,104.2692,105.5577,102.5769,104.5,106.5769,105.1154,102.1923,102.4615,103.4231,104.5962,60
102.6538,103.5192,104.0769,102.0962,101.9038,113.5962,104.25,103.7308,102.9231,103.9038,105.3846,104.1538,103.1731,104.8654,103.0577,103.0962,61
104.0577,102.6154,103.5192,102.5577,102.1731,111.6346,104.1154,105.3846,102.4423,104.75,105.4038,105.25,103.9808,103.8462,102.0962,103.6538,62
103.2885,103.4423,102.5962,102.0192,102.8077,108.5962,105.0385,103.5192,102.8654,104.3462,106.0192,105.4038,104.0769,105.0577,102.7115,103.9423,63
103.7692,103.0962,103.7692,102.9038,103.1346,108.4038,104.6154,105.1923,103.4038,103.8846,105.0192,104.8077,102.6154,103.6923,103.1346,102.9615,64
103.8654,102.25,103.6538,102.6154,102.0577,105.9615,103.9038,104.6346,103.9808,104.8077,106.3077,104.9808,102.1731,103.3654,103.2885,104.3077,65
104.8269,103.5192,102.7115,102.3077,103.4038,107.4423,104.5,105.25,104.4038,104.6731,106.1154,105.5962,101.9615,103.6346,102,104.4615,66
104.2692,102.0962,103.1538,101.7885,102.4423,106.0192,104.2308,105.0385,104.6346,104.2885,106.0192,105,102.4231,103.6538,103.6923,103.2308,67
103.0577,101.9231,103.9808,102.4808,102.0962,105.8269,104.0962,105.1923,104.5577,103.9231,106.1731,105.6538,102.6346,103.2115,103.8269,103.9038,68
103.3654,102.6923,104.2115,102.5192,103.3846,107.0192,103.6923,104.75,104.8654,103.7308,105.1154,104.4231,101.3654,102.2115,103.3462,103.8654,69
103.1538,101.8269,103.25,102.3269,102.1923,105.6346,103.8846,104.9808,104.4808,103.8077,106.0769,105.4231,103.2885,102.3846,104.25,105.7692,70
104.3654,102.3269,103.9615,102.1346,102.7308,103.4231,104.4423,105.9615,104.9423,103.7308,107.25,103.9423,102.1923,102.8654,102.8077,103.6154,71
104.0192,102.25,104.0962,103.2308,102.5385,104.4808,103.0769,121.6731,106.8846,104.2692,106.6346,103.6731,102.6154,103.3654,104.0192,102.5769,72
103.8269,103.1923,103.0385,102.5192,102.3077,102.9231,104.1538,105.9615,128.0385,105.3846,115.8269,104.7885,103.0962,102.5769,104.0769,103.75,73
103.8077,102.9423,104.8269,102.3846,102.2885,102.3846,103.3654,106.75,126.0769,103.9423,113.1346,103.6538,102.8462,103.9038,103.1154,104,74
103.2692,102.1923,103.2308,102.4615,102.9615,103.0192,103.5385,110.2308,124.2692,103.9231,112.8654,103.7692,102.3846,103.7115,103.5962,104,75
103.5,102.4615,103.6923,103.0385,102.4231,104.2115,102.8462,109.8654,115.7115,103.8462,114.8846,104.2115,102.7115,102.8846,102.75,105.1346,76
102.8846,103,103.2115,103.5385,102.75,102.5962,102.9808,107.2692,106.7885,103.6538,114.8077,104.0962,101.4615,103.0192,105.0962,103.2308,77
103.6538,102.3846,104.0962,102.3846,102.7308,102.3846,102.4615,108.1731,105.8846,104.5962,105.5385,104.2308,102.4038,103.0577,103.7885,104.9231,78
102.5,102.3654,104.6923,101.8077,102,102.7308,102.9615,109.1346,106.9423,104.0962,103.8846,104.2692,102.5962,104.4615,104.1154,104.8846,79
102.9808,102.3269,102.7692,102.2308,102.9615,103.5577,102.9808,108.5769,108.2115,103.6923,105.4231,103.8654,102.3846,102.6154,103.9808,103.5385,80
103.5385,103.3654,103.75,101.75,101.75,103.4423,103.5962,106.6731,105.8077,116.6154,104.9615,103.9231,102.1923,102.7115,104.0962,105.8077,81
103.25,103.5385,105.2115,101.3846,102.0962,103.9038,103.0385,108.7692,106.1346,124.5962,104.2115,102.9231,102.9423,103.5769,104.3269,102.7692,82
102.4808,102.5577,103.2692,103.4038,101.1538,102.2692,102.8077,108.25,104.9423,127.3846,102.7885,104.4231,102.3269,104.1154,104.2692,103.8077,83
104.4038,103.4615,103.8654,101,103.0962,103.8269,103.6923,108.5577,105.0962,122.5577,103.9038,104.0385,108.25,103.6923,104.0192,103.2308,84
102.1154,102.8077,103.7692,102.25,101.6538,102.9231,101.9808,110.6923,103.1731,125.6923,103.1731,105.2115,110.6923,104.0192,103.8846,104.7885,85
103.6154,104.5962,103.5769,101.9808,101.6731,101.5385,102.7692,108.2692,103.4423,123.5,103,103.6538,103.3462,101.8269,102.0577,104.0769,86
102.3269,103.5192,103.5,102.3462,101.8846,103.2885,102.8462,104.4038,103.9423,126.1538,104.0769,103.5192,103.1923,103.0577,103.0962,104.25,87
103.5962,102.6538,103.5769,102.2692,103.2885,103.7115,103.1538,104.8654,103.5769,123.6923,103.9423,105.4231,103,102.0577,103.6346,105.6923,88
102.6154,102.3846,103.4038,102.4038,101.9231,102.8846,103.8654,104.5,103.0577,124.1731,103.6538,104.2115,102.0577,102.25,103.5385,103.7308,89
102.6731,103.6731,103.3077,103.5385,103.4038,102.7308,103.2115,104.2115,102.3846,122.6154,103.6154,104.3462,104.0962,102.9038,102,104.5192,90
102.8846,103.1731,103.1731,102.3462,103.0962,102.0385,103.3462,103.7692,104.0769,120.2115,104.7692,105.1538,103.0385,102.6346,102.8462,103.7692,91
103.4038,103.3269,102.6538,102.4615,103.2692,103.0385,103.7115,102.3269,103.8269,118.5962,105.2308,106.6346,104.1538,103.0962,103.6538,103.6923,92
101.9615,102.6154,103.6346,102.25,103,102.3462,103.2308,104.4423,103.2885,121.5962,105.7692,105.3462,104.2692,103.0577,102.8462,102.3846,93
103.2115,103.1923,105.6923,102.9423,102.75,102.5577,102.0769,104.4038,104.5,120.9038,107.25,104.1923,103.0192,102.1346,103.5962,104.5385,94
103.1538,102.4423,104.0385,101.3077,103.4231,103.6154,102.1346,105.3269,105.1538,116.5962,106.0577,118.2115,103.6538,102.9231,102.7692,103.3654,95
102.8846,103.5962,104.0577,102.3269,102.3654,103.1923,103.25,105.7308,103.7692,118.4615,105.5192,115.25,103.7692,103.3654,102,105.25,96
103.0769,103.3269,104.3077,102.75,101.3654,102.75,103.0192,104.1731,105.3462,115.6731,105.3846,107.7692,102.1346,102.7308,103.1346,104.9231,97
104.4808,102.6731,103.9808,102.6923,102.4038,102.7115,102.2308,104.9423,104.2692,112.8654,105.6923,105.7308,102,103.6346,104.3846,102.0577,98
103.2885,102.3077,102.5192,101.8462,100.8462,101.9038,102.2885,105.1923,105.6731,108.8269,104.3077,105.1538,102.5385,105.2885,104.4808,103.5577,99
103.4038,103.2308,103.3077,102.0962,102.2115,103.4038,103.2885,103.8077,104.5385,106.8846,104.2115,103.1731,101.5962,104.6923,104.3462,104.0769,100
