 ,Time(s)
1,0.058
2,1.059
3,2.059
4,2.332
5,3.333
6,4.333
7,5.332
8,6.332
9,7.333
10,8.333
11,9.333
12,10.333
13,11.333
14,12.333
15,13.332
16,14.333
17,15.332
18,16.333
19,17.333
20,18.334
21,19.332
22,20.333
23,21.333
24,22.333
25,23.333
26,24.333
27,25.333
28,26.334
29,27.333
30,28.333
31,29.332
32,30.333
33,31.332
34,32.333
35,33.333
36,34.332
37,35.333
38,36.333
39,37.333
40,38.334
41,39.333
42,40.334
43,41.333
44,42.333
45,43.333
46,44.333
47,45.332
48,46.333
49,47.333
50,48.332
51,49.332
52,50.332
53,51.333
54,52.333
55,53.333
56,54.333
57,55.332
58,56.332
59,57.333
60,58.332
61,59.333
62,60.332
63,61.333
64,62.333
