 ,Time(s)
1,0.037
2,1.038
3,2.037
4,2.310
5,3.310
6,4.310
7,5.311
8,6.310
9,7.311
10,8.310
11,9.309
12,10.310
13,11.310
14,12.310
15,13.310
16,14.311
17,15.310
18,16.310
19,17.310
20,18.309
21,19.310
22,20.311
23,21.310
24,22.311
25,23.309
26,24.310
27,25.309
28,26.310
29,27.310
30,28.310
31,29.311
32,30.310
33,31.309
34,32.309
35,33.310
36,34.310
37,35.310
38,36.310
39,37.310
40,38.311
41,39.310
42,40.311
43,41.309
44,42.310
45,43.310
46,44.311
47,45.311
48,46.310
49,47.310
50,48.310
51,49.309
52,50.310
53,51.309
54,52.310
55,53.310
56,54.310
57,55.309
58,56.310
59,57.309
60,58.310
61,59.310
62,60.310
63,61.309
64,62.310
