 ,Time(s)
1,0.06663
2,1.06688
3,2.06607
4,2.33888
5,3.34007
6,4.33958
7,5.33881
8,6.33957
9,7.34014
10,8.33948
11,9.33967
12,10.33999
13,11.33985
14,12.34007
15,13.33994
16,14.33986
17,15.33873
18,16.33950
19,17.33979
20,18.33896
21,19.33952
22,20.33990
23,21.33900
24,22.33967
25,23.33996
26,24.33969
27,25.33864
28,26.33880
29,27.33888
30,28.34003
31,29.33980
32,30.34016
33,31.33965
34,32.33985
35,33.33979
36,34.33974
37,35.33966
38,36.33963
39,37.33854
40,38.33973
41,39.33969
42,40.33973
43,41.33956
44,42.33968
45,43.33968
46,44.33863
47,45.33871
48,46.33965
49,47.33872
50,48.33985
51,49.33865
52,50.33958
53,51.33861
54,52.33854
55,53.33862
56,54.33864
57,55.33923
58,56.33919
59,57.33933
60,58.33838
61,59.33965
62,60.33934
63,61.33930
64,62.33829
