 ,Time(s)
1,0.000
2,0.965
3,1.964
4,2.257
5,2.404
6,2.551
7,2.698
8,2.845
9,2.992
10,3.139
11,3.286
12,3.433
13,3.580
14,3.727
15,3.874
16,4.021
17,4.168
18,4.315
19,4.462
20,4.609
21,4.756
22,4.906
23,5.053
24,5.200
25,5.347
26,5.494
27,5.641
28,5.788
29,5.935
30,6.082
31,6.229
32,6.376
33,6.523
34,6.670
35,6.817
36,6.965
37,7.111
38,7.259
39,7.405
40,7.552
41,7.699
42,7.846
43,7.994
44,8.141
45,8.288
46,8.435
47,8.582
48,8.729
49,8.876
50,9.023
51,9.170
52,9.317
53,9.463
54,9.610
55,9.757
56,9.904
57,10.052
58,10.199
59,10.346
60,10.493
61,10.639
62,10.786
63,10.933
64,11.080
65,11.227
66,11.374
67,11.522
68,11.669
69,11.816
70,11.963
71,12.110
72,12.257
73,12.404
74,12.551
75,12.698
76,12.845
77,12.992
78,13.139
79,13.286
80,13.433
81,13.580
82,13.728
83,13.875
84,14.022
85,14.169
86,14.316
87,14.463
88,14.610
89,14.757
90,14.904
91,15.051
92,15.198
93,15.345
94,15.493
95,15.640
96,15.787
97,15.934
98,16.081
99,16.228
100,16.375
101,16.522
102,16.669
103,16.816
104,16.963
105,17.113
106,17.260
107,17.407
108,17.554
109,17.701
110,17.848
111,17.995
112,18.142
113,18.289
114,18.436
115,18.583
116,18.731
117,18.878
118,19.025
119,19.172
120,19.319
121,19.466
122,19.613
123,19.760
124,19.907
125,20.054
126,20.201
127,20.348
128,20.495
129,20.642
130,20.790
131,20.937
132,21.084
133,21.231
134,21.378
135,21.526
136,21.672
137,21.820
138,21.967
139,22.114
140,22.261
141,22.407
142,22.555
143,22.702
144,22.849
145,22.996
146,23.143
147,23.291
148,23.438
149,23.585
150,23.732
151,23.879
152,24.026
153,24.173
154,24.320
155,24.467
156,24.614
157,24.761
158,24.908
159,25.055
160,25.202
161,25.349
162,25.496
163,25.643
164,25.790
165,25.937
166,26.084
167,26.232
168,26.379
169,26.526
170,26.673
171,26.820
172,26.967
173,27.114
174,27.261
175,27.408
176,27.555
177,27.702
178,27.849
179,27.996
180,28.143
181,28.290
182,28.438
183,28.585
184,28.732
185,28.879
186,29.026
187,29.173
188,29.320
189,29.467
190,29.614
191,29.761
192,29.908
193,30.055
194,30.238
195,30.385
196,30.532
197,30.679
198,30.826
199,30.973
200,31.120
201,31.267
202,31.414
203,31.561
204,31.708
205,31.856
206,32.002
207,32.149
